"Ambrosiodmus obliquus","Euwallacea fornicatus","Xyleborus affinis","Xylosandrus morigerus","Xyleborus ferrugineus","Xyleborus germanus","mutillatus","Sampsonius dampfi","Xyleborus glabratus","Xyleborus xylographus","Xyleborus seriatus","Ambrosiodmus tachygraphus","Xyleborus posticus","Ambrosiodmus rubricollis","Xylosandrus crassiusculus","Coptoborus pseudotenuis","Euwallacea validus","Xyleborinus saxeseni","Xyleborus obesus","Xylosandrus compactus"
0.879651599136457,0.950222997450552,0.897019718022903,0.974618972207744,0.930938274035506,0.909512955219395,0.96672937303233,0.996609532353503,0.999999863181806,0.999949099374821,0.928777520262719,0.991096648259959,0.851621376951263,0.99481959886247,0.953796266670954,0.999395119447901,0.992477714885226,0.946383240774372,0.912173366550639,0.961738995061038
0.790662826848124,0.916550758967572,0.861117742797352,0.955962169751369,0.895483437426908,0.863941730132427,0.93334999039471,0.989342048548199,0.999998839804274,0.999722510788467,0.874161393377434,0.975537210400758,0.766084907636706,0.985879139008772,0.930689710984037,0.997955151132857,0.983487719548773,0.909237983580986,0.830325444393839,0.931721950357874
0.719650271860108,0.888254294204281,0.835587311218682,0.939574795228862,0.867947116132244,0.829170556449951,0.901353080917934,0.979295302009245,0.999995948628348,0.999251938106417,0.827763342613708,0.956284067830033,0.702273464532857,0.974766278323109,0.912597049883045,0.995835676867629,0.973960606160521,0.877936361884132,0.759096744184666,0.905176487034477
0.661215533705355,0.863375589455502,0.815276796226687,0.924651574179043,0.844860138763667,0.800455168803487,0.870952452908886,0.967012304835708,0.999990161806863,0.998488767711153,0.787256840424398,0.934581027646955,0.65142182226469,0.962096897658699,0.8972721217533,0.993110848887236,0.964141829455402,0.850425990217312,0.697496729163883,0.881067730120132
0.612106557594345,0.840996821255468,0.798224527547754,0.910818831644211,0.824762688941073,0.775787835571154,0.842164919090675,0.952889535648264,0.999980421237141,0.9973938832495,0.751330315278774,0.911235212003111,0.609373694963253,0.948257955955474,0.883790787572451,0.989832167213621,0.95415791619284,0.825721014808884,0.644086488455292,0.858868710014573
0.57016340238266,0.820577874941119,0.783438774973813,0.897857802465856,0.806863013164234,0.754077692685489,0.814939557601114,0.937251401558283,0.99996564604233,0.9959344929773,0.719112170971922,0.886833119683551,0.573735276329916,0.933529734879505,0.871659108798549,0.986040518251614,0.944087268621424,0.803230962733649,0.597534835598758,0.838247601651101
0.533871104661634,0.801760948960954,0.770337965108974,0.885623736930356,0.790670491535952,0.734648978072992,0.789198858626607,0.920376464252849,0.999944737043248,0.994082674425316,0.689974505877046,0.861820867595447,0.542977806845104,0.918129658216889,0.860574176075918,0.981770799225373,0.933983267276049,0.782559406468585,0.55671662552168,0.818971505733573
0.502126511773122,0.784290934741628,0.758547674244558,0.874013230441192,0.775854557717366,0.717047108975069,0.764855709293276,0.902509062611977,0.99991657979782,0.991814599271475,0.663442468402271,0.836544221758778,0.516058202972263,0.902232836313911,0.850333448171627,0.977054136466534,0.92388435944442,0.763420763429214,0.520707140814754,0.800865822185668
0.474103187346994,0.767976578907389,0.747810733631466,0.862948421773173,0.762179214089244,0.700948346145882,0.741821310689037,0.883865306624174,0.999880046844389,0.989110085420045,0.639144962315136,0.811272609162408,0.492230674300647,0.885983384758926,0.840793141674987,0.971919088876719,0.913819256419254,0.745599205334801,0.488752483862474,0.783793766444766
0.449167738752297,0.752669173965338,0.737941887452056,0.852368390193666,0.749468656282815,0.686112255385985,0.720009063890796,0.864636629493796,0.9998339994596,0.985952323716274,0.616784935793351,0.786215410746427,0.470942874535212,0.869501409809189,0.831846591245277,0.9663923527106,0.903809920160078,0.728925859820344,0.460238011543894,0.76764476756951
0.426825464393418,0.738249845991794,0.728802701284811,0.842224058814583,0.737587575445967,0.672354422265692,0.699336470749501,0.844992218781563,0.999777289101985,0.982327702780865,0.596120168917495,0.761533945553482,0.451774241020156,0.852887705906991,0.823411947540476,0.96049919519278,0.893873419441,0.713265071774348,0.434660786527528,0.752327330015633
0.406683730070663,0.724621479430557,0.720286673394438,0.832474976557583,0.726429101723087,0.659529734911224,0.679725993155241,0.825080922231167,0.999708758643631,0.97822568937417,0.57695020004042,0.737350741992649,0.434397278476606,0.83622713247445,0.815424698587301,0.954263729795045,0.884023153557383,0.698505596004021,0.411607085441294,0.73776436098389
0.38842655227885,0.71170333022296,0.71230990433358,0.823087182387079,0.71590703424054,0.647521605415998,0.661105345920758,0.805032905985085,0.999627243455228,0.973638738695294,0.559107079242641,0.713756930175014,0.418552159013624,0.819591170528031,0.807832878521047,0.947709094186208,0.874269697110703,0.684554673164334,0.390734514257031,0.723889961049191
0.37179652020217,0.699427288519061,0.704804986897178,0.814031729754417,0.705950621425609,0.636234728964794,0.643407477682229,0.784961192475166,0.999531572388133,0.968562218353081,0.542448627482686,0.690818238269774,0.404029456208828,0.803039937046937,0.800593865556666,0.940857566117026,0.864621405094165,0.671333888954238,0.371757928023647,0.710647133721571
0.356581665231501,0.687735201124445,0.697716857296867,0.805283632912711,0.69650093274275,0.625590052379141,0.626570382024606,0.764963131259571,0.99942056868378,0.962994335286748,0.526853400890581,0.668579900981256,0.390658058110103,0.786623820670519,0.793672166289394,0.933730638719645,0.855084859503773,0.658776187430529,0.354438369687561,0.6979860990475
0.342605749069241,0.676576901046212,0.690999891092057,0.796821093363792,0.6875082634171,0.615521177521078,0.610536820647454,0.745121819574071,0.999293050832219,0.956936058443949,0.512216852196719,0.647070694261962,0.37829649299122,0.770384840008343,0.787037837116129,0.92634906886775,0.84566520726769,0.646823659714282,0.338574364748615,0.685863019487173
