"Ambrosiodmus tachygraphus","Xylosandrus crassiusculus","Xylosandrus compactus","Xyleborus xylographus"
0.991272714596177,0.999998076869122,0.9562670533609,0.999938135153853
0.97843492247412,0.999992938854677,0.931915624215977,0.999705384928884
0.963669281680154,0.999984888813442,0.912334169576066,0.999266133155306
0.947708978524295,0.999974074001197,0.895486750388321,0.998598200729079
0.930977556778992,0.999960592698689,0.880507966206367,0.997685125206844
0.913759561586916,0.999944518323723,0.866924260852187,0.996513966063254
0.89626053045646,0.999925909252903,0.85443969575151,0.995074319281475
0.878634945637584,0.999904813807413,0.842853228954625,0.993357785855157
0.861001580923646,0.999881273130078,0.832020172976352,0.991357651909844
0.843452906819295,0.99985532299413,0.821831890057326,0.989068680674947
0.826061325091376,0.999826995012906,0.812204116553525,0.986486968493409
0.808883547591062,0.999796317487786,0.803069791821213,0.983609839440339
0.791963807776069,0.999763316024904,0.794374420675016,0.980435763958116
0.775336294413351,0.999728013997292,0.786072947180483,0.976964292641317
0.759027042249719,0.99969043289984,0.778127573983961,0.973195999547075
0.743055428938204,0.999650592627638,0.770506196994855,0.969132431349815
0.727435377561108,0.999608511698139,0.763181254061493,0.964776059881482
0.71217633348658,0.999564207431194,0.75612886018747,0.960130236399662
0.697284064740882,0.999517696096908,0.749328145998776,0.955199146470607
0.682761322110074,0.9994689930385,0.742760743504509,0.949987764736125
0.668608386293542,0.999418112775445,0.736410380634125,0.944501809108295
0.654823523151902,0.999365069090886,0.730262557464491,0.938747694138212
0.641403363537637,0.999309875106315,0.724304284721437,0.932732483455931
0.628343220815927,0.999252543345872,0.718523870399342,0.926463841292515
0.615637356621362,0.999193085792076,0.712910744016449,0.919949983180782
0.603279203420145,0.999131513934439,0.707455310635124,0.913199625995319
0.591261550899487,0.999067838812104,0.702148828661526,0.906221937539135
0.579576701977307,0.999002071051443,0.696983306819719,0.899026485916959
0.568216603239079,0.998934220899375,0.691951416719362,0.891623188956353
0.557172953809418,0.998864298253016,0.68704641820504,0.884022263949103
0.54643729601292,0.998792312686175,0.682262095258902,0.876234177988539
0.536001090641532,0.998718273473129,0.677592700675914,0.868269599174667
0.525855779201113,0.998642189610025,0.673032908077538,0.860139348949434
0.515992835140113,0.998564069834217,0.668577770100252,0.851854355810144
0.506403805754522,0.998483922641791,0.664222681808493,0.843425610630778
0.497080346204383,0.998401756303485,0.659963348550693,0.83486412379976
0.488014246859574,0.998317578879212,0.65579575761225,0.826180884359097
0.479197455009106,0.998231398231319,0.651716153128067,0.817386821304733
0.470622091813138,0.998143222036739,0.647721013805371,0.808492767181798
0.462280465245702,0.998053057798145,0.643807033079292,0.79950942408202
0.454165079664775,0.997960912854221,0.639971101382492,0.79044733212418
0.446268642551803,0.997866794389122,0.636210290258561,0.781316840472747
0.438584068882354,0.997770709441224,0.632521838089016,0.772128080925071
0.431104483521072,0.99767266491122,0.628903137237085,0.762890944073967
0.423823221975776,0.997572667569625,0.625351722439349,0.753615058030626
0.41673382979569,0.997470724063751,0.621865260299737,0.744309769672599
0.409830060856334,0.997366840924196,0.618441539760043,0.734984128363316
0.403105874737239,0.99726102457089,0.615078463437896,0.725646872073355
0.396555433367644,0.997153281318736,0.61177403973724,0.716306415819459
0.39017309708877,0.997043617382882,0.608526375648474,0.706970842325161
0.383953420258577,0.996932038883659,0.605333670165778,0.697647894796757
0.377891146505483,0.996818551851199,0.602194208257965,0.68834497170027
0.371981203720922,0.996703162229778,0.599106355336888,0.67906912341876
0.366218698866405,0.996585875881885,0.596068552173997,0.669827050664941
0.360598912658582,0.996466698592054,0.59307931022136,0.660625104521209
0.35511729418542,0.99634563607047,0.590137207298437,0.651469287977961
0.349769455497729,0.99622269395637,0.587240883610192,0.642365258841165
0.344551166212667,0.996097877821242,0.584389038065913,0.633318333881468
0.339458348159396,0.995971193171857,0.581580424871418,0.624333494099577
0.334487070091513,0.995842645453127,0.578813850370205,0.615415390985967
0.329633542486185,0.995712240050808,0.576088170111653,0.60656835365713
0.324894112445921,0.995579982294067,0.573402286126642,0.597796396755349
0.320265258715496,0.995445877457903,0.570755144392925,0.589103229004352
0.31574358682366,0.99530993076545,0.568145732474334,0.580492262318853
0.311325824356837,0.995172147390162,0.565573077319486,0.571966621372068
0.307008816369948,0.995032532457887,0.563036243207005,0.56352915353147
0.302789520937774,0.994891091048836,0.560534329825527,0.555182439079386
0.298665004848793,0.994747828199459,0.558066470477844,0.546928801641337
0.294632439442268,0.994602748904229,0.555631830399525,0.538770318751377
0.290689096588294,0.994455858117339,0.553229605183236,0.530708832489815
0.286832344809744,0.994307160754325,0.550859019300752,0.522745960134767
