"Xyleborus obesus","Xyleborus seriatus","Ambrosiodmus obliquus","Xyleborus glabratus"
0.961326135278519,0.999110322820525,0.999995001224796,0.999999996607892
0.93267734385138,0.997977343279584,0.99997689782828,0.999999967332523
0.907761235480893,0.996731728334909,0.999943438667988,0.999999877111411
0.885337439391836,0.995408176365967,0.999893238778085,0.999999685398032
0.864804344405044,0.994024583244225,0.999825256568708,0.999999347734276
0.845797554811587,0.992592132776249,0.999738646850815,0.999998816530535
0.828069385029395,0.991118574925224,0.999632694410715,0.99999804155163
0.811439070017798,0.989609644435032,0.999506777692567,0.999996970254047
0.795768170276198,0.988069782963738,0.99936034658587,0.999995548036067
0.780946913406023,0.986502548295702,0.999192907778049,0.999993718431917
0.766885949299823,0.984910864770166,0.999004014555934,0.999991423267601
0.753511051449797,0.983297185714579,0.998793259405787,0.999988602789229
0.740759541246677,0.981663603722642,0.99856026846692,0.999985195770864
0.728577778745542,0.980011928333516,0.998304697264269,0.999981139606696
0.716919344532055,0.978343742437791,0.998026227353216,0.999976370390927
0.705743686743651,0.976660444295604,0.997724563633259,0.999970822987811
0.695015091298382,0.974963279525747,0.997399432163565,0.999964431093724
0.68470188287282,0.973253365921313,0.997050578362629,0.999957127292639
0.67477579451203,0.971531713018449,0.996677765506943,0.999948843106122
0.665211463005324,0.969799237751672,0.996280773465906,0.9999395090387
0.655986019744668,0.968056777139555,0.995859397625809,0.999929054619299
0.647078755225395,0.966305098682181,0.995413447966869,0.999917408439319
0.638470841146235,0.964544908971071,0.994942748265427,0.999904498187797
0.630145098129308,0.962776860885376,0.994447135399396,0.999890250684054
0.622085799982401,0.961001559657401,0.993926458739591,0.999874591908138
0.614278507532438,0.959219568024583,0.993380579612968,0.999857447029341
0.606709926611845,0.957431410636497,0.992809370826491,0.999838740433015
0.5993677859398,0.955637577849123,0.992212716242378,0.999818395745888
0.592240731518367,0.953838529011201,0.991590510397113,0.999796335860051
0.585318234835582,0.952034695326455,0.990942658157911,0.999772482955762
0.578590512687482,0.950226482359321,0.990269074411355,0.999746758523196
0.572048456837233,0.948414272239088,0.989569683779758,0.999719083383255
0.565683572049661,0.946598425607467,0.988844420361511,0.999689377707546
0.55948792129404,0.944779283346659,0.988093227492199,0.99965756103759
0.553454077111887,0.942957168118703,0.987316057523776,0.999623552303377
0.54757507831108,0.941132385741763,0.986512871619447,0.999587269841303
0.541844391281332,0.939305226424927,0.985683639562232,0.999548631411577
0.536255875335397,0.937475965879684,0.984828339575474,0.999507554215132
0.530803751570325,0.935644866323497,0.98394695815376,0.999463954910119
0.525482574817518,0.933812177388603,0.983039489902938,0.999417749627994
0.520287208312196,0.931978136947281,0.982105937388077,0.999368853989277
0.515212800764627,0.930142971863228,0.981146310988343,0.999317183118992
0.510254765558919,0.928306898677388,0.98016062875791,0.999262651661833
0.505408761841791,0.926470124235419,0.979148916292118,0.999205173797102
0.500670677294806,0.924632846263091,0.978111206598185,0.999144663253413
0.496036612409924,0.92279525389506,0.977047539969869,0.999081033323226
0.491502866110799,0.920957528161794,0.975957963865524,0.999014196877214
0.487065922581525,0.919119842438872,0.974842532789087,0.99894406637849
0.482722439181167,0.917282362862303,0.97370130817356,0.998870553896711
0.478469235336727,0.915445248713174,0.972534358266618,0.998793571122091
0.474303282319587,0.913608652774464,0.971341758018005,0.998713029379326
0.470221693821232,0.91177272166262,0.970123588968425,0.998628839641456
0.466221717253432,0.909937596136143,0.968879939139665,0.998540912543674
0.462300725706218,0.908103411383233,0.967610902925713,0.998449158397102
0.458456210504155,0.906270297290303,0.966316580984682,0.998353487202543
0.454685774307676,0.904438378692979,0.964997080131341,0.998253808664221
0.450987124711788,0.902607775611054,0.963652513230105,0.998150032203525
0.447358068299289,0.900778603468708,0.962282999088344,0.998042066972759
0.443796505109973,0.898950973301172,0.960888662349891,0.997929821868918
0.440300423491067,0.897124991948912,0.959469633388637,0.997813205547491
0.436867895297561,0.895300762240287,0.958026048202139,0.997692126436309
0.43349707141406,0.893478383163577,0.95655804830514,0.997566492749427
0.430186177572489,0.891657950029153,0.955065780622965,0.997436212501078
0.426933510442333,0.889839554622536,0.953549397384712,0.997301193519671
0.423737433972282,0.888023285348984,0.952009056016218,0.997161343461868
0.420596375963995,0.88620922737022,0.950444919032742,0.997016569826729
0.417508824860466,0.884397462733851,0.948857153931367,0.996866779969941
0.414473326732991,0.882588070495972,0.947245933083071,0.996711881118125
0.411488482452113,0.880781126837426,0.945611433624488,0.996551780383235
0.408552945029189,0.878976705174132,0.943953837349321,0.99638638477705
0.405665417116345,0.877174876261885,0.942273330599441,0.996215601225766
