"Xyleborus germanus","Xyleborus affinis","Sampsonius dampfi","Ambrosiodmus tachygraphus","Xyleborinus saxeseni","Ambrosiodmus rubricollis","Euwallacea fornicatus","Xyleborus glabratus","Xylosandrus crassiusculus","Xylosandrus morigerus","Xyleborus seriatus"
0.912397855464021,0.900215595392492,0.996769006887786,0.99168615842184,0.944390095501739,0.996540304973743,0.954721248394434,0.999999825696385,0.96490596728547,0.987071124435336,0.933339292427358
0.869191071059763,0.866788719512165,0.989904276455642,0.977228945199825,0.907520669707719,0.99023350199586,0.924082533628479,0.999998576597892,0.94631737152043,0.975943040787058,0.882272033051433
0.836295162064203,0.843131409731997,0.980449166902725,0.959349737974703,0.876847575032913,0.982158194664759,0.898234539155393,0.999995137891601,0.931468333817154,0.965547333237099,0.838688915455173
0.809131986118885,0.824349048219241,0.968909326626562,0.939173610254318,0.850087101095221,0.972744244702624,0.875416943778612,0.999988376285653,0.918712243197921,0.955667031096402,0.800447657195604
0.785782939181084,0.808594117908703,0.955649129442844,0.917426547225469,0.82617016847851,0.962265764687417,0.854811949469925,0.999977146881193,0.907364933319996,0.946197232783999,0.766361705572366
0.765212224790431,0.794937846714969,0.940964126215029,0.894636034357537,0.804469007344337,0.950924826955028,0.835941218647359,0.999960296274535,0.897058044050699,0.937074408802151,0.735649107055686
0.746781132603343,0.782837814895468,0.92510680441271,0.871204930723614,0.784568878252009,0.938881574295858,0.818489211613104,0.999936664424416,0.887564292949898,0.928255195974674,0.707748509102921
0.73006147642382,0.771945915686751,0.908298137160931,0.847447807697455,0.766174985534197,0.92626823602811,0.802231605256392,0.99990508594936,0.878730886699095,0.919707684970445,0.682235703794693
0.714749113493174,0.762023665373498,0.890733585056444,0.823612363711506,0.74906704952308,0.913196726878887,0.787000548484838,0.999864391119591,0.870448826602089,0.911407150048623,0.658778875079531
0.700618619297192,0.752899628059694,0.872586636447332,0.799893703898006,0.733074376994062,0.899763230524642,0.772665681976671,0.999813406671211,0.862636886166396,0.9033336983486,0.637111908693598
0.687497361831921,0.744445920602148,0.854011176471385,0.776444697182804,0.718060990728006,0.886051200846243,0.759122859208617,0.999750956512302,0.855232472237449,0.895470863626944,0.61701726503589
0.675249664051473,0.736564304323877,0.835143277506937,0.753383915446763,0.703916186943404,0.872133462555271,0.746287006372152,0.999675862362303,0.848186052549132,0.887804710396711,0.598314386917686
0.663766618419352,0.729177487036605,0.816102696851761,0.730801936080088,0.690548240166314,0.858073765123533,0.734087373746967,0.999586944350803,0.841457575692791,0.880323234336432,0.580851529766349
0.652959259644413,0.722223437503778,0.796994220918294,0.708766453270658,0.677880039460925,0.843927986379249,0.722464249966811,0.999483021593061,0.835014072289576,0.873015944662673,0.564499818423978
0.642753829817692,0.715651531108811,0.777908921677204,0.687326475143432,0.665845965248287,0.829745100544586,0.711366613426039,0.999362912754194,0.828827990965083,0.865873563505124,0.549148811926074
0.63308839957486,0.709419855833337,0.758925353392122,0.666515793687209,0.654389593646994,0.815567980723234,0.700750407365024,0.999225436610468,0.822876010011467,0.858887803431222,0.534703123319215
0.623910397650474,0.703493279597584,0.740110698608497,0.646355862620898,0.643461970568805,0.801434080125751,0.69057724354443,0.999069412613838,0.817138167506868,0.852051198872431,0.521079797688962
0.615174766414632,0.697842032334224,0.721521863256903,0.626858186388906,0.633020288817938,0.787376020981342,0.680813408604119,0.998893661464248,0.81159721083556,0.845356975763908,0.508206247481394
0.606842559457482,0.692440645167335,0.703206517036167,0.608026302236323,0.62302685694729,0.773422110653002,0.67142908928819,0.998697005693054,0.806238101160544,0.838798948928408,0.496018605366201
0.598879858070419,0.687267142997651,0.685204074432774,0.589857422184103,0.613448283649332,0.759596798523041,0.662397759212909,0.998478270260092,0.801047629729515,0.832371440027737,0.484460395146967
0.591256922151324,0.68230242052448,0.667546612382974,0.572343790289041,0.604254824226093,0.745921083378393,0.65369568704025,0.99823628316629,0.796014116450797,0.826069211044718,0.473481448449112
0.583947516340738,0.677529753424628,0.650259721877714,0.555473801531643,0.595419850871512,0.732412878499763,0.645301537363163,0.997969876083187,0.791127170026812,0.819887409685839,0.463037013764286
0.576928369113945,0.672934410704413,0.633363292288228,0.539232921299345,0.586919418868552,0.719087339964624,0.63719604340728,0.997677885000377,0.786377494851553,0.813821524068963,0.453087017749599
0.570178734117887,0.668503343872392,0.616872228602201,0.523604438296033,0.578731908028755,0.705957162515095,0.629361736079378,0.997359150891557,0.78175673392221,0.807867344739427,0.443595448264269
0.563680031097375,0.664224935198893,0.600797102983259,0.508570078544821,0.570837723829827,0.693032846531882,0.621782717738283,0.997012520399583,0.77725733983087,0.802020932539819,0.434529835634361
0.557415549463486,0.660088791958204,0.585144743051027,0.494110503780534,0.563219046406955,0.680322939075923,0.614444471835178,0.996636846540756,0.772872467897408,0.796278591206685,0.425860813834636
0.551370201665594,0.656085576840717,0.569918760019341,0.480205713821139,0.55585961826371,0.667834251533445,0.607333701598089,0.996230989428311,0.768595886940614,0.790636843822475,0.417561747182744
0.545530316527666,0.652206867097106,0.555120020344188,0.466835369362673,0.548744563580759,0.655572056077649,0.600438192439603,0.995793817014973,0.764421904233108,0.785092412440607,0.409608411110566
0.539883464927456,0.648445036713385,0.540747064849654,0.453979048977738,0.541860233513564,0.64354026290819,0.593746693897158,0.99532420585425,0.760345301961166,0.779642200344273,0.401978717859348
0.534418311857159,0.64479315720166,0.526796479453107,0.441616451843955,0.535194073020796,0.631741580026243,0.587248817774175,0.99482104188001,0.756361283091367,0.774283276508305,0.394652479715552
