"Xyleborus obesus","Xyleborus glabratus","Coptoborus pseudotenuis","Xylosandrus compactus","Xylosandrus crassiusculus","Xyleborus seriatus","Xyleborus xylographus","Xylosandrus morigerus","Xyleborus affinis","Xyleborus germanus","Euwallacea validus"
0.913423212177732,0.999999847076269,0.999684506037142,0.946718161871803,0.959981595616597,0.94058849523604,0.999972894692432,0.984576041810722,0.912763187752682,0.943247026080212,0.99619706620501
0.834519077014258,0.99999873737728,0.998869309552425,0.910542452156846,0.940128218475008,0.893490287518126,0.99984364590891,0.972026610309668,0.881802565359153,0.910107916065258,0.991132802565097
0.76606059614854,0.999995659243605,0.997616137014172,0.88020537325472,0.924556149132401,0.852629935360809,0.999564278182248,0.960546473127165,0.859573856187552,0.883397729071502,0.985489806866479
0.706787363748284,0.999989575173943,0.995956268747677,0.853603331795006,0.911335157197724,0.816345399253579,0.999098643542479,0.949787290112474,0.841758857624172,0.860480484550729,0.979463621445933
0.655249432483419,0.999979431253276,0.993912124548326,0.829740759871713,0.899675647382131,0.783692923642225,0.998416482102608,0.939584167715251,0.826709657535895,0.84020005896988,0.973159255309258
0.610171046842642,0.999964161408702,0.991501967906575,0.808027948300721,0.889157234202736,0.754036974591129,0.997491472778728,0.929839029555417,0.813591330777399,0.821909717491732,0.966644395489331
0.570494337170923,0.999942689948546,0.988741765503774,0.788072433020456,0.87952286534532,0.726912653375624,0.996300310978192,0.920486038833952,0.801913214871633,0.805198443415497,0.959967090076211
0.535356866021874,0.999913933298043,0.985646097783196,0.769593477100386,0.870601052791942,0.701962813318997,0.994822206535245,0.911477508579713,0.791358761831586,0.789783283292632,0.953163547002366
0.504057592707632,0.999876801296313,0.98222866064541,0.752380137399153,0.86227027876947,0.678904011364621,0.99303859062663,0.902777041742798,0.781710117962634,0.775458410839115,0.946262174770774
0.476025130691838,0.9998301982313,0.978502562298452,0.736268150310402,0.854440527937451,0.657505978667534,0.990932938824332,0.894355776727933,0.772810043565293,0.762067935371832,0.939285912174083
0.450791367043552,0.999773023709384,0.974480506548765,0.721126086206704,0.847042809641524,0.637578293813912,0.988490663079903,0.88619015314817,0.7645408181152,0.74949008296302,0.932253678982787
0.427970418740173,0.999704173417148,0.97017490840198,0.706846522544382,0.840022799547712,0.618961256674703,0.985699046008761,0.878260495504269,0.756811710147354,0.737627379147476,0.925181333633666
0.407242100596506,0.9996225398118,0.965597967088789,0.693340136796274,0.833336772465607,0.60151938196796,0.982547201204871,0.870550069738916,0.749551116832132,0.726400240556647,0.918082335251193
0.388338992024656,0.999527012764469,0.960761711217452,0.680531596833656,0.826948888037677,0.585136612760902,0.979026048999113,0.86304442914738,0.742701411271773,0.715742618368294,0.910968218670617
0.371036307783853,0.999416480173166,0.955678025134292,0.668356609472339,0.820829314896679,0.569712709820641,0.975128300418685,0.85573094569583,0.736215440169928,0.705598936048671,0.903848945958487
0.355143934278435,0.999289828557337,0.950358662356597,0.656759743890352,0.814952895746606,0.555160471472478,0.970848444199271,0.848598464766408,0.730054069824055,0.695921875839947,0.896733173372498
0.34050013556801,0.999145943642734,0.94481525000867,0.645692790109419,0.80929817340263,0.541403555952747,0.966182733092176,0.841637044757976,0.724184421590705,0.686670740292914,0.889628458628697
0.326966549471557,0.998983710943127,0.939059286980022,0.635113497013285,0.803846664754781,0.528374750711647,0.961129166685352,0.834837756654919,0.718578574496211,0.677810214417165,0.882541424910685
0.314424184558218,0.998802016343748,0.933102137737109,0.624984585886669,0.798582309322632,0.516014579608296,0.955687468681522,0.82819252699887,0.713212592602633,0.669309413730235,0.875477892807375
0.302770197698353,0.99859974669024,0.926955023191458,0.615272968033596,0.793491043470806,0.504270169730707,0.949859057141334,0.821694012936217,0.708065783272115,0.661141140669025,0.868442987991987
0.291915283866072,0.998375790385999,0.920629009661676,0.605949116253452,0.788560466824143,0.493094320534094,0.94364700665942,0.815335501410602,0.703120122883654,0.653281295689859,0.861441230223371
0.281781549070723,0.998129038000138,0.914134996707576,0.596986554139683,0.783779577496974,0.482444732601512,0.937056001828912,0.809110826830224,0.698359806146894,0.645708405109938,0.854476607737526
0.272300766847343,0.997858382887771,0.907483704426143,0.588361436870925,0.779138559473123,0.472283363727581,0.930092281684723,0.803014303079766,0.693770888091384,0.638403238353038,0.8475526400479
0.263412941093606,0.997562721823918,0.90068566065885,0.580052203940584,0.774628610055387,0.462575887559281,0.922763575109055,0.797040666817774,0.689340996537777,0.631348494571914,0.840672431430999
0.255065115029146,0.997240955651984,0.893751188453501,0.5720392890897,0.770241798487219,0.453291235574663,0.915079027440236,0.791185029759187,0.685059098864249,0.624528543751095,0.833838716839528
0.247210379027169,0.996891989947476,0.886690394041554,0.564304876191849,0.765970949100701,0.44440120732321,0.907049118751476,0.785442838189559,0.680915311089544,0.617929211057317,0.827053901594307
0.239807040030621,0.996514735697408,0.879513155527396,0.556832692395574,0.761809543962005,0.43588013698582,0.898685574460755,0.77980983835754,0.676900740289992,0.611537595861098,0.820320095915852
0.232817922958157,0.996108109995611,0.872229112434652,0.549607831731881,0.757751641164041,0.427704606711114,0.8900012690973,0.774282046689055,0.673007353532402,0.605341918805954,0.813639145137931
0.226209780479458,0.995671036754016,0.864847656213365,0.542616603826964,0.753791805786154,0.419853199039928,0.881010124183987,0.768855723989614,0.66922786808981,0.599331391756303,0.807012656278865
0.21995279220531,0.995202447429801,0.857377921778293,0.535846403451846,0.74992505119109,0.412306282178383,0.871727001298646,0.763527352970821,0.665555658882233,0.593496106551177,0.800442021517881
