"mutillatus","Ambrosiodmus tachygraphus","Ambrosiodmus obliquus","Euwallacea validus"
0.997657210244241,0.997037550918921,0.949627740228363,1
0.994898748217944,0.992505504325193,0.91695792797058,1
0.991968743448339,0.987137132304107,0.889810693262975,1
0.988928444332811,0.981171125595073,0.866087461184888,1
0.98580886622217,0.974743486990655,0.844827461682884,1
0.982629150428634,0.967946048512244,0.825475386845678,1
0.979402426082768,0.96084664130797,0.807668705006735,1
0.976138318466166,0.953498218050588,0.791152065530627,1
0.972844215536641,0.945943673900018,0.775735999630611,1
0.96952598125295,0.93821867319798,0.761274483897015,1
0.9661883900633,0.930353436526786,0.74765167717796,1
0.962835407700705,0.922373937544441,0.734773566579377,1
0.959470381287557,0.9143027421188,0.722562438447629,1
0.956096172963734,0.906159619123402,0.710953070647698,1
0.952715256772144,0.897961999145611,0.699890023294163,1
0.949329790756989,0.889725328225018,0.689325657776603,1
0.945941671820184,0.881463346908802,0.679218654425541,1
0.942552578266141,0.873188314754913,0.669532881064832,1
0.939164003353618,0.864911194055775,0.660236514384209,1
0.935777282147098,0.856641802446057,0.651301347265507,1
0.932393613287524,0.848388941327863,0.642702235381559,1
0.929014076850177,0.840160505187978,0.634416649793385,1
0.925639649146703,0.831963575588733,0.626424311384776,1
0.922271215110448,0.823804502696879,0.618706889297997,1
0.918909578748673,0.815688976552862,0.611247750005791,0.999999999999999
0.91555547203238,0.807622089797376,0.604031746869489,0.999999999999999
0.912209562511368,0.799608393210846,0.597045042379442,0.999999999999999
0.908872459880122,0.791651945149069,0.590274957010568,0.999999999999998
0.905544721673255,0.783756355750208,0.583709839927312,0.999999999999997
0.902226858233454,0.775924826627681,0.577338957759235,0.999999999999996
0.898919337067189,0.768160186638018,0.571152398424802,0.999999999999995
0.895622586681929,0.760464924213794,0.565140987566347,0.999999999999993
0.892336999981606,0.752841216672892,0.559296215616515,0.99999999999999
0.889062937283639,0.745290956852009,0.55361017387675,0.999999999999986
0.885800729010074,0.737815777360915,0.54807549827446,0.999999999999981
0.88255067809671,0.730417072711966,0.542685319694376,0.999999999999974
0.879313062157072,0.723096019544736,0.537433219963987,0.999999999999965
0.876088135432348,0.715853595136899,0.532313192722418,0.999999999999954
0.872876130553708,0.708690594368411,0.52731960852406,0.999999999999939
0.869677260139507,0.701607645285808,0.522447183628354,0.99999999999992
0.86649171824668,0.694605223396239,0.517690952009637,0.999999999999896
0.863319681692906,0.687683664806209,0.513046240189454,0.999999999999865
0.860161311263891,0.680843178307421,0.508508644550748,0.999999999999827
0.857016752818169,0.674083856501248,0.504074010841096,0.999999999999778
0.853886138300269,0.667405686043947,0.499738415612305,0.999999999999718
0.850769586671664,0.660808557086496,0.495498149377567,0.999999999999643
0.847667204767789,0.654292271975736,0.49134970129611,0.99999999999955
0.8445790880884,0.647856553277156,0.487289745219703,0.999999999999436
0.841505321527688,0.641501051174058,0.483315126956265,0.999999999999296
0.838445980049811,0.63522535029284,0.479422852623684,0.999999999999126
0.835401129314882,0.629028975999725,0.47561007798234,0.999999999998919
0.832370826259876,0.622911400210287,0.471874098648069,0.999999999998668
0.829355119638439,0.616872046749568,0.468212341098766,0.999999999998367
0.826354050523168,0.610910296297406,0.464622354397767,0.999999999998004
0.823367652773535,0.605025490950663,0.461101802565802,0.999999999997569
0.820395953472339,0.599216938431508,0.457648457540849,0.999999999997051
0.817438973333236,0.593483915968471,0.4542601926718,0.999999999996434
0.814496727081686,0.587825673874908,0.45093497669765,0.999999999995703
0.811569223811406,0.58224143884751,0.44767086816897,0.999999999994838
0.808656467318232,0.576730417005763,0.444466010272918,0.999999999993818
0.805758456413101,0.571291796691596,0.441318626026971,0.999999999992619
0.802875185215727,0.565924751047003,0.438227013810042,0.999999999991212
0.800006643430385,0.560628440386052,0.435189543202765,0.999999999989566
0.79715281660511,0.555402014376451,0.432204651111436,0.999999999987646
0.794313686375477,0.550244614044689,0.429270838152563,0.99999999998541
0.791489230694064,0.545155373617748,0.426386665277156,0.999999999982814
0.788679424046579,0.540133422213371,0.423550750615802,0.999999999979805
0.785884237655559,0.535177885390017,0.420761766527334,0.999999999976326
0.783103639672479,0.530287886566807,0.418018436835452,0.999999999972312
0.780337595359042,0.525462548322996,0.415319534239029,0.99999999996769
0.777586067258348,0.520700993585812,0.412663877883119,0.999999999962379
0.77484901535661,0.516002346714886,0.410050331078791,0.999999999956289
0.772126397235998,0.511365734490847,0.407477799160936,0.999999999949317
0.769418168219183,0.506790287015164,0.404945227474112,0.999999999941352
0.766724281506096,0.502275138527771,0.402451599477331,0.999999999932268
0.764044688303369,0.497819428148546,0.399995934959409,0.999999999921926
0.761379337946909,0.493422300548294,0.397577288357242,0.999999999910172
0.758728178018012,0.489082906554461,0.395194747169913,0.999999999896835
0.756091154453405,0.484800403696438,0.392847430462167,0.999999999881727
0.753468211649561,0.480573956694978,0.390534487451237,0.999999999864639
0.750859292561623,0.476402737899912,0.388255096171539,0.999999999845342
0.748264338797254,0.47228592768005,0.386008462212095,0.999999999823582
0.745683290705686,0.468222714768902,0.383793817522011,0.999999999799082
0.743116087462243,0.464212296569551,0.381610419279631,0.999999999771535
0.740562667148593,0.460253879421831,0.379457548821343,0.999999999740607
0.73802296682896,0.456346678834677,0.377334510626296,0.999999999705928
0.735496922622513,0.452489919686363,0.375240631353562,0.999999999667097
0.732984469772149,0.448682836395117,0.373175258928524,0.999999999623672
0.730485542709847,0.444924673062443,0.371137761675508,0.999999999575171
0.728000075118786,0.441214683591308,0.36912752749387,0.999999999521069
