"Xyleborus obesus","Ambrosiodmus obliquus","Xylosandrus morigerus","Coptoborus pseudotenuis","Euwallacea fornicatus","Ambrosiodmus tachygraphus","Xylosandrus compactus","Xylosandrus crassiusculus","Xyleborus posticus","Euwallacea validus","Ambrosiodmus rubricollis","Xyleborus seriatus","Xyleborus glabratus","mutillatus","Xyleborus affinis","Xyleborinus saxeseni","Xyleborus germanus","Xyleborus ferrugineus","Xyleborus xylographus","Sampsonius dampfi"
0.913314463634261,0.879288601064905,0.971805331254521,0.99932362746518,0.948198922458209,0.991360684444312,0.944587378856425,0.949004880437488,0.853561971011794,0.989745518529058,0.996296337704839,0.924379564949775,0.9999998528887,0.973053927929719,0.880236295609627,0.936485099637851,0.913866577579513,0.930915200236985,0.999943629786088,0.997391176905376
0.832164390286806,0.790172882478322,0.95175561974408,0.997743150551051,0.913636868829491,0.976163477023949,0.906070971658463,0.924456230832609,0.768498809332134,0.978281313602187,0.9894646053263,0.867623022098319,0.999998762622471,0.944470969832733,0.842065663045722,0.895219968859929,0.869522482082858,0.895455384007712,0.999696513904733,0.991535674209597
0.761356443950581,0.719108348345751,0.934356752621579,0.995439406455473,0.884744600793728,0.957291030461133,0.873638779372837,0.905448244944647,0.704858556258971,0.966489745787087,0.980675501183845,0.819874985962763,0.999995699614766,0.916315786396291,0.815463726632699,0.861286889712716,0.835443681136496,0.867916727128003,0.999187842482629,0.98323363687033
0.699999784416025,0.660657365142069,0.918641848866465,0.992497306651032,0.859433323019209,0.935960135053589,0.845170714208055,0.889466478086764,0.654050594963644,0.95458852168079,0.970405467700852,0.778476636378438,0.999989592296603,0.889026541820132,0.794568663786493,0.831955960585324,0.807165970395737,0.844828603921202,0.998367859029205,0.972894665739018
0.646718086746165,0.6115507202009,0.904166522054698,0.988975346653949,0.836728369689424,0.912963666872942,0.819641671683623,0.875485212339968,0.611983854019007,0.942685077677672,0.958962265035504,0.741955171289882,0.999979342022526,0.862766692094043,0.777187584546816,0.805947904181688,0.782788119463773,0.824730668083743,0.997196886574424,0.960824975708754
0.600220132350949,0.569619829098105,0.89067260808422,0.984919651865866,0.816058377700085,0.888880293285364,0.796434927476854,0.862959617062917,0.576294608170395,0.930842940825101,0.946574870479673,0.709345634242551,0.999963829860326,0.837593130404413,0.762225520946978,0.782512237984477,0.76127206550402,0.806830911672907,0.995641944396082,0.94728114700005
0.559406699098791,0.533345042566371,0.877990448474877,0.980369344073655,0.79704614060105,0.864152206129726,0.775135136526059,0.851557260666275,0.545469575107702,0.919103130565126,0.933425870650557,0.679960988291536,0.999941920645164,0.813511769548294,0.749046580623839,0.761154221019583,0.741972120694604,0.790638573775313,0.993675203084187,0.932488954210366
0.523370121279761,0.501620553684395,0.865999598875187,0.975359107806245,0.779423551222464,0.839123799725859,0.755442433749175,0.841056823334101,0.518474174357766,0.907493434033693,0.919666563950223,0.653286789495924,0.999912465737972,0.79050184648632,0.737244661398505,0.741523216522367,0.724452392150721,0.775823002584085,0.991273162693062,0.916651442192432
0.491367854543343,0.473618383457064,0.854609893483665,0.96992058092041,0.762990184907067,0.814064827078458,0.737129855307993,0.831301790225543,0.494567479782063,0.896033155496128,0.905425175133475,0.62892440394567,0.999874305067206,0.768528239568266,0.726542759236508,0.7233581058434,0.70840147760455,0.762148145405563,0.988416176428959,0.899952806970758
0.462792889727537,0.448704232575525,0.843751168847566,0.964083169606482,0.747590613368645,0.789186107136671,0.720019638281465,0.822176449510907,0.473199990849894,0.88473583005023,0.890811840604584,0.606557082722978,0.999826268736118,0.74754828349197,0.716742534325002,0.706457293940607,0.693587455529557,0.749438160768908,0.985088157393779,0.88256045182626
0.437147460010027,0.42638286845737,0.833367193650646,0.957874551497415,0.733100893141864,0.764651093689898,0.703968897823333,0.813592287645235,0.453952820389535,0.873610899895293,0.875921904142652,0.585928210989164,0.999767178350572,0.727515748587898,0.707696571154489,0.690660804342563,0.679831988475006,0.737557713976792,0.981276387236601,0.864626222320643
0.414021359245397,0.406261353030373,0.823411846496322,0.951320997253881,0.719419996453812,0.740584849217775,0.688860422392824,0.805479740881091,0.436499447880996,0.862664811865253,0.860838253501392,0.566826626894485,0.999695848160085,0.708383238303072,0.699292007069749,0.675838906745396,0.666994420974083,0.726399916698943,0.976971381752692,0.846287285124288
0.39307458816245,0.388023538357213,0.813846585827529,0.944447580920443,0.706464103890606,0.717081225280177,0.674596468858799,0.797782923710702,0.420580590848026,0.8519017690872,0.845633075491195,0.549076317172103,0.999611086071024,0.690103653631032,0.691440322539386,0.661884536627068,0.654961505001576,0.715878554586108,0.972166786568692,0.827666874165948
0.374023626894738,0.37141193552622,0.804638706407351,0.937278319557037,0.694162650938943,0.694208710264384,0.661094417203466,0.790456113835483,0.405987101196168,0.841324264394804,0.830369237787396,0.532528958461983,0.999511694571337,0.672631084786511,0.684070684895241,0.64870804340074,0.643640484108334,0.705922866078876,0.966859285982103,0.808875009876106
0.356630611366574,0.356214551334627,0.795760097387972,0.929836266736098,0.682455499897023,0.672015236463077,0.648283631232963,0.783461325032823,0.392547977874202,0.830933469849382,0.815101418299897,0.517058382160907,0.999396471594132,0.655921341274369,0.677125447026647,0.636233434867207,0.632954278875084,0.696473913148172,0.961048513917466,0.790009236789663
0.340694789819788,0.342255155767052,0.787186332794782,0.922143575469038,0.671290861771107,0.650532148452356,0.636103131059918,0.776766581388456,0.38012175515765,0.820729527896624,0.799877055231168,0.502556381007533,0.999264211339646,0.63993224931923,0.670557008466907,0.624395619863733,0.622838039314029,0.687481985342716,0.954736959716403,0.771155393078159
