"Euwallacea validus","Ambrosiodmus rubricollis","Euwallacea fornicatus","Xyleborus xylographus","Xyleborus germanus","Xyleborus seriatus","Xyleborus obesus","Ambrosiodmus obliquus","Xyleborinus saxeseni","Xylosandrus crassiusculus","Ambrosiodmus tachygraphus","Xyleborus affinis","mutillatus","Coptoborus pseudotenuis","Xylosandrus compactus","Xyleborus glabratus","Xyleborus ferrugineus","Xylosandrus morigerus","Sampsonius dampfi","Xyleborus posticus"
0.991520787382593,0.994474327285794,0.941396339380099,0.999949569483413,0.893612492917559,0.933146043128156,0.912247859778359,0.880362082880008,0.94161542272343,0.948565966851981,0.99126588276999,0.877075385742149,0.976744244436042,0.999579025761357,0.934768319010501,0.999999847013683,0.9319866970607,0.980726012521002,0.997061675270474,0.852752755512997
0.98163300042703,0.985059645860907,0.904094463294641,0.9997247607574,0.843954343937493,0.880720682031059,0.830481670340611,0.791584631804539,0.902440500667387,0.923900119649179,0.97593360369566,0.838468844372431,0.95110632389342,0.998516449325853,0.89206787709189,0.999998718886364,0.89680413576322,0.965346982537207,0.990603482769472,0.76738785740366
0.971269913159318,0.973434903856699,0.873447072005266,0.999257508105078,0.806968182265208,0.835728183147376,0.759318687302714,0.720638930279212,0.869830037050911,0.904821876007512,0.956915566954549,0.811651651064677,0.925375824936063,0.996903490754444,0.856942818047683,0.999995559120681,0.869416902267199,0.951418051882728,0.981551571082864,0.703587479861684
0.960672199943984,0.96024540060437,0.846910615190743,0.998499305610467,0.776904145993795,0.796164727084585,0.697768502575166,0.662206804592931,0.841407153763427,0.888792235313893,0.935439285088776,0.790631659588058,0.900095253498424,0.994785825921796,0.826600871569264,0.999989271991592,0.846421053316502,0.938466698622681,0.970372510962368,0.652689716470574
0.949962256401851,0.945894328337894,0.823317344202646,0.997411092224327,0.75138107974406,0.760877607100492,0.644394992957268,0.613069631326538,0.816044361108544,0.87477636999427,0.91230360864707,0.773173516556583,0.8755008405701,0.992196096170727,0.799723071431064,0.999978736565471,0.826381194240687,0.926268118490072,0.957411302398982,0.610573265529842
0.939214873023441,0.930672113522648,0.801991804601118,0.995960098068845,0.729126417093116,0.729088375502158,0.597869822938043,0.571083558644506,0.79307345649652,0.862224959372283,0.888090736650122,0.758163244986893,0.851705549409886,0.989160856589405,0.775531462572696,0.999962813071932,0.808517585307472,0.914687976152075,0.94295389209335,0.574858887359819
0.928480198408073,0.914802752260502,0.782493262951666,0.994118397201412,0.709362548215736,0.700228784573158,0.557070230096477,0.534741932268379,0.772049990690903,0.850803004292838,0.863244863722111,0.744954913693144,0.828760328213384,0.985703291912315,0.753511211726284,0.999940346707537,0.792346421885832,0.903635731284066,0.927249121149929,0.544024472521855
0.917793740855604,0.89846556330604,0.764511727279192,0.991862136708408,0.691572494104034,0.673864315955586,0.521073368433352,0.502946049008796,0.752656450237602,0.840287573014506,0.838111355973042,0.733136539150749,0.806681370794442,0.981844532363651,0.733296418285952,0.999910170226608,0.77754136520257,0.893045585597373,0.910518279288845,0.51703007233158
0.907181510976477,0.881807201779622,0.747817653031713,0.989171091335914,0.675391863471638,0.649652176099807,0.489126776544214,0.474871883151666,0.734654679320014,0.830521071167349,0.812960227109248,0.722427415163106,0.785464271580785,0.977604370322194,0.714614039776166,0.999871105863267,0.763869206773407,0.882867186550743,0.892959853165086,0.493131338811279
0.896662972001348,0.8649490941892,0.732234566569244,0.986028391980258,0.660552511949306,0.627315722337569,0.460616904635337,0.449887329928019,0.71785960934796,0.821387028737637,0.788002069159489,0.712626745147021,0.765092110018935,0.973001678762461,0.697252964291687,0.99982196684945,0.751156067401614,0.873060527346987,0.874752189068975,0.471776512740314
