"Euwallacea fornicatus","Xyleborus ferrugineus","Xyleborus xylographus","Xyleborus germanus"
0.9905514161822,0.999660193810178,0.999989003122975,1
0.982558908628455,0.999163216285145,0.999935145829584,1
0.975108714835189,0.998582800638152,0.999816889847971,1
0.968023828083821,0.997940890246005,0.999617622869449,1
0.961221065280683,0.997249290178173,0.999323182852252,1
0.954651342683401,0.996515593133701,0.998921015924353,1
0.94828196533255,0.995745178174424,0.998399762665208,1
0.942089420338636,0.994942098345637,0.997749022015962,1
0.936055876033129,0.994109541662233,0.996959204936212,0.999999999999999
0.930167271349263,0.993250096656912,0.996021439118459,0.999999999999999
0.924412182525878,0.992365917157928,0.994927505146712,0.999999999999997
0.918781107262821,0.991458830454382,0.993669793122373,0.999999999999993
0.913265989705271,0.990530411506012,0.99224127313795,0.999999999999987
0.907859892442852,0.989582035705397,0.990635475363008,0.999999999999976
0.902556762466521,0.988614917511666,0.988846476896262,0.999999999999957
0.897351259501166,0.987630139447024,0.986868893390559,0.999999999999925
0.892238627096715,0.986628674323498,0.984697874004335,0.999999999999876
0.887214593845117,0.985611402593002,0.982329098597297,0.999999999999799
0.88227529633272,0.984579126107083,0.979758776339212,0.999999999999684
0.877417218103384,0.983532579182582,0.976983645079609,0.999999999999515
0.872637140633477,0.982472437611462,0.974000970957694,0.999999999999269
0.867932103466581,0.981399326078245,0.970808547831643,0.999999999998921
0.863299371435582,0.980313824327428,0.967404696184532,0.999999999998433
0.858736407441102,0.979216472337764,0.963788261227243,0.999999999997761
0.854240849638062,0.97810777469886,0.959958609971139,0.999999999996847
0.849810492157495,0.976988204340699,0.95591562708807,0.999999999995618
0.84544326869168,0.975858205733475,0.951659709414439,0.999999999993987
0.841137238419555,0.974718197650251,0.947191758991055,0.999999999991842
0.836890573860897,0.973568575565981,0.942513174562129,0.99999999998905
0.832701550332473,0.972409713751962,0.937625841485811,0.999999999985449
0.828568536744239,0.971241967113501,0.932532120035397,0.999999999980843
0.824489987523991,0.97006567280975,0.927234832095073,0.999999999974998
0.820464435498165,0.968881151687734,0.921737246276924,0.999999999967636
0.816490485587501,0.967688709557021,0.916043061506913,0.999999999958427
0.812566809200925,0.966488638327062,0.91015638914678,0.999999999946985
0.80869213923075,0.965281217025612,0.90408173373612,0.999999999932856
0.804865265568221,0.964066712713743,0.897823972454376,0.999999999915509
0.801085031071355,0.962845381310564,0.891388333416023,0.99999999989433
0.797350327927616,0.96161746833877,0.884780372923754,0.999999999868609
0.793660094362618,0.960383209600559,0.878005951814086,0.999999999837525
0.790013311653269,0.959142831792055,0.871071211037296,0.999999999800138
0.786409001409687,0.957896553063259,0.863982546619208,0.999999999755371
0.78284622309526,0.956644583529618,0.856746584155895,0.999999999701999
0.779324071758353,0.955387125740444,0.849370152994005,0.999999999638626
0.775841675952708,0.954124375108804,0.841860260249252,0.99999999956367
0.772398195826578,0.952856520306849,0.83422406481364,0.999999999475345
0.768992821363151,0.951583743630119,0.826468851498387,0.999999999371637
0.765624770757001,0.950306221333891,0.818602005454446,0.999999999250282
0.762293288913135,0.949024123944294,0.810630987006002,0.99999999910874
0.758997646056831,0.947737616546586,0.80256330702471,0.999999998944172
0.755737136443798,0.946446859052736,0.794406502963661,0.999999998753407
0.75251107716141,0.945152006450191,0.786168115660545,0.999999998532914
0.749318807012774,0.943853209033515,0.777855667009155,0.99999999827877
0.74615968547631,0.942550612620409,0.769476638587613,0.999999997986621
0.743033091734285,0.94124435875345,0.761038451320542,0.999999997651651
0.739938423764459,0.939934584888767,0.752548446241066,0.999999997268536
0.736875097489562,0.938621424572729,0.744013866407168,0.999999996831406
0.733842545979901,0.937305007607626,0.735441840015659,0.999999996333798
0.730840218704816,0.93598546020722,0.726839364746012,0.999999995768608
0.727867580829164,0.934662905142974,0.718213293355628,0.999999995128041
0.724924112551333,0.933337461881658,0.709570320537928,0.999999994403558
0.722009308479656,0.932009246715017,0.700916971044994,0.999999993585818
0.719122677044347,0.930678372882058,0.692259589067464,0.999999992664615
0.716263739942373,0.929344950684534,0.683604328856032,0.999999991628821
0.713432031612882,0.928009087596088,0.674957146561282,0.999999990466311
0.71062709874104,0.926670888365523,0.66632379326171,0.999999989163898
0.707848499788281,0.92533045511461,0.657709809143689,0.999999987707254
0.705095804547181,0.923987887430796,0.6491205187918,0.999999986080835
0.702368593719297,0.922643282455175,0.640561027543402,0.999999984267793
0.699666458514429,0.921296734966029,0.632036218857481,0.999999982249894
0.696989000269946,0.91994833745823,0.623550752644776,0.999999980007422
0.694335830088847,0.918598180218773,0.615109064503758,0.999999977519084
0.691706568495402,0.917246351398688,0.606715365805326,0.99999997476191
0.689100845107266,0.91589293708156,0.598373644567979,0.999999971711144
0.686518298323054,0.914538021348864,0.590087667064669,0.999999968340137
0.68395857502445,0.913181686342304,0.581860980102525,0.999999964620225
0.681421330291972,0.911824012323358,0.573696913917104,0.999999960520611
0.678906227133605,0.910465077730163,0.565598585623677,0.999999956008237
0.676412936225538,0.909104959231931,0.557568903169319,0.999999951047649
0.673941135664336,0.907743731781005,0.549610569731158,0.999999945600858
0.671490510729878,0.906381468662716,0.541726088507944,0.999999939627195
0.669060753658484,0.905018241543151,0.533917767854228,0.999999933083157
0.66665156342565,0.903654120514952,0.526187726708668,0.999999925922253
0.664262645537895,0.902289174141253,0.518537900270392,0.999999918094831
0.661893711833208,0.900923469497852,0.510970045879908,0.999999909547914
0.659544480289658,0.899557072213726,0.503485749063596,0.999999900225015
0.657214674841733,0.898190046509959,0.496086429703491,0.999999890065951
