"Sampsonius dampfi","Xyleborus affinis","Xyleborus posticus","Ambrosiodmus obliquus"
0.999904012676407,0.999999891086444,0.923852427536386,0.906078143931201
0.999597925724864,0.999999506070092,0.879486934538562,0.846781484956981
0.999070914321494,0.999998803970822,0.844256364721383,0.79958519001242
0.998317422944906,0.999997759999494,0.814464094591575,0.759965924589541
0.997334008452791,0.999996355649003,0.788456455099546,0.725747199230939
0.996118533513304,0.999994575952431,0.765297571904551,0.695639549323044
0.994669818871923,0.99999240825252,0.744388532539516,0.668792214783719
0.992987458487446,0.999989841531725,0.725315448397931,0.644604989937426
0.991071707553958,0.999986866003469,0.707776752166632,0.622634437255696
0.988923407806153,0.999983472842932,0.69154402809014,0.602541631428967
0.986543933609412,0.999979653999639,0.676439052029603,0.584060664405204
0.983935150323482,0.999975402061374,0.662319453803761,0.56697851831258
0.981099380196836,0.999970710152038,0.649069310725814,0.55112160510478
0.978039372993803,0.999965571852891,0.636592726827424,0.536346431496148
0.974758279633489,0.999959981140462,0.624809305101309,0.522532929229986
0.971259627750551,0.999953932336677,0.613650866556991,0.509579569696553
0.967547298475168,0.999947420068167,0.603059017179848,0.497399709212004
0.9636255039768,0.999940439232587,0.592983307463107,0.485918804852317
0.959498765479222,0.999932984970426,0.583379815938618,0.475072259694501
0.955171891564578,0.999925052641143,0.574210042382317,0.464803731850994
0.950649956660484,0.999916637802787,0.565440031319505,0.455063791023928
0.94593827965763,0.999907736194438,0.557039669566579,0.445808839346812
0.941042402643288,0.999898343720974,0.548982117186555,0.437000235897218
0.935968069762928,0.999888456439755,0.541243342041009,0.428603580049026
0.930721206241079,0.999878070548925,0.533801735725026,0.420588120044098
0.925307897605542,0.999867182377058,0.526637794112739,0.412926261252295
0.919734369167627,0.999855788373968,0.519733849693711,0.405593154508806
0.914006965816206,0.999843885102497,0.513073845791566,0.398566349307061
0.908132132185873,0.999831469231149,0.50664314492762,0.391825499918581
0.90211639325992,0.999818537527469,0.500428365230571,0.385352115008939
0.895966335467597,0.999805086852044,0.494417240042714,0.379129343232622
0.889688588332641,0.999791114153071,0.488598496835418,0.373141788769438
0.883289806726522,0.999776616461419,0.482961752294454,0.367375351919257
0.876776653775616,0.999761590886107,0.477497421022077,0.361817090779443
0.870155784466607,0.999746034610184,0.472196635765901,0.356455100748191
0.863433829989214,0.999729944886934,0.467051177453359,0.351278409170458
0.856617382849776,0.99971331903639,0.462053413606018,0.346276882903666
0.849712982783548,0.999696154442121,0.457196243946462,0.341441146952406
0.842727103487871,0.999678448548261,0.452473052203944,0.336762512623689
0.835666140192674,0.999660198856752,0.44787766328304,0.332232913901329
0.828536398079236,0.999641402924797,0.443404305089187,0.327844850940992
0.821344081552782,0.999622058362478,0.439047574412039,0.323591339754841
0.814095284369352,0.999602162830551,0.434802406356258,0.319465867293657
0.806795980612549,0.999581714038376,0.430664046883312,0.315462351249933
0.799452016511283,0.999560709741991,0.426628028089647,0.3115751040022
0.792069103085432,0.999539147742305,0.422690145898578,0.307798800202075
0.784652809602545,0.999517025883409,0.418846439887063,0.30412844757401
0.7772085578253,0.999494342050978,0.415093175005619,0.300559360555645
0.769741617026359,0.999471094170789,0.411426824981183,0.297087136455867
0.76225709974462,0.999447280207306,0.407844057219602,0.293707633849563
0.754759958254554,0.999422898162358,0.404341719047456,0.290416952963861
0.747254981718431,0.999397946073887,0.400916825152636,0.287211417841336
0.739746793989615,0.999372422014772,0.397566546100126,0.284087560092054
0.732239852033951,0.999346324091705,0.394288197814092,0.281042104069042
0.7247384449353,0.999319650444138,0.391079231930115,0.278071953321446
0.717246693450719,0.99929239924328,0.387937226932394,0.275174178196694
0.70976855008043,0.999264568691148,0.384859880000407,0.272346004477734
0.702307799617679,0.999236157019661,0.381844999497826,0.269584802954372
0.694868060143739,0.999207162489786,0.378890498043891,0.266888079838945
0.687452784433713,0.99917758339072,0.375994386113785,0.264253467946426
0.680065261739346,0.999147418039116,0.373154766120287,0.2616787185677
0.672708619915815,0.999116664778339,0.370369826933868,0.259161693972338
0.665385827860349,0.999085321977766,0.367637838802847,0.256700360483855
0.658099698231527,0.99905338803211,0.364957148639064,0.254292782076377
0.650852890419247,0.999020861360777,0.362326175637976,0.251937114446797
0.643647913736542,0.998987740407253,0.359743407205122,0.249631599521167
0.636487130805699,0.998954023638516,0.357207395163636,0.247374560358127
0.629372761112451,0.998919709544476,0.354716752219871,0.245164396415831
0.622306884703406,0.998884796637432,0.352270148666378,0.242999579152058
0.615291446003209,0.998849283451565,0.34986630930339,0.240878647930099
0.608328257729384,0.998813168542434,0.347504010561709,0.238800206205555
0.601419004884153,0.998776450486508,0.345182077811399,0.236762917971532
0.594565248803943,0.998739127880711,0.342899382842135,0.234765504441753
0.587768431248644,0.998701199341982,0.340654841502232,0.232806740952967
0.581029878514026,0.998662663506858,0.33844741148458,0.230885454069706
0.574350805552012,0.998623519031066,0.33627609024866,0.229000518875934
0.567732320084802,0.998583764589143,0.334139913068764,0.227150856439486
0.561175426700026,0.998543398874051,0.332037951199364,0.225335431436399
0.554681030915321,0.998502420596827,0.329969310149324,0.223553249923352
0.548249943201804,0.998460828486232,0.327933128057322,0.221803357247415
0.541882882957042,0.998418621288416,0.325928574161468,0.220084836083209
0.535580482419088,0.998375797766599,0.323954847356669,0.218396804588398
0.529343290514153,0.998332356700758,0.322011174833805,0.216738414669173
0.523171776631371,0.998288296887329,0.320096810795212,0.215108850348046
0.517066334318981,0.998243617138915,0.318211035241449,0.213507326226912
0.511027284897053,0.998198316284009,0.316353152824653,0.211933086038866
