"Ambrosiodmus obliquus","Ambrosiodmus tachygraphus","Xyleborus posticus","Xyleborus germanus","Xyleborus obesus","Xylosandrus compactus","mutillatus","Xylosandrus morigerus","Xyleborus seriatus","Coptoborus pseudotenuis","Xyleborinus saxeseni"
0.930993001746416,0.981040765446347,0.901324846664302,0.905680214356209,0.919809532273283,0.972048401732004,0.98312441229071,0.99941033791543,0.919546221552734,0.999947116247512,0.930482405741502
0.874916294268513,0.95585432098035,0.841679792967759,0.868582014907249,0.851585932834148,0.951624353165122,0.965469586258949,0.998548842624328,0.868861209339903,0.999780546494032,0.894533785902871
0.826480151327871,0.928606872663875,0.794810146785787,0.841573960456218,0.792803812680785,0.933757044337944,0.94791347430776,0.997543698556538,0.828063480791449,0.999495594603529,0.86657920746496
0.783850206158731,0.900599010616109,0.755751694381888,0.819795528268624,0.741624026256289,0.917542544284034,0.930647643088708,0.996433196176952,0.793418670968085,0.999089803883984,0.843129606007274
0.745882649070203,0.872520467097683,0.722176415946078,0.801344284248262,0.696658783381338,0.902559754249975,0.913753808346148,0.995238012182864,0.7631665302603,0.998561576802112,0.822712414741809
0.711767758975535,0.844785070752688,0.692730345368858,0.785240255437132,0.656839631455217,0.888561379832917,0.897270995210356,0.993971496747818,0.736274491706808,0.997909824522887,0.804527312705279
0.680896719218359,0.817652079740133,0.666532754779628,0.770900447738336,0.621330174800704,0.87538339137345,0.881217103630715,0.992643144949917,0.712064129902379,0.997133816398888,0.78807758841529
0.652794941664148,0.79128452059654,0.642969253727704,0.757945126811448,0.589466160396962,0.862908385484239,0.865598210392827,0.991260139246203,0.690057162878409,0.996233100545717,0.773028150469666
0.627083220767421,0.765781931453574,0.621590052154302,0.746110919144545,0.560713287864033,0.851047830002865,0.850413293435547,0.98982815103559,0.669899710019119,0.995207456431696,0.759139525106832
0.603452938744058,0.741200562221061,0.60205394911777,0.735206506108189,0.534636876690867,0.839732379734583,0.835656895468109,0.988351802691571,0.651320510372115,0.994056864040033,0.74623316640873
0.581649256618828,0.717566618139254,0.584094929978171,0.725087877506899,0.510879663593724,0.828906128877816,0.821320737311882,0.986834954459896,0.634105924991924,0.992781482444678,0.73417155717723
0.561459223251229,0.694885299161271,0.56750101977669,0.715643527683262,0.489145290959385,0.818522975747514,0.807394746274285,0.985280892925418,0.618084045266541,0.991381634097848,0.722846017628722
0.542703091810112,0.673147139020632,0.552100258924891,0.70678511076436,0.469185851730036,0.808544206123026,0.793867736361035,0.983692460415663,0.603114102385648,0.98985779275512,0.712168841878488
0.525227819583067,0.652332532238261,0.537751049473704,0.698441281097956,0.450792372589508,0.798936821025891,0.780727870404728,0.982072147080981,0.589079138268099,0.988210573802412,0.702068011432224
0.508902104049223,0.632415005803374,0.524335303742108,0.690553485878723,0.433787456693867,0.789672340833164,0.767962979995326,0.980422158376577,0.57588077445126,0.986440726212333,0.692483517940786
0.493612528876238,0.613363600678283,0.511753455988404,0.683073004027913,0.418019534708725,0.78072592611008,0.755560789685353,0.978744465757788,0.563435380938882,0.984549125627917,0.683364731241427
0.479260529381731,0.595144611103483,0.499920750836908,0.675958808452559,0.403358328191177,0.772075715952584,0.743509075085558,0.977040845577386,0.551671208408463,0.98253676823724,0.67466846923839
0.465759974093268,0.577722854677918,0.48876442959609,0.669175988494933,0.38969123704895,0.763702319889884,0.731795774357981,0.975312909479709,0.540526200910073,0.980404765207741,0.666357552550751
0.453035216743567,0.561062596398848,0.478221562271879,0.662694563305897,0.376920438610114,0.755588420817974,0.72040906631507,0.973562128531266,0.529946300199268,0.978154337518255,0.65839970228688
0.441019512336156,0.545128215813149,0.468237353035517,0.656488574138447,0.36496053991396,0.747718459904088,0.709337424279594,0.971789852648778,0.519884112295646,0.97578681107362,0.650766685934742
0.429653718312837,0.529884682620443,0.45876379884512,0.650535379577177,0.353736663896496,0.740078383128554,0.698569652176556,0.969997326436729,0.51029784556047,0.973303612019214,0.643433646074601
0.418885221338844,0.515297889093067,0.449758615519863,0.644815101006601,0.343182878688426,0.732655434935039,0.688094907508457,0.968185702242221,0.501150455431569,0.970706262195819,0.636378566073477
