"","t12","t18","t5","t15","t2","t1","t8","t4","t7","t20","t17","t14","t13","t10","t11","t16","t3","t6","t19","t9"
"p1",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1
"p2",0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"p3",0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
