"Pest","FocalHost","intercept","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","slope","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %"
"Bacterium90","citrus",109.480803561583,40171.0272771746,0.00272536728538656,0.997825474212401,-78624.2858816766,78843.2474887998,-66.1945752159972,24443.0679035561,-0.00270811239723173,0.997839241570452,-47973.7273378529,47841.3381874209
"Bacterium90","fortunella",109.480803561574,40171.0272771431,0.00272536728538846,0.997825474212399,-78624.2858816151,78843.2474887382,-66.1945752159916,24443.0679035369,-0.00270811239723362,0.99783924157045,-47973.7273378153,47841.3381873833
"Bacterium90","murraya",109.480803561573,40171.0272771448,0.00272536728538835,0.997825474212399,-78624.2858816183,78843.2474887414,-66.1945752159914,24443.0679035379,-0.00270811239723351,0.99783924157045,-47973.7273378172,47841.3381873852
"Bacterium89","citrus",18.5889151220494,5.85809188075943,3.17320306687296,0.00150767033255011,7.1072660176344,30.0705642264644,-10.4172251115773,2.87933871086532,-3.61792277937549,0.000296976967853261,-16.0606252841653,-4.7738249389893
"Bacterium89","fortunella",18.5889151220494,5.85809188075942,3.17320306687296,0.00150767033255011,7.10726601763438,30.0705642264643,-10.4172251115773,2.8793387108653,-3.61792277937551,0.000296976967853241,-16.0606252841653,-4.77382493898932
"Bacterium89","lycopersicon",2.20469615040387,3.06359560018851,0.719643333561456,0.471744624178282,-3.79984088916098,8.20923318996871,-2.58998694548783,1.31901813951556,-1.96357189328652,0.0495797595455224,-5.17521499389334,-0.00475889708230559
"Bacterium89","murraya",18.5889151220494,5.85809188075943,3.17320306687295,0.00150767033255013,7.10726601763437,30.0705642264643,-10.4172251115773,2.87933871086532,-3.61792277937551,0.000296976967853249,-16.0606252841653,-4.77382493898932
"Bacterium89","poncirus",18.5889151220494,5.85809188075939,3.17320306687298,0.00150767033255001,7.10726601763447,30.0705642264643,-10.4172251115773,2.8793387108653,-3.61792277937553,0.000296976967853221,-16.0606252841653,-4.77382493898936
"Bacterium1824","malus",117.376360763154,22953.0515312355,0.00511375843004678,0.995919828884101,-44869.7779757503,45104.5306972766,-62.8834897527623,12167.0625545426,-0.00516833783592939,0.995876281394307,-23909.8878943022,23784.1209147967
"Bacterium1824","prunus",117.376360763185,22953.0515312948,0.00511375843003494,0.99591982888411,-44869.7779758666,45104.5306973929,-62.883489752779,12167.0625545741,-0.0051683378359174,0.995876281394316,-23909.8878943639,23784.1209148583
"Bacterium1824","pyrus",117.376360763172,22953.0515312828,0.00511375843003703,0.995919828884109,-44869.777975843,45104.5306973693,-62.8834897527718,12167.0625545677,-0.00516833783591953,0.995876281394315,-23909.8878943513,23784.1209148458
"Bacterium1829","allium",0.759910774895151,1.82759925615231,0.415797266461472,0.677558359292435,-2.82211794533557,4.34193949512587,-1.38282477801273,0.754839453512851,-1.83194555024565,0.0669595332627986,-2.86228292100781,0.0966333649823572
"Bacterium1829","amaranthus",4.03365540593285,2.55761495642471,1.5771159751003,0.114768842035263,-0.979177794980548,9.04648860684626,-2.82111034636249,1.08900985648183,-2.59052783551142,0.00958288713157791,-4.95553044387602,-0.686690248848962
"Bacterium1829","beta",4.03365540593293,2.55761495642471,1.57711597510032,0.114768842035257,-0.979177794980486,9.04648860684634,-2.82111034636252,1.08900985648183,-2.59052783551145,0.00958288713157725,-4.95553044387605,-0.686690248848989
"Bacterium1829","brassica",1.11487959553598,1.86615992301803,0.597419107432631,0.550227599844571,-2.5427266429714,4.77248583404336,-1.59900406081235,0.804804800203099,-1.98682222125021,0.046942101218427,-3.17639248379538,-0.0216156378293277
"Bacterium1829","cicer",1.76115343963543,1.64876783127624,1.06816339221769,0.285446814732983,-1.47037212853421,4.99267900780508,-1.95309385383602,0.747640318742034,-2.61234420466015,0.00899236673221759,-3.41844195196045,-0.487745755711584
"Bacterium1829","cichorium",0.447836956426899,1.68010939471088,0.266552260130635,0.789813916877427,-2.84511694729382,3.74079086014762,-1.2973887484202,0.7196108255313,-1.8029033227263,0.0714033990934973,-2.70780004934668,0.113022552506286
"Bacterium1829","citrus",0.938231884091282,1.89381996082169,0.495417676178788,0.620305319911919,-2.77358703232228,4.65005080050484,-1.53111712765051,0.823034272289602,-1.86033216258552,0.0628385458525635,-3.14423465938026,0.0820004040792388
"Bacterium1829","dianthus",6.50027333207569,3.51912381705239,1.84712833932632,0.0647285421156292,-0.397082606484127,13.3976292706355,-3.84951528293344,1.49333250469271,-2.57780184308355,0.00994309988241185,-6.77639320907415,-0.922637356792736
"Bacterium1829","lens",1.17552216592579,1.32684716694686,0.885951445810243,0.375643691943407,-1.42505049427905,3.77609482613064,-1.70355011040922,0.607291151265782,-2.80516208223765,0.00502912834724765,-2.89381889502002,-0.513281325798422
"Bacterium1829","lycopersicon",1.19730313219787,2.12889902166899,0.562404848708711,0.573840216259829,-2.97526227699591,5.36986854139166,-1.61075036240421,0.904330951484422,-1.78115142444282,0.0748877167081566,-3.38320645741851,0.161705732610098
"Bacterium1829","morus",1.36898502912756,2.0854157609221,0.65645664273787,0.511530355682852,-2.71835475507194,5.45632481332706,-1.72371758503339,0.908096140763291,-1.89816640293673,0.0576741650649906,-3.50355331542925,0.0561181453624799
"Bacterium1829","phaseolus",0.749031752259587,1.37248512677535,0.545748538652244,0.585238801799987,-1.94098966553699,3.43905317005616,-1.49798667452998,0.621509583185795,-2.41023906156274,0.0159420706290231,-2.71612307362064,-0.279850275439325
