"phy","focal","t168","t289","t3","t154","t161","t234","t52","t218","t36","t17","t151","t129","t271","t107","t89","t171","t246","t227","t189","t286","t214","t103","t40","t262","t256","t9","t269","t158","t91","t106","t26","t208","t220","t28","t82","t146","t205","t173","t162","t285","t156","t178","t231","t125","t248","t127","t49","t261","t60","t45","t41","t67","t98","t230","t148","t283","t131","t118","t75","t66","t113","t258","t19","t155"
3,"t158",0.498026546174478,0.498026546174478,0.502133606161809,0.49812810134011,0.49812810134011,0.499519396106667,0.499519396106667,0.498026546174478,0.498026546174478,0.498026546174478,0.499871927623987,0.498026546174478,0.498026546174478,0.498026546174478,0.498026546174478,0.498026546174478,0.515161912262666,0.498026546174478,0.498026546174478,0.498026546174478,0.499519396106667,0.498026546174478,0.498026546174478,0.499519396106667,0.499871927623987,0.499871927623987,0.521733248920242,0.536238548049249,0.498026546174478,0.498026546174478,0.498026546174478,0.498026546174478,0.498026546174478,0.49812810134011,0.49812810134011,0.502133606161809,0.499871927623987,0.498026546174478,0.498026546174478,0.498026546174478,0.498026546174478,0.498026546174478,0.498026546174478,0.499519396106667,0.499871927623987,0.499519396106667,0.499519396106667,0.499519396106667,0.498026546174478,0.498026546174478,0.49812810134011,0.502133606161809,0.502133606161809,0.498026546174478,0.498026546174478,0.498026546174478,0.498026546174478,0.49812810134011,0.499519396106667,0.499871927623987,0.502133606161809,0.49812810134011,0.498026546174478,0.499519396106667
3,"t91",0.504162106026137,0.445748964816768,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.445748964816768,0.445748964816768,0.852671533756851,0.397877093655471,0.445748964816768,0.445748964816768,0.445748964816768,0.569327157936254,0.569327157936254,0.397877093655471,0.504162106026137,0.445748964816768,0.793504617025372,0.397877093655471,0.618428477572666,0.852671533756851,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.996722478434838,0.967303627175936,0.445748964816768,0.445748964816768,0.445748964816768,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.504162106026137,0.504162106026137,0.618428477572666,0.618428477572666,0.793504617025372,0.766861501492629,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.445748964816768,0.445748964816768,0.397877093655471,0.397877093655471,0.397877093655471,0.504162106026137,0.504162106026137,0.852671533756851,0.852671533756851,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.569327157936254,0.397877093655471
3,"t106",0.504162106026137,0.445748964816768,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.445748964816768,0.445748964816768,0.852671533756851,0.397877093655471,0.445748964816768,0.445748964816768,0.445748964816768,0.569327157936254,0.569327157936254,0.397877093655471,0.504162106026137,0.445748964816768,0.793504617025372,0.397877093655471,0.618428477572666,0.852671533756851,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.967303627175936,0.996722478434838,0.445748964816768,0.445748964816768,0.445748964816768,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.504162106026137,0.504162106026137,0.618428477572666,0.618428477572666,0.793504617025372,0.766861501492629,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.445748964816768,0.445748964816768,0.397877093655471,0.397877093655471,0.397877093655471,0.504162106026137,0.504162106026137,0.852671533756851,0.852671533756851,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.397877093655471,0.569327157936254,0.397877093655471
3,"t26",0.468001877519427,0.776911565021266,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.580753425409915,0.580753425409915,0.468001877519427,0.416061298851513,0.848834311297764,0.848834311297764,0.580753425409915,0.468001877519427,0.468001877519427,0.416061298851513,0.468001877519427,0.580753425409915,0.468001877519427,0.416061298851513,0.468001877519427,0.468001877519427,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.468001877519427,0.468001877519427,0.998054491411151,0.977665335349523,0.580753425409915,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.468001877519427,0.468001877519427,0.468001877519427,0.468001877519427,0.468001877519427,0.468001877519427,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.959996530173182,0.959996530173182,0.416061298851513,0.416061298851513,0.416061298851513,0.468001877519427,0.468001877519427,0.468001877519427,0.468001877519427,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.468001877519427,0.416061298851513
3,"t208",0.468001877519427,0.776911565021266,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.580753425409915,0.580753425409915,0.468001877519427,0.416061298851513,0.848834311297764,0.848834311297764,0.580753425409915,0.468001877519427,0.468001877519427,0.416061298851513,0.468001877519427,0.580753425409915,0.468001877519427,0.416061298851513,0.468001877519427,0.468001877519427,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.468001877519427,0.468001877519427,0.977665335349523,0.998054491411151,0.580753425409915,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.468001877519427,0.468001877519427,0.468001877519427,0.468001877519427,0.468001877519427,0.468001877519427,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.959996530173182,0.959996530173182,0.416061298851513,0.416061298851513,0.416061298851513,0.468001877519427,0.468001877519427,0.468001877519427,0.468001877519427,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.416061298851513,0.468001877519427,0.416061298851513
3,"t28",0.481557376587027,0.481557376587027,0.483000815115705,0.544492652892707,0.544492652892707,0.483000815115705,0.483000815115705,0.481557376587027,0.481557376587027,0.481557376587027,0.483000815115705,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.483000815115705,0.481557376587027,0.481557376587027,0.481557376587027,0.483000815115705,0.481557376587027,0.481557376587027,0.483000815115705,0.483000815115705,0.483000815115705,0.483000815115705,0.483000815115705,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.891388499360076,0.790461215772246,0.483000815115705,0.483000815115705,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.483000815115705,0.483000815115705,0.483000815115705,0.483000815115705,0.483000815115705,0.481557376587027,0.481557376587027,0.600629643104554,0.483000815115705,0.483000815115705,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.600629643104554,0.483000815115705,0.483000815115705,0.483000815115705,0.544492652892707,0.481557376587027,0.483000815115705
3,"t82",0.481557376587027,0.481557376587027,0.483000815115705,0.544492652892706,0.544492652892706,0.483000815115705,0.483000815115705,0.481557376587027,0.481557376587027,0.481557376587027,0.483000815115705,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.483000815115705,0.481557376587027,0.481557376587027,0.481557376587027,0.483000815115705,0.481557376587027,0.481557376587027,0.483000815115705,0.483000815115705,0.483000815115705,0.483000815115705,0.483000815115705,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.790461215772245,0.891388499360074,0.483000815115705,0.483000815115705,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.483000815115705,0.483000815115705,0.483000815115705,0.483000815115705,0.483000815115705,0.481557376587027,0.481557376587027,0.600629643104553,0.483000815115705,0.483000815115705,0.481557376587027,0.481557376587027,0.481557376587027,0.481557376587027,0.600629643104553,0.483000815115705,0.483000815115705,0.483000815115705,0.544492652892706,0.481557376587027,0.483000815115705
3,"t173",0.569852903447273,0.484392952327923,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.484392952327923,0.484392952327923,0.550600908227647,0.429251515482013,0.484392952327923,0.484392952327923,0.484392952327923,0.550600908227647,0.550600908227647,0.429251515482013,0.927495365358537,0.484392952327923,0.550600908227647,0.429251515482013,0.550600908227647,0.550600908227647,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.550600908227647,0.550600908227647,0.484392952327923,0.484392952327923,0.484392952327923,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.998718332327981,0.98570156066645,0.550600908227647,0.550600908227647,0.550600908227647,0.550600908227647,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.484392952327923,0.484392952327923,0.429251515482013,0.429251515482013,0.429251515482013,0.569852903447273,0.569852903447273,0.550600908227647,0.550600908227647,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.550600908227647,0.429251515482013
3,"t162",0.569852903447274,0.484392952327924,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.484392952327924,0.484392952327924,0.550600908227648,0.429251515482013,0.484392952327924,0.484392952327924,0.484392952327924,0.550600908227648,0.550600908227648,0.429251515482013,0.927495365358538,0.484392952327924,0.550600908227648,0.429251515482013,0.550600908227648,0.550600908227648,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.550600908227648,0.550600908227648,0.484392952327924,0.484392952327924,0.484392952327924,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.98570156066645,0.998718332327981,0.550600908227648,0.550600908227648,0.550600908227648,0.550600908227648,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.484392952327924,0.484392952327924,0.429251515482013,0.429251515482013,0.429251515482013,0.569852903447274,0.569852903447274,0.550600908227648,0.550600908227648,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.429251515482013,0.550600908227648,0.429251515482013
3,"t285",0.582035749605905,0.451954232082102,0.347130502769254,0.347130502769254,0.347130502769254,0.347130502769254,0.347130502769254,0.451954232082102,0.451954232082102,0.79782213582542,0.347130502769254,0.451954232082102,0.451954232082102,0.451954232082102,0.714529522947705,0.714529522947705,0.347130502769254,0.582035749605905,0.451954232082102,0.79782213582542,0.347130502769254,0.999451705819896,0.79782213582542,0.347130502769254,0.347130502769254,0.347130502769254,0.347130502769254,0.347130502769254,0.79782213582542,0.79782213582542,0.451954232082102,0.451954232082102,0.451954232082102,0.347130502769254,0.347130502769254,0.347130502769254,0.347130502769254,0.582035749605905,0.582035749605905,0.999997886151499,0.999851748288885,0.79782213582542,0.79782213582542,0.347130502769254,0.347130502769254,0.347130502769254,0.347130502769254,0.347130502769254,0.451954232082102,0.451954232082102,0.347130502769254,0.347130502769254,0.347130502769254,0.582035749605905,0.582035749605905,0.79782213582542,0.79782213582542,0.347130502769254,0.347130502769254,0.347130502769254,0.347130502769254,0.347130502769254,0.714529522947705,0.347130502769254
