"pd","t168","t289","t154","t161","t234","t218","t36","t17","t271","t89","t171","t103","t40","t269","t158","t91","t106","t26","t208","t28","t82","t173","t162","t285","t156","t49","t60","t45","t230","t148","t283","t131"
0,0.999999999145478,0.959669465531103,0.800362785554297,0.643300880708718,0.0128174471297293,0.942686781172521,0.942686781172521,0.996236856978697,0.836423480666963,0.99083949863858,0.99083949863858,0.999993289540005,0.994209603438484,0.327162234094044,0.327162234094044,0.995287648749294,0.995287648749294,0.888165245858592,0.886703090170489,0.916544770061198,0.916544770061198,0.878863677113092,0.878863677113089,0.999993214939158,0.999993214939158,0.00839144403936298,0.900845120126899,0.900845120126901,0.999999998847997,0.999999998847997,0.993240280089063,0.993240280089063
1,0.999999978674059,0.923588230800638,0.728153394966575,0.574316834007899,0.0195053908551957,0.898601633482105,0.898601633482105,0.989418752328231,0.764237114437945,0.977842905512523,0.977842905512523,0.999952856905662,0.984727745770971,0.304681186235258,0.304681186235258,0.987186547369655,0.987186547369656,0.824507154474048,0.822695284054995,0.863998006469196,0.863998006469197,0.814425818537508,0.814425818537505,0.99995240939221,0.99995240939221,0.0136853376266323,0.840419698032689,0.840419698032692,0.999999972458126,0.999999972458126,0.98259046621681,0.98259046621681
2,0.999999859973945,0.890504527716361,0.67904021597726,0.532382077953126,0.0248975378142411,0.860569768950917,0.860569768950917,0.980720895065742,0.712882296569883,0.963130192153968,0.963130192153968,0.999852547368134,0.973231694282529,0.291941421917789,0.291941421917789,0.977122086353975,0.977122086353975,0.775583632219448,0.773627404078576,0.821814950300095,0.821814950300096,0.765841501704592,0.765841501704589,0.999851287674709,0.999851287674709,0.0181921272147291,0.792880462634,0.792880462634003,0.999999823645076,0.999999823645076,0.969923484836047,0.969923484836047
3,0.99999946777807,0.85993848627198,0.641523852312785,0.502312948417936,0.0295784401476476,0.826835375126899,0.826835375126899,0.970611934906203,0.672661822713197,0.947386327043509,0.947386327043509,0.999668885585102,0.96033860602756,0.283094962491786,0.283094962491786,0.965639470501781,0.965639470501781,0.735408625701289,0.733398434842106,0.786087530807657,0.786087530807658,0.726382192172666,0.726382192172663,0.999666280034314,0.999666280034314,0.0222440610841011,0.753256789363828,0.753256789363831,0.999999341534309,0.999999341534309,0.955906921755172,0.955906921755172
4,0.999998500710902,0.831559601716527,0.61115124665883,0.478966762561836,0.0337864801581222,0.796453801157287,0.796453801157287,0.959390990247618,0.639573436774532,0.93099886819734,0.93099886819734,0.999379954291552,0.946424783394141,0.27634599700734,0.27634599700734,0.953078601475978,0.953078601475978,0.701247237918451,0.699230353296857,0.754966400614137,0.754966400614138,0.693070946276752,0.693070946276748,0.999375399662732,0.999375399662732,0.0259825836227063,0.719203044535894,0.719203044535897,0.999998170538057,0.999998170538057,0.940940336312915,0.940940336312915
5,0.999996505442526,0.805111712888843,0.585665450580968,0.459954911863923,0.0376482982006975,0.768811140903341,0.768811140903341,0.947278501796208,0.611499919744317,0.914223910993232,0.914223910993232,0.998964976556066,0.931756149376987,0.270906128661038,0.270906128661038,0.939684680538326,0.939684680538327,0.671541388211009,0.669544548492593,0.72736469157806,0.72736469157806,0.66425014462862,0.664250144628616,0.998957817129173,0.998957817129173,0.0294851109341097,0.689349571036094,0.689349571036097,0.999995783755598,0.999995783755598,0.925301238557757,0.925301238557758
6,0.999992853162461,0.780385951502153,0.563747794272912,0.443968825495206,0.0412412103510986,0.74346917829456,0.74346917829456,0.934448895523553,0.58716415738994,0.89724387540675,0.89724387540675,0.99840411259557,0.916534647671847,0.266359644382201,0.266359644382201,0.925647736428542,0.925647736428543,0.645294830292306,0.643333719738932,0.702567759525304,0.702567759525305,0.638878343739811,0.638878343739808,0.998393653261681,0.998393653261681,0.0328000259042846,0.662803008352918,0.662803008352922,0.999991459157072,0.999991459157072,0.909196800503401,0.909196800503401
7,0.999986717738754,0.757207231604075,0.544555178551471,0.430212999834416,0.044616740675331,0.720097024168525,0.720097024168525,0.921045803644897,0.565728966183732,0.880194210888984,0.880194210888984,0.997678354981146,0.900919911108348,0.26246080941115,0.26246080941115,0.911121068103566,0.911121068103567,0.621822671263203,0.619906554278568,0.680071751404305,0.680071751404306,0.616249529410604,0.6162495294106,0.997663872080178,0.997663872080178,0.0359602057067926,0.638938962341412,0.638938962341415,0.99998425775954,0.99998425775954,0.892788005116059,0.89278800511606
8,0.999977055190886,0.735426190780928,0.527513611368193,0.418167583875454,0.0478113736362359,0.698435291343387,0.698435291343388,0.907190341253203,0.546612754777275,0.863177932154028,0.863177932154028,0.996769478262859,0.885041154946117,0.259052457934926,0.259052457934925,0.896231329103895,0.896231329103897,0.600629802655105,0.598764023328505,0.659504002597235,0.659504002597236,0.595859125090047,0.595859125090043,0.996750228996798,0.996750228996798,0.0389893255277119,0.617299698644412,0.617299698644415,0.999973003338843,0.999973003338843,0.876202920667088,0.876202920667089
9,0.999962584239728,0.714913834375779,0.512213687839992,0.40747423305898,0.0508521246751058,0.67827511058062,0.67827511058062,0.892986123302448,0.529393716437222,0.846274443148505,0.846274443148505,0.995660022328986,0.869004474891217,0.256028082669245,0.256028082669245,0.881084687350911,0.881084687350913,0.581344775882419,0.579532200865178,0.640579040273957,0.640579040273958,0.577332158459524,0.577332158459521,0.995635253229696,0.995635253229696,0.0419051783700915,0.597537655186095,0.597537655186098,0.999956263389721,0.999956263389721,0.859544856818217,0.859544856818218
