"pd","t82","t175","t124","t233","t206","t81","t209","t199","t110","t300","t296","t145","t213","t150","t147","t266","t76","t190","t53","t11","t5","t154","t188","t30","t37","t189","t254","t288","t98","t185","t151","t176","t128","t122","t144","t26","t17","t9","t73","t56","t10","t31","t178","t87","t89","t20","t85","t95","t217"
0,0.994212624945124,0.518459875024125,0.988992147212846,0.858560125295232,0.424369218792135,0.385226868354813,0.413858499707678,0.636738526246556,0.765309320881353,0.246728150147533,0.775840409953127,0.989914732093848,0.918449385705206,0.970698212423944,0.101602081441493,0.505893800692612,0.505893800692613,0.504465373243139,0.95093827362827,0.660597500620317,0.660597500620315,0.684961318259832,0.68496131825983,0.244495119857308,0.244495119857309,0.986887477711305,0.986887477711305,0.94555981999151,0.94555981999151,0.777923775183398,0.269121629486342,0.269121629486343,0.988087356803812,0.988087356803811,0.776333480795238,0.776333480795239,0.98766639372271,0.98766639372271,0.986795809773928,0.986795809773927,0.967146262570418,0.967146262570419,0.984651654656773,0.257629479961676,0.257629479961676,0.986349091292794,0.986349091292794,0.984393652409162,0.984393652409162
1,0.98390211131135,0.456740147659549,0.972893547209945,0.784242419163892,0.377305224565099,0.344316967063691,0.369021089603802,0.556894821726586,0.681622970600447,0.232590481188334,0.692862230828187,0.974192358035389,0.857334304271843,0.937300208620966,0.109213929532413,0.445237402607163,0.445237402607165,0.443803591363929,0.904709626028041,0.578543751552093,0.578543751552092,0.603282705589108,0.603282705589106,0.23057060405274,0.230570604052741,0.967495770483303,0.967495770483303,0.896388758598227,0.896388758598227,0.694733631809208,0.250750595666135,0.250750595666136,0.970343965809447,0.970343965809446,0.693054856957586,0.693054856957588,0.969115208559422,0.969115208559422,0.967425260288258,0.967425260288257,0.931134712644288,0.931134712644289,0.963060955970605,0.241225060903645,0.241225060903645,0.966391472164325,0.966391472164325,0.962547545364353,0.962547545364353
2,0.970923521739535,0.421123897305842,0.954512193328623,0.729202993694426,0.350751805150373,0.321371912392281,0.343752793461706,0.508492063284899,0.62600242117048,0.224586474931425,0.637178611620706,0.955720558390198,0.806259498173662,0.903712973429582,0.113895050405538,0.410384467966882,0.410384467966883,0.408967084201417,0.862143264502689,0.528108533697099,0.528108533697098,0.552316566920953,0.552316566920951,0.222686917591217,0.222686917591218,0.945354949386279,0.945354949386279,0.851957962958337,0.851957962958337,0.638779431737254,0.240398813524546,0.240398813524546,0.949972546716916,0.949972546716915,0.637126630641251,0.637126630641252,0.947750930619549,0.947750930619549,0.94538487885479,0.945384878854788,0.895587627053313,0.895587627053314,0.939010691202873,0.231965479492067,0.231965479492067,0.943736229596929,0.943736229596929,0.938272464787832,0.938272464787832
3,0.95603515338156,0.396320706432893,0.934803358313915,0.685193567404667,0.332446316215213,0.305592000144039,0.326336826331763,0.473999037619454,0.584304451858478,0.219027358788771,0.595194359697761,0.935555325208476,0.762273528626394,0.870898206738652,0.117321572881253,0.38616970448266,0.386169704482661,0.384772295378843,0.823028270582407,0.491910303193248,0.491910303193247,0.515409382708669,0.515409382708668,0.217211118996474,0.217211118996475,0.921701524475765,0.921701524475765,0.811652261096399,0.811652261096399,0.596542584045474,0.233233434429245,0.233233434429245,0.928095725445812,0.92809572544581,0.594946960278074,0.594946960278075,0.924785794231355,0.924785794231355,0.921887504087427,0.921887504087424,0.861310712251914,0.861310712251916,0.913758512307425,0.225547830354624,0.225547830354624,0.919633225052761,0.919633225052761,0.912828794507245,0.912828794507245
4,0.939727436874646,0.377435620581653,0.914317962491084,0.648545633782615,0.318584564159932,0.293656373671231,0.313147445125793,0.447397222531672,0.551073970075017,0.214784028077347,0.561604995283895,0.914330646451937,0.72371587313142,0.839263558418546,0.120040624531333,0.367761063315161,0.367761063315162,0.366383600368967,0.787051846558981,0.463871582729178,0.463871582729177,0.486644720499197,0.486644720499196,0.213031211247293,0.213031211247294,0.897252013082074,0.897252013082074,0.774939459486541,0.774939459486541,0.562728663848663,0.227778771767644,0.227778771767645,0.905368034983741,0.905368034983739,0.561199036154825,0.561199036154827,0.900930666188615,0.900930666188615,0.897632268163973,0.89763226816397,0.828601587398683,0.828601587398685,0.888006716297186,0.220657262573678,0.220657262573678,0.894800729153118,0.894800729153118,0.886917602230378,0.886917602230378
5,0.92236224443607,0.36227406899079,0.893421958731215,0.617219589750897,0.307490954985695,0.284109367463933,0.30258966129784,0.425876420082574,0.523565921453698,0.211361542130515,0.533720119497904,0.89248123756241,0.689492314262005,0.808989358242582,0.122302490996244,0.35299841613652,0.352998416136521,0.351639951184368,0.753899999342881,0.441122668931697,0.441122668931696,0.463199187413782,0.46319918741378,0.209659751933948,0.209659751933948,0.872478640601045,0.872478640601045,0.741368707959779,0.741368707959779,0.534645980755465,0.223389204556267,0.223389204556267,0.882225440176291,0.882225440176288,0.533183308776295,0.533183308776296,0.876659739273634,0.876659739273634,0.873078142083179,0.873078142083176,0.79755771746528,0.797557717465282,0.862201394216925,0.216718151554479,0.216718151554479,0.869708155041908,0.869708155041908,0.860982378871318,0.860982378871318
6,0.904223248000177,0.349664214495032,0.872374637657358,0.58993973565423,0.298281313006606,0.276185271659572,0.293822464150057,0.407894063430034,0.500189305505329,0.208499149334036,0.509971077977672,0.870323356971114,0.658823003118274,0.780142016775386,0.124243399197135,0.340730690346177,0.340730690346177,0.339390063039034,0.723282691713337,0.42207587208265,0.422075872082649,0.443498285242724,0.443498285242723,0.206839937811025,0.206839937811025,0.847710067265203,0.847710067265203,0.710558698838082,0.710558698838082,0.510722479966309,0.219725148864922,0.219725148864922,0.858975777738735,0.858975777738732,0.509324675811185,0.509324675811186,0.85230726793703,0.85230726793703,0.848543581588225,0.848543581588221,0.76818142094753,0.768181420947532,0.836641192708653,0.213427558668991,0.213427558668991,0.844679307482709,0.844679307482709,0.835318696653907,0.835318696653907
7,0.885539809652883,0.338907727542347,0.851365797698342,0.565846367464791,0.290433240969847,0.269432690361402,0.286349198674271,0.39251213886308,0.479935204871917,0.206042794396864,0.489358392129575,0.848093828309448,0.631124884525028,0.752725640868517,0.125945999510787,0.330273015334223,0.330273015334223,0.328949073867081,0.694939752392968,0.405760000781804,0.405760000781803,0.426572814887976,0.426572814887975,0.204420044792278,0.204420044792279,0.823180461033937,0.823180461033937,0.682185940811012,0.682185940811012,0.489955249645301,0.216586258113088,0.216586258113088,0.835842427538717,0.835842427538714,0.488619057734097,0.488619057734098,0.828114719121794,0.828114719121794,0.824254915146886,0.824254915146882,0.740426547552901,0.740426547552903,0.811529971582614,0.210606666525754,0.210606666525754,0.819942650830333,0.819942650830333,0.810127269167064,0.810127269167064
8,0.866500397039788,0.329555565986363,0.830536560376718,0.544329133647894,0.283613011492481,0.263563732705541,0.279852683620622,0.379118089242224,0.462122240682006,0.203893977522581,0.471204422895754,0.825972344540563,0.605947469810412,0.726709072965998,0.127464338242672,0.321185562818717,0.321185562818718,0.319877234017584,0.668640574236834,0.391537877041733,0.391537877041732,0.411783606670273,0.411783606670272,0.202303062512708,0.202303062512708,0.799057688365841,0.799057688365841,0.655974733377581,0.655974733377581,0.471663655594372,0.213844596452326,0.213844596452326,0.812989208048908,0.812989208048905,0.470385457326954,0.470385457326955,0.804257911399305,0.804257911399305,0.800374040002646,0.800374040002641,0.714222202594919,0.714222202594921,0.78700674290019,0.208141234591815,0.208141234591815,0.795660137828829,0.795660137828829,0.785544088209498,0.785544088209498
9,0.847261089442173,0.321302333118156,0.809992364174603,0.524937593018437,0.277594814138852,0.258383850643637,0.274118349601628,0.367290204117927,0.44626817967367,0.201985959312455,0.45502801282763,0.80409572215784,0.58293412053828,0.702041265860805,0.128835756858391,0.313169517097822,0.313169517097823,0.311875824232559,0.644181720799964,0.378969192155907,0.378969192155906,0.39868704356247,0.398687043562469,0.200423259979408,0.200423259979409,0.775461297946109,0.775461297946109,0.631688925496958,0.631688925496957,0.455364036504541,0.211413578897446,0.211413578897447,0.790536178202,0.790536178201996,0.454140209715803,0.454140209715804,0.780864392410563,0.780864392410563,0.777016023982729,0.777016023982724,0.689485741935078,0.68948574193508,0.763164493415437,0.205953913935467,0.205953913935467,0.771945548236764,0.771945548236764,0.761659342607284,0.761659342607284
