"pd","t168","t289","t154","t161","t234","t218","t36","t17","t271","t89","t171","t103","t40","t269","t158","t91","t106","t26","t208","t28","t82","t173","t162","t285","t156","t49","t60","t45","t230","t148","t283","t131"
0,0.99999999944359,0.9484268687211,0.531975674737895,0.296457195116563,0.00267956649689801,0.90318083844997,0.903180838449974,0.987562486572647,0.739533884983436,0.983006268871789,0.983006268871789,0.999984854164724,0.98789516690993,0.298953319921916,0.298953319921917,0.989802468305973,0.989802468305973,0.790387870552652,0.786088735200197,0.879706324542229,0.879706324542222,0.851395580324238,0.851395580324242,0.999984577009283,0.999984577009283,0.00194597670554355,0.836525903834172,0.836525903834175,0.99999999918973,0.99999999918973,0.98544842890415,0.98544842890415
1,0.999999983727869,0.897709052722928,0.451171548699495,0.259880864649829,0.00466308182601454,0.831603674960438,0.831603674960443,0.96800357691302,0.639456010867881,0.958997023573778,0.958997023573778,0.999895578516709,0.968631482747895,0.261499304170528,0.261499304170529,0.972868033325814,0.972868033325813,0.692241908616634,0.687547534646244,0.802289550101515,0.802289550101506,0.764453786328228,0.764453786328231,0.999893948884433,0.999893948884433,0.00357687488812685,0.74464817021064,0.744648170210644,0.999999977552202,0.999999977552202,0.963409346064353,0.963409346064353
2,0.999999882772797,0.850595825525243,0.404806990663386,0.239893629431126,0.0064438887187867,0.772937849730769,0.772937849730776,0.945068733564983,0.57389326846518,0.932298429092376,0.932298429092376,0.999676996911313,0.94591311189373,0.241049009661997,0.241049009661998,0.952439146996656,0.952439146996654,0.624432332074157,0.619798354141013,0.741950521716339,0.741950521716329,0.699475197232617,0.69947519723262,0.999672464450975,0.999672464450975,0.00510384453263629,0.677285655169513,0.677285655169517,0.999999843322063,0.999999843322063,0.938084198337864,0.938084198337864
3,0.999999524124006,0.807251000727844,0.372862979411418,0.22636528321801,0.0081029400923437,0.723320680251608,0.723320680251615,0.920173061394942,0.525592712664448,0.904366856563529,0.904366856563529,0.999280454922976,0.921158105155217,0.227216818879253,0.227216818879254,0.929805924166924,0.929805924166922,0.572969697166841,0.568528219640901,0.6924673656776,0.69246736567759,0.647694376957908,0.64769437695791,0.999271162581078,0.999271162581078,0.00656561636283996,0.624322529289305,0.624322529289309,0.99999937810437,0.99999937810437,0.911005410485495,0.911005410485495
4,0.999998589230908,0.767471791362877,0.348812333212063,0.216249605947172,0.00967587743433606,0.680535465649815,0.680535465649822,0.894170655016701,0.487747261503931,0.876012634822042,0.876012634822042,0.998661134759659,0.895229487580214,0.216880068690386,0.216880068690386,0.905776953668263,0.90577695366826,0.531870675169824,0.52766036274088,0.650688903116168,0.650688903116158,0.604907835077266,0.604907835077268,0.998645008645679,0.998645008645679,0.00797980644009892,0.581006174589617,0.581006174589621,0.999998188190898,0.999998188190898,0.883071530995467,0.883071530995467
5,0.999996571718004,0.730960820994891,0.329711293770834,0.208230488493411,0.0111826520394126,0.643120219542947,0.643120219542954,0.867641450592278,0.456909684309125,0.847744067998696,0.847744067998696,0.997777120500518,0.868717513961427,0.208689931389447,0.208689931389448,0.880922209601821,0.880922209601818,0.497940197258199,0.493965955573895,0.614707823866853,0.614707823866843,0.568679482453499,0.5686794824535,0.997751932761095,0.997751932761095,0.00935650044141594,0.544628952692925,0.544628952692929,0.999995659397175,0.999995659397175,0.854874029925751,0.854874029925751
6,0.99999273704779,0.69740723135828,0.313985970943829,0.201623102097935,0.0126359481007087,0.61004032805584,0.610040328055847,0.840998354647089,0.431082685196195,0.819894580026272,0.819894580026272,0.99658899477158,0.842045247499404,0.201944727927629,0.201944727927629,0.855663358045654,0.855663358045649,0.469254621084275,0.46550816784007,0.583257217784036,0.583257217784026,0.537447795677773,0.537447795677774,0.996552413545782,0.996552413545782,0.010702224460188,0.513480102157088,0.513480102157092,0.999990914290519,0.999990914290519,0.826819949426693,0.826819949426693
7,0.999986083259451,0.66651545684963,0.300699354437688,0.196027233124364,0.0140445050433579,0.580530456257634,0.58053045625764,0.814540831063099,0.409004299804255,0.792685235950454,0.792685235950454,0.995059679268286,0.815521500917107,0.196234498809022,0.196234498809023,0.830318765551883,0.830318765551878,0.444562433045973,0.441030484405103,0.555444506173997,0.555444506173988,0.510144945864477,0.510144945864477,0.995009311568332,0.995009311568332,0.0120215413639731,0.48640403118778,0.486404031187783,0.999982771228343,0.999982771228343,0.799193442226247,0.799193442226247
8,0.999975302594966,0.638015194866059,0.289250244582252,0.191189485434594,0.0154146900135097,0.554006458987836,0.554006458987842,0.788486643988041,0.389826833586104,0.766260722811695,0.766260722811695,0.993154409427379,0.789372318680137,0.191299739407764,0.191299739407764,0.805130257170874,0.805130257170869,0.423003348425661,0.419671139500256,0.530614244459689,0.53061424445968,0.486006431615709,0.486006431615709,0.993087839800105,0.993087839800105,0.0133178177297946,0.462582139538142,0.462582139538145,0.999969704861982,0.999969704861982,0.772192120549718,0.772192120549718
9,0.99995874389701,0.61166376166931,0.279230941104342,0.186939688773499,0.0167513366569365,0.530011753864705,0.530011753864711,0.762992764241354,0.372954135836566,0.74071213589107,0.74071213589107,0.990840790389152,0.763761815447472,0.186966217220419,0.18696621722042,0.780280959261004,0.780280959260998,0.403960993802105,0.400813840237177,0.508269906463493,0.508269906463484,0.464465631242894,0.464465631242894,0.990755616847752,0.990755616847752,0.0145936380337255,0.441413302664794,0.441413302664797,0.999949807890626,0.999949807890626,0.745950772199964,0.745950772199964
10,0.999934375712518,0.587245249776119,0.270352889348371,0.183158277960181,0.0180582324048192,0.508182633564823,0.508182633564829,0.738170098968333,0.357951666446369,0.71609231042621,0.71609231042621,0.98808890424232,0.738806939372511,0.183111539642442,0.183111539642442,0.755908120569536,0.75590812056953,0.386979158076979,0.384003135556196,0.488026034844188,0.48802603484418,0.445090968937015,0.445090968937015,0.987982772235155,0.987982772235155,0.015851047847599,0.422443385244122,0.422443385244125,0.999920753933383,0.999920753933383,0.72055782448949,0.72055782448949
11,0.999899750074633,0.564568402084388,0.262404785629651,0.179758176609551,0.0193384203836661,0.488224807960356,0.488224807960361,0.714094323336855,0.344493418950306,0.692426550311339,0.692426550311339,0.984871449120755,0.714588389629905,0.179646589761657,0.179646589761657,0.732112775146177,0.73211277514617,0.371711177511131,0.368893386750098,0.469577385740235,0.469577385740228,0.427546356041768,0.427546356041768,0.984742083879958,0.984742083879958,0.0170917059341564,0.405321283488968,0.405321283488971,0.999879761448923,0.999879761448923,0.69606722817283,0.69606722817283
12,0.999851966969997,0.543464074289746,0.255227532243998,0.176674092399656,0.0205943961459697,0.46989698657157,0.469896986571575,0.690814064276567,0.332328931026276,0.669720331364515,0.669720331364515,0.981163896129463,0.691158909595351,0.176504558535706,0.176504558535706,0.708967245531541,0.708967245531534,0.357887832914406,0.35521646627987,0.452678198388048,0.45267819838804,0.411565186221514,0.411565186221513,0.981009133474829,0.981009133474829,0.0183169841881826,0.389770279257067,0.38977027925707,0.999823558682621,0.999823558682621,0.672507249062518,0.672507249062518
13,0.999787639531233,0.523782685872447,0.248698532839899,0.17385586815746,0.0218282411821245,0.452999067933122,0.452999067933128,0.668357189439262,0.321261900843218,0.647964926513943,0.647964926513943,0.976944653083998,0.668549692051335,0.173634133438166,0.173634133438166,0.686521076171014,0.686521076171006,0.34529617426878,0.342760488445972,0.43712779936869,0.437127799368683,0.396932631877313,0.396932631877312,0.9767624685821,0.9767624685821,0.0195280359779948,0.375568693961348,0.37556869396135,0.999748349666552,0.999748349666552,0.64988707322293,0.64988707322293
14,0.99970286002791,0.505391836432292,0.242721448772437,0.171264178955534,0.0230417166157172,0.437363448152554,0.43736344815256,0.646735690909967,0.311135835145078,0.627141558399657,0.627141558399657,0.97219522587528,0.646775376245226,0.170995091046104,0.170995091046104,0.664805776508024,0.664805776508016,0.333765091066872,0.33135533768943,0.422760329307441,0.422760329307434,0.383473237029867,0.383473237029866,0.971983762137806,0.971983762137806,0.0207258444396565,0.362536429800968,0.36253642980097,0.999649781341195,0.999649781341195,0.628201816803732,0.628201816803732
15,0.999593166764432,0.488174155451911,0.237219292458292,0.168867649904051,0.0242363308311212,0.422848501235554,0.422848501235559,0.625949501173829,0.30182412948848,0.607224485049306,0.607224485049306,0.966900369514925,0.625837969018045,0.168555345231108,0.168555345231108,0.643838635632164,0.643838635632155,0.323155205076729,0.320862545476762,0.409437241049671,0.409437241049664,0.3710420061973,0.371042006197299,0.966657961346982,0.966657961346982,0.0219112575587643,0.350525368681181,0.350525368681183,0.999522911911344,0.999522911911344,0.607436346647539,0.607436346647539
