"Xyleborus xylographus","Xyleborus obesus","Xyleborinus saxeseni","Coptoborus pseudotenuis","Xyleborus posticus","Ambrosiodmus obliquus","Xyleborus seriatus","Xyleborus affinis","mutillatus","Xyleborus ferrugineus","Ambrosiodmus rubricollis","Ambrosiodmus tachygraphus","Xylosandrus compactus","Xyleborus germanus","Euwallacea validus","Euwallacea fornicatus","Xyleborus glabratus","Xylosandrus crassiusculus","Sampsonius dampfi","Xylosandrus morigerus"
0.999939846989629,0.914286011981369,0.932977237672645,0.999542486172502,0.851967025106052,0.87959751109452,0.925374981601866,0.882815816499645,0.969737099831866,0.930526765811405,0.994039672868297,0.991119052649343,0.948890612934068,0.911554711856345,0.989898845489775,0.944719197358934,0.999999875807714,0.95239157687837,0.996822769406243,0.973136073288921
0.999678716701471,0.83372602996156,0.890298605238053,0.998403148777387,0.76635556594084,0.790626416583102,0.869126368052374,0.844901322808566,0.938578060634776,0.894904166916126,0.984033820344279,0.97559601806881,0.912403426471362,0.866547076808032,0.978580703860224,0.908761821857555,0.999998935200324,0.928863850204766,0.989933831067034,0.953721568524882
0.999144226248883,0.763272161413632,0.85547151406869,0.996685946860885,0.702439290163916,0.719640218181189,0.821708607737517,0.818394360750511,0.908331629609219,0.867251920384799,0.971773961561441,0.956385259272498,0.881346233566577,0.832090364053053,0.966926867380323,0.878981048559791,0.999996257702003,0.910505396892959,0.980350146310845,0.936775471760282
0.998285936648314,0.70211894862197,0.825525444267429,0.994442318454704,0.651486300524142,0.661231411974148,0.780535444488138,0.797533100831055,0.879329438903057,0.844076645203562,0.957941425484457,0.934727127168215,0.853879115938446,0.803571527821394,0.955155323149703,0.853053937141349,0.999990870686828,0.894990895538658,0.968578975060324,0.921409372497028
0.997063863778066,0.648943420605937,0.799078303817017,0.991708757350262,0.609347262025086,0.61214561821292,0.744169928970576,0.780155739551799,0.851663294999568,0.823908608716742,0.942959159587568,0.911426558204484,0.829103342788375,0.779032498857763,0.943373875261432,0.829906324279776,0.99998176738412,0.881366219460327,0.95499284331156,0.907212975956114
0.995444959501528,0.602488360331478,0.775324150053042,0.988514766165563,0.57362918334656,0.570222469734742,0.711668158143538,0.765180645768269,0.825336314313568,0.805950810592559,0.927129822169546,0.887068572091078,0.806473383799886,0.757406938483379,0.931646433289903,0.808913185561707,0.999967915169048,0.86912240372031,0.93989836860235,0.89394699911868
0.993401509378226,0.561676568450873,0.753734480472293,0.984885952608994,0.542802438787,0.533947178751106,0.682356590193948,0.751978683035255,0.800312120537232,0.789709456570628,0.91068522931113,0.862098283966385,0.785618869392243,0.738033005148314,0.920014395436947,0.789664560439002,0.999948260529806,0.857947822652556,0.923560460642573,0.881453655328685
0.9909102808854,0.525614847641978,0.733936497531665,0.980845526286053,0.515822679763552,0.502216943384463,0.655729913879102,0.74014754323318,0.776535865166542,0.774851891186856,0.89380960855617,0.836860805381775,0.766270432294543,0.720464739366243,0.908505916842416,0.771870747830087,0.999921732443537,0.847634391745928,0.906212957815905,0.869620580148725
0.987952028749699,0.493570274195816,0.715653763212514,0.976415113343111,0.491942858258819,0.474205701701794,0.631395911623689,0.729412507955941,0.753944537073318,0.76114065953341,0.876652478519951,0.811625168024481,0.748222814060732,0.704384076746019,0.897140655911622,0.755316314082893,0.999887244862755,0.838034570455393,0.888064022531984,0.858363414113408
0.984511188559557,0.464942298102601,0.698673683212676,0.971615232617933,0.470609501449804,0.449280406271901,0.609042468884148,0.719576685454793,0.732472417509335,0.748398896236811,0.859336644903003,0.786600551339591,0.731314253463815,0.689554487365743,0.885932486589602,0.739834988329902,0.999843698656069,0.829039024746362,0.86929926374468,0.847616335039097
0.980575674564994,0.439237519404342,0.682828151177573,0.966465586028127,0.451401076848736,0.426946656157147,0.588416390498049,0.710493612504822,0.712054077868241,0.736490494133714,0.841963604490602,0.761948216245647,0.715413983549508,0.675794335999703,0.874891174058931,0.725294760326129,0.999789983193029,0.82056394022105,0.850083823294402,0.837326456992936
0.976136735214889,0.416048695884498,0.667981288404844,0.960985239500867,0.433989267761924,0.406812072409727,0.56930908140172,0.702051070467247,0.69262603931166,0.725307966825417,0.824617441016529,0.737790736954853,0.700414165940925,0.662960543081493,0.864023472188233,0.711588459815663,0.999724977686963,0.812543316055923,0.830563987162495,0.82745029851153
0.97118883878919,0.395037840675588,0.654021293342403,0.95519273600516,0.418113554766162,0.388560885693086,0.551546481928293,0.694160984545296,0.67412766715633,0.714764627050895,0.807367775235996,0.714219362466557,0.686224433019483,0.650938039532194,0.85333387539996,0.698627501667709,0.999647552368541,0.80492403184591,0.810868584893126,0.817951441604651
0.965729571795813,0.375922794639965,0.640854809346838,0.949106164890071,0.403563929830576,0.37193586401943,0.534981772822106,0.686752833870442,0.656501613643566,0.704789332696778,0.790272083107774,0.691299988984768,0.672768051216466,0.639632676121278,0.842825152476172,0.686337566294806,0.999556569538784,0.797662553104455,0.791110298428458,0.808798916421353
0.959759538922308,0.358466604536632,0.628402907223176,0.942743202396564,0.390168791061657,0.35672518793042,0.519489954676475,0.67976919214757,0.639693989507867,0.695322834936844,0.773377568369548,0.669078050031563,0.659979138645722,0.628966292103014,0.832498736586481,0.674655518772219,0.999450884535477,0.79072265310145,0.771386930967407,0.799966049155482
0.953282257230174,0.342469116933062,0.616598142747217,0.936121132880531,0.377786252786756,0.342752743646918,0.504963736414367,0.673162616118746,0.623654372022699,0.686315166256582,0.75672270616238,0.647582537283156,0.647800594484912,0.618873187256964,0.822355017021465,0.663527151466666,0.999329346637369,0.784073790803894,0.751782651105932,0.791429617262535
