"Coptoborus pseudotenuis","Xyleborus affinis","Xyleborus obesus","Euwallacea fornicatus","Xyleborinus saxeseni","Xylosandrus compactus","Xyleborus xylographus","Xyleborus glabratus","Xyleborus germanus","Xylosandrus morigerus","Euwallacea validus","Xylosandrus crassiusculus","Xyleborus posticus","Sampsonius dampfi","Ambrosiodmus obliquus","Ambrosiodmus tachygraphus","Xyleborus seriatus","Ambrosiodmus rubricollis","Xyleborus ferrugineus","mutillatus"
0.999407009157886,0.882775310486257,0.913371042460411,0.951765271355447,0.939447174759054,0.949194051871993,0.999950496715837,0.999999931200745,0.918770421633935,0.975779265606729,0.991074709706763,0.952713941110066,0.847946245445746,0.996870124544899,0.879633027604379,0.991199560277676,0.935389904137412,0.993898364704385,0.932167947707552,0.975335228651412
0.997991476565879,0.844855654625352,0.832240064161217,0.918803547212107,0.899360193162829,0.912816771814173,0.999729206127626,0.999999369879197,0.875849207096948,0.957726589582324,0.980794192864691,0.929243751072373,0.761317740079757,0.990068927743456,0.790535345134664,0.975782480302921,0.884069937672492,0.983699519136985,0.897071337816989,0.94853773155122
0.99590496051667,0.818346307572284,0.761436516495024,0.890994426543074,0.866162619602621,0.881820627327828,0.999268524081001,0.999997698221057,0.842581133081255,0.941787853597222,0.970077918700061,0.910908980337688,0.697014062634999,0.980595590187165,0.719424681547098,0.956679840182848,0.839776026918006,0.971231562104589,0.869746545875727,0.921835538129289
0.99321984015238,0.797483777967345,0.700077264270794,0.86647706420793,0.837330186585978,0.854388833563502,0.998520161803523,0.999994228856028,0.814819749920279,0.927222097689569,0.959160115061417,0.895403210907905,0.645942701317356,0.96894911958773,0.660909768793421,0.935124676528899,0.80067291218238,0.957187681698145,0.846800003809147,0.895737915290766
0.989986433890128,0.78010572686968,0.646789665632722,0.844376386201916,0.811671465044266,0.829632581403767,0.997445170887524,0.999988226577617,0.790785702542416,0.913684129913407,0.948158998647938,0.881779035999112,0.603818664933905,0.955496303500087,0.611737027495416,0.911918354164541,0.765690545948523,0.941997384042606,0.826800745884088,0.870456593504172
0.986244722204531,0.765130285958733,0.600284395081713,0.824176022661094,0.78848333280003,0.807011678566807,0.996010827408777,0.999978918778045,0.769501752463753,0.90097121239623,0.937146239349387,0.869530677265496,0.56818594003153,0.940539342878511,0.56974365839496,0.887644148428207,0.734098808905569,0.925967419557903,0.808971447172702,0.846084977080335
0.982028854781742,0.751928194842698,0.559463228416713,0.8055330545368,0.767299854660918,0.786158982687534,0.994189200856717,0.999965501838394,0.750357047771418,0.88894881699008,0.92616947779067,0.858348264223324,0.537482215194858,0.924339633181475,0.533412008399337,0.862746505896461,0.705360324375345,0.909332242335431,0.792829799799986,0.822657894443518
0.977369313853929,0.740097073558108,0.523419024700552,0.788202427871566,0.747789279866027,0.766807222874296,0.991956391656114,0.999947145522479,0.732937448475381,0.877520587608171,0.915262117505397,0.848024773779407,0.510645014618931,0.907128202593878,0.501636696813692,0.837570544667033,0.679061392137319,0.892277754462787,0.778050470457259,0.800178042722345
0.97229408831024,0.72936215897018,0.491409506367761,0.772000040198803,0.729703526567709,0.74875257037801,0.989292090885386,0.999922996225432,0.716945972190446,0.866613790823636,0.904448353491906,0.838413349695616,0.486916799552049,0.889110989711667,0.473589514374756,0.812385729267212,0.654873786011455,0.874954470021858,0.764400964715249,0.778629612675878
0.966829361406844,0.719526529986164,0.462827788070695,0.756782463903514,0.712850344077669,0.731834273701794,0.98617931229936,0.999892179501904,0.70216068539993,0.856171384767914,0.893746053681821,0.829405120103423,0.465737867911825,0.870471881766229,0.448635675909082,0.787401931964687,0.632531335091441,0.857485696054145,0.751707931639011,0.757985991393515
0.960999933826098,0.710443703345688,0.437176147296373,0.742434836427363,0.697076648920354,0.715922297893998,0.982604221401037,0.999853802112119,0.688410405763529,0.846147315027331,0.883168544523685,0.820916593876256,0.446682945634389,0.851374732016123,0.426279388439034,0.762781251880803,0.611814531072264,0.839973066195338,0.739837841155753,0.738214385118861
0.954829492102411,0.702001446294245,0.414044378497125,0.72886315926814,0.682257912026844,0.700909345968827,0.978556019622215,0.999806953730634,0.675559741773016,0.836503541227455,0.872725784422011,0.812882002524843,0.429421475986949,0.831964910238352,0.406127160241948,0.73864716742188,0.59253989166706,0.82250053186281,0.728685148900559,0.719278703360227
0.948340781934024,0.694111673836584,0.393092459759291,0.715989155066626,0.668291066052272,0.68670545699532,0.974026858369961,0.999750708411449,0.663499402372521,0.827208061555183,0.862425170877372,0.805248396220623,0.413691628375758,0.812370646857864,0.387862330876668,0.715091843414338,0.574552329218836,0.805137384535144,0.718164663930537,0.701141401782603
0.941555720796153,0.686703857583321,0.374036837118457,0.703746695654837,0.655089578882449,0.67323420662885,0.969011766866013,0.999684125872877,0.652139658861597,0.818233546556787,0.852272116184631,0.797972367845542,0.3992826682354,0.792704291098067,0.371226952149268,0.692182067279827,0.55771951311003,0.787940629586218,0.708206418456098,0.68376467400428
0.934495470829883,0.679720565598814,0.356639607716389,0.692079240169704,0.642579922042035,0.660429950311946,0.963508583151258,0.999606252646851,0.641405783159926,0.809556362568639,0.842270470302935,0.791017787054957,0.386022639054929,0.773063533624921,0.356008626338783,0.669964116056921,0.541927606431599,0.770956902133102,0.698752099688466,0.667111223025433
0.927180485340298,0.673114350335398,0.340699980167249,0.680937947685505,0.630698971582972,0.64823577065657,0.957517881096417,0.999516123125073,0.631234774318962,0.801155854071449,0.832422839060829,0.784354186521317,0.373769538063355,0.753532609020346,0.342030770476172,0.648467763628506,0.527077979340849,0.754224044399222,0.689752496176615,0.651144754814902
