"Ambrosiodmus rubricollis","Xylosandrus morigerus","mutillatus","Xyleborus ferrugineus","Ambrosiodmus obliquus","Ambrosiodmus tachygraphus","Coptoborus pseudotenuis","Xyleborus seriatus","Xyleborus obesus","Xylosandrus compactus","Xyleborus germanus"
0.998416946039825,0.997442700358691,0.983891578917665,0.98066224198645,0.933204451544712,0.997728867968308,0.99992911844465,0.924465539232264,0.923688789385526,0.984838023361704,0.937060382736488
0.995318155514156,0.994586260850026,0.966502362055702,0.967738187938534,0.877173326670423,0.993052396659684,0.999712279237264,0.874581864986472,0.856306013948781,0.971406854378458,0.906132157860464
0.991192069741706,0.991615862679137,0.948996341809869,0.956641198443699,0.828265909477435,0.986686596241759,0.999347198616834,0.83383181768387,0.797449544315962,0.95876898717636,0.882243369933596
0.986237171194208,0.988575793306683,0.931645444512004,0.9466464991216,0.784970843122727,0.978949797440458,0.998832864837685,0.798920091764242,0.745798533981384,0.946721409354763,0.862240247982502
0.980580107836922,0.985488060922039,0.914574118677359,0.937435183369975,0.746274532195067,0.970058299689898,0.998168799420716,0.768251248731621,0.700190629760644,0.935161889234066,0.844820207066741
0.974314587986628,0.982366055313474,0.897848365754523,0.928828223885606,0.711427978093683,0.96018050343713,0.99735487296887,0.740870360367688,0.659668222706577,0.9240261646015,0.829285696552359
0.967515599117351,0.979218849545549,0.881504634518477,0.920711320089962,0.679851925236743,0.949456662823365,0.996391226263348,0.716139865280974,0.623451892208765,0.913268838418379,0.815208585810836
0.960246061789081,0.976053022826282,0.865562409498423,0.913005336021809,0.651085821214381,0.938008032148637,0.99527822827899,0.69360434385081,0.590906699758682,0.902855435873546,0.802302573220783
0.952560418042839,0.972873573844952,0.850030672692237,0.905652321840175,0.624756315151101,0.925941730115273,0.994016450588652,0.672923115204623,0.561512748689056,0.892758467006436,0.790364497460316
0.944506759203675,0.969684431853691,0.834911589973147,0.898608056985361,0.600556219161635,0.913353590529777,0.992606650102463,0.65383260169242,0.534841516139321,0.882955234682988,0.77924376393813
0.936128178466142,0.966488766217606,0.820202773827924,0.891837714798121,0.578229728937008,0.900329968919967,0.991049756433154,0.636123560982699,0.510537301313257,0.873426508140988,0.768824940739722
0.927463678899074,0.963289185461432,0.805898747620864,0.885313173028571,0.55756166904841,0.886948970275214,0.989346861983007,0.619626464461155,0.488302777363956,0.864155667956521,0.759017167470641
0.918548811185207,0.960087871412038,0.791991930983003,0.879011258458138,0.538369459257064,0.873281339999391,0.987499213694239,0.604201662257154,0.467887726006712,0.85512812678661,0.749747364571779
0.909416139422225,0.956886673091172,0.77847332270672,0.872912553343731,0.520496989194054,0.859391151531205,0.98550820583913,0.589732518924566,0.449080213750156,0.846330920827328,0.740955692426349
0.900095593464617,0.953687174522085,0.765332984560871,0.867000556044372,0.503809869633148,0.845336367237072,0.983375373465665,0.576120475687084,0.431699638491512,0.837752411928573,0.732592407947048
0.890614744089943,0.950490744999811,0.752560389703906,0.861261073800826,0.48819169922521,0.831169317752315,0.98110238625403,0.563281408145741,0.415591213140507,0.829382064233003,0.724615624494906
0.880999024286447,0.94729857720326,0.740144676515705,0.855681772760699,0.473541094183783,0.816937126837475,0.978691042624698,0.551142881852144,0.400621559006517,0.821210272655218,0.716989675632103
0.871271912045447,0.94411171665243,0.728074834909334,0.850251837542009,0.459769300136024,0.802682098065992,0.976143263993037,0.539642046381976,0.386675161508735,0.813228228436415,0.709683894244017
0.861455085053317,0.940931084862137,0.71633984357568,0.844961708976566,0.44679825413753,0.788442073150585,0.973461089101099,0.528723993613594,0.373651500380932,0.805427811861129,0.702671684556836
0.851568554442456,0.937757497812175,0.704928771048378,0.839802878847651,0.434558998850774,0.774250767735667,0.970646668381328,0.518340460041576,0.361462711017816,0.797801505297636,0.695929805208485
0.841630782611412,0.934591680875563,0.693830849774534,0.834767726961449,0.422990375075925,0.760138088050098,0.967702258323665,0.508448788398769,0.350031666879439,0.790342321731506,0.689437807328343
0.831658788667793,0.931434281025974,0.683035529853241,0.829849390189232,0.412037936335995,0.74613043034482,0.96463021582934,0.49901108766329,0.339290397870024,0.78304374530753,0.683177588409013
0.821668244043929,0.92828587692549,0.672532517346256,0.825041656015369,0.40165304209283,0.73225096417638,0.961432992543135,0.489993546871914,0.329178778498116,0.775899681318455,0.677133033995522
0.81167356013395,0.925146987340071,0.662311800817892,0.820338875121848,0.391792095762663,0.718519900115881,0.95811312916207,0.481365869609289,0.319643433986205,0.768904413725537,0.671289726889793
0.801687969305581,0.922018078220462,0.652363668861192,0.815735888940548,0.382415900932573,0.704954742220682,0.954673249722981,0.473100804203572,0.310636823484886,0.762052568757261,0.665634708905695
0.791723600286815,0.918899568706953,0.642678720708613,0.811227969104102,0.373489114691382,0.691570525510747,0.951116055874782,0.465173750570593,0.302116468005672,0.75533908346743,0.660156283987821
0.781791548674272,0.915791836258051,0.633247871536867,0.806810766450907,0.364979781230546,0.678380038682878,0.947444321143604,0.457562428992722,0.294044297240467,0.748759178380539,0.654843854223367
0.77190194312734,0.912695221059708,0.624062353709127,0.802480267772639,0.356858932164353,0.66539403233525,0.943660885200761,0.450246599352914,0.286386094544926,0.742308333536795,0.649687782257601
0.762064007680086,0.909610029838951,0.615113714920163,0.798232758889448,0.349100242596985,0.652621413036544,0.939768648144681,0.443207821781514,0.279111023369851,0.73598226738871,0.644679275087404
0.75228612050717,0.906536539180789,0.606393813997798,0.794064792937081,0.34167973399755,0.64006942364276,0.935770564808754,0.436429251529956,0.272191221585588,0.729776918108202,0.639810285302288
