"Euwallacea fornicatus","Coptoborus pseudotenuis","Xylosandrus compactus","Xyleborus glabratus","Xylosandrus morigerus","Sampsonius dampfi","Xyleborinus saxeseni","Xyleborus affinis","Xyleborus posticus","Euwallacea validus","Xyleborus seriatus"
0.991670108707391,0.999714762376645,0.949203313785879,0.9999999386695,0.991372607513952,0.999384348079667,0.949466835802337,0.972915868898536,0.863837151923078,0.994902215263732,0.930317410269847
0.983081694445212,0.998984006534999,0.915504344579033,0.999999450084837,0.983558436833283,0.997710729909794,0.916475315976893,0.958168799951828,0.787118968799101,0.988673460609796,0.879885324192234
0.974487300309668,0.997865458272964,0.88735067121881,0.999998015999851,0.976095896180381,0.995072651969365,0.889018504019197,0.946250196604002,0.729449709224214,0.981988007576774,0.837566535489448
0.965942431190463,0.996387877341884,0.862683344670925,0.999995069247592,0.968888771793902,0.991526043825475,0.865007048969183,0.935920938796643,0.683035960105033,0.975025118516357,0.800770027891315
0.957472697535494,0.994571561287996,0.840546755061368,0.999990009529364,0.96189030346752,0.987117482265783,0.843480622227089,0.926665124643659,0.644271968445444,0.967877908492704,0.768147947169849
0.949092260941246,0.992432795995904,0.820382873175768,0.999982210889228,0.955072068908769,0.981890305808921,0.823882528028793,0.918204572469694,0.611101735686448,0.960604775346811,0.738850309622553
0.940809599749856,0.989985616729262,0.801824381531759,0.999971026249392,0.948414597578267,0.975886867178558,0.80584846844079,0.910367416593099,0.582216484357241,0.953246144304224,0.712286458527497
0.932629945485133,0.98724267412663,0.784610801755963,0.999955790506453,0.941903503642327,0.969149475716954,0.789121349414459,0.903037976595214,0.556722870042492,0.94583175191489,0.688020969195513
0.924556502620111,0.984215715133545,0.768547764306568,0.999935822806554,0.935527588150611,0.961720769700135,0.773510098450904,0.896133630795839,0.533980581041986,0.938384380589218,0.665719765518941
0.91659113110232,0.980915871211435,0.753484751887789,0.999910428306048,0.929277793939199,0.953643803723628,0.758867254070384,0.88959273640889,0.513513636019967,0.930921993331811,0.645118988853446
0.90873475973913,0.977353839747053,0.739301872438905,0.999878899588722,0.923146580611841,0.944961982285709,0.745075697745389,0.88336773553929,0.494958016050178,0.923459053169119,0.626005576852908
