"Coptoborus pseudotenuis","Sampsonius dampfi","Ambrosiodmus tachygraphus","Xyleborus obesus","Xyleborus affinis","mutillatus","Xyleborus germanus","Xyleborus glabratus","Xyleborus xylographus","Xyleborus ferrugineus","Euwallacea fornicatus"
0.999938379268244,0.999979725886341,0.999418268417161,0.928345824070732,0.999732944759035,0.960900063917128,0.984372611669092,0.999999869207583,0.999996409419931,0.986129838269183,0.984829401803438
0.999746515405802,0.999891589366158,0.997922022158266,0.863759418046251,0.999339078848869,0.927770470329305,0.972277269081983,0.999998951811223,0.999975034439448,0.975993444820431,0.972209566070293
0.999420361743842,0.999710968905607,0.995630221220875,0.80671590037179,0.998877309170471,0.897835576458006,0.961388910144268,0.99999645871343,0.999922381423108,0.967015672500187,0.960579029865132
0.99895788198026,0.999420523913423,0.992605819146496,0.756243024376056,0.998365270411804,0.870357256652838,0.951283632676887,0.999991599722132,0.999826434753948,0.958759115585629,0.949628716725056
0.998357826736316,0.999006258806409,0.98889615637528,0.711383981448584,0.997812466010751,0.844913301722432,0.941765534464951,0.999983584003826,0.999676018092614,0.951027216055491,0.939210602347062
0.997619425365056,0.99845628383795,0.984541605000434,0.671312990706336,0.997225013533913,0.821213279362127,0.932720396858127,0.999971620311479,0.99946055020523,0.943707926828086,0.929235758155112
0.996742253923799,0.997760228606485,0.979578892849458,0.635338848335446,0.996607248742168,0.799038841561469,0.924072902344991,0.999954917146939,0.999169918934612,0.936728802453337,0.919643940685169
0.995726165464072,0.996908914480364,0.974042660554204,0.602887296195072,0.99596243900042,0.778217185160285,0.915769382251986,0.999932682899237,0.998794408313218,0.930039129521193,0.910391142964596
0.994571248251179,0.995894153385868,0.967966261756116,0.573481024057511,0.995293154202294,0.758606955368163,0.907769491149412,0.999904125975094,0.99832465445859,0.923601400113946,0.901443509777816
0.9932777983621,0.994708616360009,0.961382187831309,0.546721865569818,0.99460148062902,0.740089837901798,0.900041686357234,0.999868454929485,0.997751618959552,0.917386728633687,0.892773995521194
0.991846300395355,0.993345743907072,0.954322287990559,0.522276028069682,0.993889153749334,0.722565119322112,0.892560557689937,0.999824878600461,0.997066573767509,0.911372169488357,0.884360368601945
0.990277413060512,0.991799682872899,0.946817870908206,0.499862152756238,0.993157645446102,0.705945951399174,0.885305146605832,0.99977260625076,0.996261094099401,0.905539043246231,0.876183942273492
0.988571957841345,0.990065240824808,0.938899735319694,0.479241750753079,0.992408223890852,0.690156667101599,0.878257834111793,0.999710847717738,0.995327057154317,0.899871838269964,0.86822872651608
0.986730909660322,0.988137852301235,0.930598157548809,0.460211555162527,0.991641996131964,0.67513078324215,0.871403574815964,0.999638813572629,0.994256645171576,0.894357460182738,0.860480838183003
0.984755388876883,0.986013553235179,0.921942853345896,0.442597393240639,0.990859939289978,0.660809472099929,0.864729351629005,0.999555715289819,0.993042351788859,0.888984701605976,0.852928077021298
0.982646654188193,0.983688961031318,0.912962925293752,0.426249257738029,0.990062923978307,0.647140365249526,0.858223776615298,0.999460765426574,0.991676990926499,0.883743856881615,0.845559612369731
0.980406096145535,0.981161258522028,0.90368680329286,0.41103732378484,0.989251732260506,0.63407659988611,0.851876791830269,0.999353177813538,0.99015370759648,0.878626435382137,0.838365746119815
0.978035231091314,0.978428180518818,0.894142183235031,0.396848713072447,0.988427071670518,0.621576046644014,0.845679440479283,0.999232167756192,0.988465990149346,0.87362494375092,0.831337729693763
0.97553569538204,0.97548800201088,0.884355967367114,0.383584850917235,0.987589586333534,0.609600676143727,0.83962368873218,0.999096952247395,0.986607683550571,0.868732717511516,0.824467620205911
0.972909239803472,0.972339527298575,0.87435420873113,0.371159295888068,0.986739865910617,0.598116033496471,0.833702284798381,0.998946750191064,0.984573003333013,0.8639437887876,0.817748165646652
0.970157724112443,0.968982079520952,0.864162061269631,0.359495948005695,0.985878452882264,0.587090798123918,0.827908645919724,0.998780782637008,0.982356549911919,0.859252780930481,0.811172711962208
0.967283111659954,0.965415490164174,0.853803736600827,0.348527561807823,0.985005848545071,0.576496411904835,0.822236766626431,0.998598273026871,0.979953322978726,0.854654823529833,0.804735126926108
0.964287464064581,0.961640088235568,0.8433024680326,0.33819450621945,0.984122517997993,0.566306762684601,0.816681143426972,0.998398447451127,0.977358735713219,0.85014548309461,0.798429737078071
0.961172935915916,0.957656688864832,0.83268048205661,0.32844372526843,0.983228894325701,0.556497913105904,0.811236712368083,0.998180534917022,0.974568628572717,0.845720705941806,0.792251274966994
0.957941769495558,0.953466581155585,0.821958977316027,0.319227863080055,0.982325382136957,0.547047866879416,0.80589879679499,0.997943767627337,0.97157928243349,0.841376770710597,0.78619483461662
0.954596289509177,0.949071515160948,0.811158110854166,0.310504523909274,0.9814123605797,0.53793636623606,0.800663063284007,0.997687381269811,0.968387430874856,0.837110248549002,0.780255833624492
0.951138897827531,0.944473687898915,0.800296991313283,0.302235643707652,0.980490185927741,0.529144715538826,0.795525484187996,0.997410615317058,0.964990271410985,0.832917969477645,0.774429980665287
0.947572068237761,0.939675728358848,0.789393678653073,0.294386954240121,0.979559193813835,0.520655626986244,0.790482305581577,0.997112713336752,0.961385475490118,0.828796993772371,0.768713247437455
0.943898341208783,0.934680681480719,0.778465189889561,0.286927524341066,0.978619701168596,0.51245308508429,0.785530019652526,0.996792923311864,0.95757119709593,0.824744587459037,0.76310184429364
0.940120318676508,0.929491991114791,0.767527510311218,0.279829365741473,0.977672007913016,0.504522227150988,0.780665340782518,0.996450497970705,0.953546079801519,0.820758201203875,0.757592198948782
