"Xylosandrus compactus","Xyleborus affinis","Xyleborus glabratus","Xylosandrus crassiusculus","Ambrosiodmus obliquus","Coptoborus pseudotenuis","Xyleborus germanus","Sampsonius dampfi","Euwallacea validus","Xyleborinus saxeseni","Xyleborus obesus","mutillatus","Xyleborus ferrugineus","Ambrosiodmus tachygraphus","Euwallacea fornicatus","Xyleborus posticus","Xylosandrus morigerus","Xyleborus xylographus","Xyleborus seriatus","Ambrosiodmus rubricollis"
0.944673803748107,0.878838416216844,0.999999893489273,0.95014640956513,0.878724990080227,0.999476462228084,0.905154818206122,0.997469242000116,0.991907216269289,0.944985873956334,0.913906929527995,0.972706734543977,0.934188742135388,0.991200942321502,0.944239130009857,0.852131614502915,0.977817602584842,0.999961467128536,0.926695553540634,0.994507287884912
0.906229458286148,0.84042841434584,0.99999907107806,0.925902877942918,0.789343758317345,0.998200756735039,0.858400310998868,0.991756672120486,0.982386378209811,0.907198185940596,0.833159707427128,0.94382072697568,0.899677551262216,0.975779185613431,0.90806721563201,0.766838030056314,0.960862900730539,0.999782644598127,0.87106525417221,0.985132932457444
0.87385799235369,0.81369460600083,0.999996702491952,0.907077385844393,0.718134816066961,0.996299934232637,0.822972014940625,0.983632268455313,0.972367602291623,0.875464088846672,0.762613436683768,0.915402938081854,0.872695893049255,0.95666683951397,0.878140597767032,0.703172426406922,0.945751466977776,0.999402200209261,0.824027597700243,0.973548257755495
0.84544203366603,0.792713880747207,0.999991898557872,0.891219604413438,0.659605656287705,0.993835709042166,0.793847147200997,0.973492047173363,0.962092712436129,0.847639951682079,0.70142165283609,0.887886689213626,0.849975166035416,0.935098143526433,0.852105896763319,0.652413744425871,0.93185234901724,0.998774962939418,0.78309883124924,0.960396580008746
0.819958237530021,0.775272670232713,0.999983731035201,0.877327622517759,0.6104599767762,0.990851397594533,0.768913103333433,0.961633020206361,0.951685323881585,0.822699268307994,0.64823892663147,0.861431012085946,0.830132108196242,0.911875519181607,0.82887571777329,0.61042625061366,0.918869491181546,0.997863735721602,0.746891012290523,0.946080200534452
0.796791124388685,0.760266481162718,0.999971241844008,0.864868349905776,0.56851415896074,0.987381696884347,0.747027428965024,0.948304823425423,0.941221387800921,0.800028864116269,0.601794997990074,0.836088868751425,0.812413250378389,0.887583146521658,0.807817758606997,0.574827387538924,0.906627996312226,0.996636673282852,0.714488273748286,0.930889128984055
0.775526277800774,0.74705425963665,0.999953448620415,0.853516070913366,0.53223964631923,0.983456466807625,0.727485172645152,0.933727787909896,0.930752144520956,0.779218065713245,0.56100485845525,0.811862717605873,0.796350023383045,0.862666229760626,0.788517535507897,0.544095136557992,0.895011200974049,0.995066064180439,0.685234644884551,0.915047204245393
0.755864550648911,0.735226805603873,0.999929348498454,0.84305368293926,0.500525118810006,0.97910255185485,0.709813718814595,0.918100657151792,0.920314128941421,0.759971680816995,0.524970547554484,0.788728776759503,0.781625739179986,0.83747050727577,0.770682314064829,0.517190703825458,0.883935137334193,0.993127679541411,0.658636465458435,0.898733745938151
0.73757954870961,0.72450511914843,0.999897920892915,0.83332749583061,0.472539075742733,0.974344771139571,0.693677489100363,0.901604259027028,0.909934318169511,0.742067070302463,0.49295620564245,0.766649293730894,0.768013687091338,0.812265939442364,0.754094517438905,0.493371150191089,0.873336131626264,0.990800399267994,0.634309548124954,0.882095510822314
0.720493969963306,0.714689505533098,0.999858129664537,0.824223781719576,0.447644914895937,0.969206497719201,0.678827921036385,0.884403417307894,0.899633086263089,0.725330357444651,0.464359467694068,0.745579313492708,0.755344563626119,0.787262784644007,0.738586301602758,0.472086088574548,0.863164028838104,0.988065989242718,0.611947472010645,0.865254091767836
0.704465308367682,0.705631591658798,0.999808924878885,0.815655472262318,0.425345871493888,0.963710013544508,0.665074825017111,0.866648072803577,0.88942603845985,0.709622107571594,0.438685818181042,0.725470614263935,0.743487770511372,0.762623433609256,0.724024467383836,0.452916338425033,0.853378165980296,0.984908965420103,0.59130116717624,0.848310905437753
0.689376667709044,0.69721781609188,0.999749244286189,0.807554087321526,0.405247975567416,0.957876732796007,0.652268873175419,0.848474064813275,0.879325218958245,0.694828158329418,0.415527341321236,0.70627406592431,0.732339945824609,0.738471576653707,0.710300925023542,0.435535400423415,0.843944821979529,0.981316508696769,0.572165078522839,0.831350783478005
0.675130570160124,0.689359135920036,0.999678014603669,0.799864573179012,0.387034379023479,0.951727343953751,0.640290331667953,0.830003790412909,0.869339943559401,0.680853458901875,0.394545658403446,0.68794105996615,0.721817559591144,0.714899524592639,0.697326364829668,0.419684177054451,0.834835520339367,0.97727840854501,0.55436741707658,0.814444692830919
0.661644620959996,0.681984317887639,0.99959415265514,0.792541858566193,0.370447116634593,0.945281899811811,0.629041505506796,0.811346844949918,0.859477395110785,0.667617768651163,0.375458398782972,0.670424371064371,0.711851931439631,0.691974157305583,0.685025887350825,0.405153785359475,0.826025853201165,0.972787021150174,0.537763078133918,0.797651877602738
0.648848376682386,0.675035402627856,0.999496566406162,0.785548475224579,0.3552738720788,0.938559873307579,0.618441498044484,0.792600688180016,0.849743062199971,0.655052558122963,0.35802851308036,0.653678661030083,0.702385761882384,0.669741801605802,0.673335887503903,0.391773522716038,0.817494639300427,0.967837232397864,0.522228368134082,0.781021595153418
0.636681023547704,0.668464542438857,0.999384155922351,0.778852865132496,0.341338198273757,0.931580190575148,0.608422471226481,0.773851349397963,0.840141070403017,0.6430987171522,0.342055825029249,0.637660753675139,0.693370647473002,0.648232247760818,0.662201772175284,0.379402228844217,0.809223304101864,0.962426418988623,0.507656997303051,0.764594553816167
0.625089618174572,0.66223173823577,0.999255814271231,0.772428145869746,0.328492173214984,0.924361248763618,0.598926911533202,0.755174168799054,0.83067443758255,0.631704821990061,0.327370331617985,0.622329761483811,0.684765257039928,0.627462060441375,0.651576249755518,0.367921952168794,0.801195412631149,0.956554402949935,0.493956981336329,0.748404122311734
0.614027729331288,0.656303183058924,0.999110428383103,0.766251190594589,0.316610805418641,0.916920923745064,0.589905589103617,0.736634564572112,0.821345274073775,0.620825800079477,0.313826865634019,0.607647116262091,0.67653396484961,0.607437306006106,0.641418022941157,0.35723321914918,0.793396310189828,0.950223396254606,0.481048210298237,0.732477358637984
