"Xyleborus posticus","Sampsonius dampfi","Xylosandrus compactus","Xylosandrus crassiusculus"
0.916845768807852,0.997471779909053,0.975859762831582,0.999431604659837
0.866807261890877,0.992567348512597,0.958875275567814,0.998832673325858
0.827014415475136,0.986084306283678,0.944130935362208,0.99822211185081
0.793441581061519,0.978355380915404,0.930788442661252,0.997604147075441
0.764240231367432,0.969597984844567,0.91846797837993,0.996980823223906
0.738346302397894,0.959975980144793,0.906951379808403,0.996353360110492
0.715070782938402,0.949622105662338,0.896096633018021,0.995722572194616
0.693933529662265,0.938648415304935,0.885803733648946,0.995089043445814
0.674582618217154,0.927151895061206,0.875998338029566,0.994453213827405
0.656750376644489,0.915217805790517,0.866622942353138,0.99381542713418
0.640227355292251,0.902921833853759,0.857631700604813,0.993175959660766
0.624845933525633,0.8903315677338,0.848987178444744,0.992535038453773
0.610469486656434,0.877507570961888,0.840658215043836,0.991892853496949
0.596984945718802,0.864504201653652,0.83261845655813,0.991249566163413
0.584297523265552,0.851370266384468,0.824845316190206,0.990605315266535
0.572326874490245,0.838149561574119,0.817319215865997,0.989960221508029
0.561004239711214,0.824881335577004,0.810023019973121,0.989314390822445
0.550270275958739,0.811600692710016,0.802941603779221,0.988667916941311
0.5400733836946,0.798338953079942,0.796061518591512,0.988020883392623
0.530368396490061,0.785123977433012,0.789370727881323,0.987373365083473
0.521115541499671,0.771980463281267,0.782858396438171,0.986725429569406
0.512279605149595,0.758930216639669,0.776514719807708,0.986077138084596
0.503829256524758,0.745992402455083,0.77033078478438,0.985428546386838
0.495736493468247,0.733183775987392,0.764298454162575,0.984779705457318
0.487976185255173,0.720518896863879,0.758410270665165,0.984130662085168
0.480525692055708,0.708010327173585,0.752659376198099,0.983481459359681
0.4733645460307,0.695668814734926,0.747039443475077,0.982832137087786
0.466474182321745,0.6835034625155,0.741544617717445,0.982182732150503
0.459837710753629,0.671521885079665,0.736169466628961,0.98153327880918
0.453439721000123,0.65973035286873,0.730908937219237,0.980883808970093
0.447266115441258,0.64813392506794,0.725758318336007,0.98023435241427
0.441303965080067,0.636736571775965,0.720713207987571,0.979584936998115
0.435541384774166,0.625541286160936,0.71576948470941,0.978935588829322
0.429967424734216,0.614550187258951,0.710923282364731,0.978286332421811
0.424571975792516,0.603764614044417,0.706170967876449,0.977637190832716
0.419345686384217,0.593185211375355,0.701509121474235,0.976988185783979
0.414279889536136,0.582812008390394,0.696934519109573,0.976339337770654
0.409366538442756,0.572644489907312,0.69244411674794,0.975690666157701
0.404598149440215,0.562681661345718,0.688035036293063,0.975042189266768
0.399967751377993,0.552922107668886,0.68370455293576,0.974393924454226
0.395468840543183,0.543364046812073,0.679450083750913,0.973745888181541
0.391095340420292,0.534005378037109,0.675269177391791,0.973098096078907
0.386841565675809,0.524843725625861,0.671159504752415,0.972450563002928
0.382702189845259,0.5158764782985,0.667118850486572,0.971803303089036
0.378672216274616,0.507100824716582,0.663145105287194,0.971156329799235
0.374746951930163,0.49851378540594,0.659236258842577,0.970509655965686
0.370921983743421,0.490112241410276,0.65539039339672,0.969863293830568
0.367193157202265,0.481892959963432,0.651605677850286,0.969217255082628
0.36355655693711,0.473852617446441,0.647880362346566,0.968571550890733
0.360008489083303,0.465987819874838,0.644212773293566,0.967926191934751
0.3565454652284,0.458295121142247,0.640601308779162,0.967281188434005
0.353164187776679,0.450771039227999,0.637044434341293,0.966636550173547
0.349861536583615,0.443412070559437,0.633540679059477,0.965992286528456
0.346634556730571,0.436214702703662,0.630088631937773,0.965348406486333
0.343480447325239,0.429175425548619,0.626686938552518,0.96470491866818
0.340396551226506,0.422290741119691,0.623334297941134,0.964061831347782
0.337380345603947,0.415557172165234,0.620029459710737,0.963419152469745
0.334429433252151,0.40897126963274,0.616771221347545,0.96277688966629
0.331541534588843,0.40252961914644,0.61355842571,0.962135050272924
0.32871448027345,0.396228846587252,0.610389958690247,0.961493641343065
0.325946204389494,0.390065622866719,0.607264747030131,0.960852669661718
0.323234738140129,0.384036667978269,0.604181756279203,0.960212141758282
0.320578204011373,0.378138754401336,0.601139988883457,0.959572063918541
0.3179748103622,0.372368709926896,0.598138482394528,0.958932442195917
0.315422846404768,0.366723419966482,0.595176307790095,0.95829328242204
0.312920677541671,0.361199829400881,0.592252567897017,0.957654590216681
0.310466741030337,0.355794944019331,0.589366395909536,0.957016370997095
0.308059541947566,0.350505831595152,0.586516953995533,0.956378629986828
0.305697649429764,0.345329622639295,0.583703431984439,0.955741372224011
0.303379693166711,0.34026351086922,0.580925046130971,0.955104602569195
0.301104360128741,0.335304753426856,0.578181037949315,0.954468325712741
0.298870391509074,0.330450670876017,0.575470673112879,0.953832546181813
0.296676579864634,0.325698647006646,0.572793240415097,0.953197268346986
0.294521766440213,0.32104612847047,0.570148050787155,0.952562496428505
0.292404838662152,0.316490624270158,0.56753443636883,0.951928234502217
0.290324727788891,0.312029705121832,0.564951749628942,0.95129448650519
0.288280406706849,0.307661002708683,0.562399362532189,0.950661256241053
0.286270887861064,0.303382208841647,0.559876665749376,0.950028547385053
0.284295221310884,0.299191074541354,0.557383067908288,0.949396363488877
0.282352492901843,0.295085409054099,0.554917994882657,0.948764707985221
0.280441822545537,0.291063078813183,0.552480889116859,0.948133584192149
0.278562362600004,0.28712200635573,0.55007120898416,0.947502995317236
0.276713296343702,0.283260169203999,0.547688428176473,0.946872944461516
0.274893836536718,0.279475598719162,0.545332035123753,0.94624343462325
0.273103224063352,0.275766378934631,0.543001532441268,0.945614468701512
0.271340726650652,0.272130645375217,0.540696436403121,0.944986049499618
