"Xyleborus affinis","Xyleborus xylographus","Euwallacea fornicatus","Xyleborinus saxeseni","mutillatus","Ambrosiodmus obliquus","Xyleborus glabratus","Xyleborus seriatus","Xyleborus germanus","Euwallacea validus","Xyleborus ferrugineus"
0.900687906946875,0.365987366879804,0.551201269544418,0.388133267692497,0.252878954472092,0.129764914601394,0.917603462031685,0.225220581238028,0.408417765811577,0.497739145843188,0.635798998663948
0.899325528240824,0.359449005311349,0.548434899306976,0.386180017562128,0.250862729162993,0.128608926925835,0.914951338224831,0.223629802845975,0.406922048582137,0.494828455022673,0.633578328240803
0.897961906225203,0.353033809586247,0.545696149564526,0.38425194710984,0.2488793268564,0.127474357445189,0.912252602555787,0.222064485906793,0.40544455405752,0.491950271194174,0.631376600409294
0.89659710886874,0.346740391050654,0.542984608804826,0.382348519775302,0.24692794271533,0.126360605977345,0.909507465399854,0.220523993104658,0.403984889880254,0.489104067666224,0.629193538625894
0.895231202861609,0.340567290475596,0.540299873647949,0.38046921511837,0.245007798208461,0.125267094772012,0.906716161800106,0.219007708827296,0.402542675914328,0.486289328736015,0.627028872374566
0.893864253645135,0.334512985984846,0.537641548646443,0.37861352819095,0.243118140037706,0.124193267465813,0.903878951335692,0.217515038231881,0.401117543746212,0.483505549415195,0.624882336985294
0.892496325440495,0.328575900509021,0.535009246091357,0.376780968939007,0.241258239118078,0.1231385880955,0.900996117963504,0.216045406359463,0.399709136211049,0.480752235163358,0.622753673459742
0.891127481276436,0.322754408780492,0.532402585823926,0.374971061633003,0.239427389606903,0.122102540165574,0.89806796983331,0.214598257294988,0.39831710694253,0.478028901628992,0.620642628303715
0.889757783016082,0.317046843884661,0.529821195052728,0.373183344325145,0.237624907979599,0.121084625766803,0.895094839076494,0.213173053370155,0.396941119945028,0.475335074397676,0.618548953366065
0.888387291382854,0.311451503383868,0.527264708176126,0.371417368331963,0.235850132149418,0.120084364742425,0.892077081568599,0.211769274406562,0.395580849186694,0.472670288747306,0.61647240568375
0.887016065985548,0.305966655030716,0.524732766609816,0.36967269774079,0.234102420628728,0.11910129389905,0.889015076665948,0.21038641699675,0.394235978212288,0.470034089410149,0.61441274733275
0.885644165342612,0.300590542087938,0.522225018619319,0.367948908938852,0.232381151729551,0.118134966259459,0.88590922691664,0.209023993820927,0.392906199774606,0.467426030341526,0.612369745284549
0.884271646905657,0.295321388272094,0.51974111915724,0.366245590163718,0.230685722801221,0.117184950354745,0.882759957746285,0.207681532997305,0.391591215483442,0.464845674494925,0.610343171267953
0.882898567082226,0.290157402338461,0.517280729705148,0.364562341073982,0.229015549503171,0.116250829553367,0.879567717118914,0.206358577464101,0.390290735471092,0.462292593603345,0.608332801635963
0.881524981257871,0.285096782324367,0.514843518119913,0.362898772339065,0.227370065110937,0.115332201424903,0.876332975173523,0.205054684391416,0.389004478073477,0.459766367966711,0.606338417237498
0.88015094381755,0.280137719468047,0.512429158484374,0.361254505247156,0.225748719853655,0.114428677136402,0.87305622383677,0.20376942462128,0.387732169526008,0.457266586245147,0.604359803293734
0.878776508166384,0.275278401819859,0.510037330962164,0.359629171330316,0.224150980281349,0.11353988087941,0.869737976412418,0.2025023821343,0.38647354367339,0.454792845257963,0.602396749278864
0.877401726749795,0.270517017562304,0.507667721656601,0.358022412005867,0.222576328660489,0.112665449325855,0.866378767148122,0.201253153541429,0.385228341692608,0.452344749788165,0.600449048805064
0.876026651073058,0.265851758054942,0.505320022473465,0.356433878233214,0.221024262396323,0.111805031111094,0.862979150780237,0.200021347599462,0.38399631182837,0.449921912392332,0.5985164995115
0.874651331720276,0.261280820619831,0.502993930987575,0.354863230185322,0.219494293480615,0.110958286342572,0.85953970205737,0.198806584748973,0.382777209140352,0.447523953215704,0.596598902957187
0.873275818372825,0.256802411082595,0.500689150313031,0.353310136934099,0.217985947963498,0.110124886132591,0.856061015243413,0.197608496673474,0.381570795261618,0.445150499812316,0.59469606451754
0.87190015982726,0.252414746083765,0.498405388976989,0.351774276148982,0.216498765448197,0.109304512153837,0.852543703600869,0.196426725878653,0.380376838167616,0.442801186970037,0.592807793284455
0.870524404012738,0.248116055174427,0.496142360796887,0.350255333808082,0.21503229860749,0.108496856216366,0.848988398855296,0.195260925290623,0.379195111955221,0.440475656540354,0.59093390196977
0.869148598007944,0.243904582709728,0.493899784760985,0.348753003921245,0.213586112720815,0.107701619864851,0.845395750641748,0.194110757872171,0.378025396631274,0.438173557272789,0.589074206811969
0.867772788057558,0.239778589553141,0.491677384912132,0.34726698826447,0.212159785230985,0.106918513994961,0.841766425934111,0.192975896256074,0.376867477910167,0.435894544653768,0.587228527485988
0.866397019588284,0.235736354603897,0.489474890234653,0.345796996125111,0.210752905319564,0.106147258487819,0.83810110845828,0.191856022394584,0.375721147019981,0.433638280749852,0.585396687016002
0.865021337224442,0.231776176159359,0.487292034544257,0.344342744057355,0.209365073499982,0.105387581861543,0.83440049809013,0.190750827224253,0.374586200516775,0.431404434055171,0.583578511691061
0.863645784803147,0.227896373123587,0.485128556380874,0.342903955647474,0.207995901227519,0.104639220938954,0.830665310239279,0.189660010345304,0.373462440106592,0.429192679342951,0.581773830983466
0.862270405389102,0.224095286072765,0.482984198904337,0.341480361288403,0.206645010525364,0.103901920530567,0.826896275219667,0.188583279714828,0.372349672474824,0.427002697521012,0.579982477469775
0.860895241288992,0.220371278187609,0.480858709792808,0.340071697963185,0.205312033625959,0.103175433132056,0.823094137607958,0.18752035135308,0.371247709122559,0.424834175491107,0.578204286754337
0.859520334065523,0.216722736062356,0.478751841143874,0.338677709036884,0.203996612626912,0.102459518635427,0.81925965559085,0.186470949062252,0.370156366209576,0.422686806012008,0.576439097395237
0.858145724551103,0.213148070399387,0.476663349378232,0.337298144056567,0.202698399160794,0.101753944053171,0.815393600302332,0.185434804157077,0.369075464403663,0.420560287566213,0.574686750832587
0.856771452861172,0.209645716598056,0.474592995145875,0.33593275855898,0.201417054078154,0.101058483254724,0.811496755151982,0.184411655206693,0.368004828735964,0.418454324230174,0.572947091319035
0.855397558407211,0.206214135245783,0.472540543234716,0.334581313885578,0.200152247143157,0.100372916714592,0.807569915145388,0.183401247787217,0.366944288462054,0.416368625547939,0.571219965852449
