"Xylosandrus morigerus","Xylosandrus crassiusculus","Xyleborus xylographus","Xyleborinus saxeseni","Xyleborus glabratus","Sampsonius dampfi","mutillatus","Xyleborus affinis","Xyleborus germanus","Euwallacea fornicatus","Coptoborus pseudotenuis","Xylosandrus compactus","Xyleborus obesus","Xyleborus seriatus","Xyleborus posticus","Ambrosiodmus rubricollis","Ambrosiodmus tachygraphus","Euwallacea validus","Ambrosiodmus obliquus","Xyleborus ferrugineus"
0.974111639999287,0.95592730240253,0.99995692867339,0.92818065862292,0.999999922807785,0.997231981303817,0.975122894340519,0.889710293598013,0.903485133470443,0.948679545331048,0.999629839645203,0.951579497862463,0.913908034235584,0.940223662181918,0.850763159802353,0.99532047314148,0.990385799791292,0.991221672360003,0.88117828821785,0.930488419490665
0.955188709656677,0.933462161107187,0.999760336739985,0.883742129179513,0.99999930206752,0.991082231321287,0.948150457709568,0.852713307034211,0.856314576142108,0.914327700677153,0.998676595672249,0.916341244174242,0.833166023158611,0.891464982955412,0.764871536368702,0.987077512465945,0.973881575827426,0.981068566195855,0.792729430304897,0.894893375448966
0.93860256981106,0.915773125211757,0.999346101696884,0.847858716703949,0.999997469669451,0.982411714711764,0.921301505175838,0.826638040740445,0.820666698106742,0.885575918274413,0.997214136851619,0.886119151699499,0.762624986724627,0.848866018702397,0.700860377975047,0.976722750273778,0.953655821026515,0.970465883939516,0.721940398559336,0.867270919663313
0.923520136962227,0.900734985595401,0.998667629104743,0.817221712134214,0.999993689683408,0.971657800791892,0.895080343934727,0.806011561487515,0.791412432902818,0.860366499912319,0.99528013040617,0.859251320280097,0.701437743416353,0.810932190413813,0.649889275658767,0.964827722221934,0.93101871268343,0.959650301021825,0.663577541191843,0.844124485771174
0.909555420282798,0.887469518411849,0.997686894838954,0.79030809317477,0.999987179974186,0.959145752650585,0.869695033927604,0.788765832369844,0.766399878652063,0.837738271669383,0.992901803464567,0.8349192394071,0.648258750648024,0.77676577938519,0.607768868329224,0.95175468461538,0.906810571217518,0.948741581444327,0.61446121992605,0.823983679069146
0.896482722421105,0.875505823512126,0.996371607703719,0.766237480401126,0.999977122498194,0.945146685343056,0.845236043376842,0.773860992909112,0.744467540823247,0.817127276610468,0.990101530008532,0.812622525345679,0.601817810588565,0.745740073102959,0.572087920174213,0.937768286259087,0.881634732554452,0.937812530548891,0.57246812262352,0.806051402327701
0.884152870666325,0.864554368197684,0.994693898096615,0.744436902130533,0.999962669578853,0.929897885370032,0.821735778943947,0.760689843169055,0.724899842253969,0.798160901548202,0.986899027896237,0.792019296970486,0.561030022842683,0.717385268429377,0.541307534076388,0.923075648243896,0.85594442607988,0.926911689083075,0.536103216204148,0.789833928782149
0.872459408887715,0.854421124379153,0.992629617976744,0.724504872962589,0.999942948208352,0.91361158713521,0.799194909767756,0.748862847369205,0.707217687331567,0.78057411264914,0.983312426921035,0.772859480480255,0.524997536868873,0.691334178405143,0.514378337704125,0.907845119346107,0.83008636565279,0.916073207496522,0.504274677210059,0.774998718959117
0.861322254615919,0.844968081732255,0.990157938046952,0.70614544369873,0.99991706322222,0.896479261005611,0.777595913444683,0.738113272702577,0.691081296102539,0.764168651437005,0.97935885116269,0.75495152879822,0.492984590629192,0.667291746569136,0.490550455735828,0.892216569544106,0.804326983932416,0.905321918936908,0.476162678107144,0.761308443159534
0.850678805869823,0.836092677098244,0.98726110544626,0.689132227054543,0.999884099767823,0.878673952407271,0.756910721529361,0.728249487881828,0.676239256661111,0.748790675525711,0.975054758444472,0.73814377241537,0.464388901162911,0.64501607527253,0.469268794946753,0.876307713393453,0.778870218251378,0.894676247407438,0.45113772712886,0.74858635635681
0.840478674869873,0.827716082504368,0.983924292943454,0.673287073853233,0.999843125302149,0.860351742033539,0.737105298455186,0.719128636001834,0.662499379506532,0.734317436671124,0.970416145480004,0.722313072564915,0.438716020221529,0.624305774128047,0.450110894961138,0.860218344146332,0.753870528680981,0.88415001067185,0.428707419406388,0.736696462101971
0.830680364281818,0.819776075518137,0.980135500943265,0.658466620992184,0.999793191261666,0.84165281950999,0.718142490789711,0.710641049562458,0.649710894759915,0.720648828728996,0.965458673265459,0.707357479053613,0.415558086526481,0.60499109778788,0.432747921029724,0.844033368414604,0.729442889676757,0.873753605636507,0.408480444996347,0.725531373963745
0.821249062167129,0.812222465838479,0.975885488847188,0.644553383549325,0.999733334496287,0.822702405291932,0.699983841878938,0.702700504576645,0.637753006067501,0.707701756233415,0.960197742598753,0.6931912469152,0.39457676529045,0.586927506764994,0.416919083382135,0.82782510136178,0.705670679338496,0.863494824134926,0.390141545769105,0.715004494236178
0.812155119154602,0.805014035305607,0.971167720684841,0.631449622196403,0.999662578529698,0.803611630750531,0.682590760446001,0.695237850871802,0.626527221625894,0.695406232109262,0.954648537230656,0.679741322657556,0.375489721211761,0.569990854832522,0.402414255215072,0.811655077069015,0.682612010549371,0.853379435135827,0.373433664194362,0.705044760818545
