"Xyleborus posticus","Xylosandrus crassiusculus","Xylosandrus compactus","Xyleborus obesus","Xyleborus ferrugineus","Ambrosiodmus obliquus","Xyleborus germanus","Ambrosiodmus rubricollis","Euwallacea fornicatus","Xyleborinus saxeseni","Xyleborus seriatus"
0.873942261957908,0.992538112605103,0.956623196411995,0.914663550290918,0.963988138373565,0.888598399900931,0.90407535655045,0.994182629694407,0.983182978818949,0.9312189936799,0.938866890614915
0.79992968825614,0.986604895209044,0.926198482180798,0.838544080705686,0.942435344285701,0.808138982713468,0.861247782248646,0.984841062200252,0.968467201391967,0.891250784497079,0.892430442446027
0.743431380933686,0.981176063106359,0.900242481868032,0.772699654709473,0.924697187484855,0.743538184356801,0.829399681337812,0.973612536331824,0.954701979475885,0.859354469823437,0.852655924188523
0.697503045440871,0.976067715948469,0.877173687202468,0.715635758608768,0.909198405380764,0.689850811058028,0.803455862104811,0.961085906673024,0.941638722575044,0.83224132349265,0.817574725944631
0.658864970540379,0.971196150726411,0.856244075722181,0.665893988863304,0.895257219727907,0.644249784033643,0.781354902427198,0.947615796263535,0.929152182451942,0.808453526663859,0.786130263584176
0.625617467120951,0.966513274083873,0.83700987124229,0.622247464006491,0.882495470189572,0.604894070346221,0.762008250304345,0.93345048983174,0.917163621889355,0.787170466390054,0.757638579020434
0.596535906416912,0.961987811940368,0.819174822531267,0.58369754065654,0.870674152560599,0.570500334440344,0.744756163907962,0.918777199317128,0.905617445613016,0.767868689495492,0.731613659123553
0.570775622272356,0.957597771883337,0.802526146816551,0.549436883975163,0.859629295007987,0.540133731572518,0.72916256599861,0.903743116998338,0.894471477802936,0.750187120084611,0.70769024775887
0.547725850869722,0.953326825322184,0.786903196090267,0.518811551142047,0.849241842189652,0.513091250357247,0.714921369362215,0.888466917643516,0.883692137717432,0.733862899555197,0.685583352832097
0.526929149811136,0.949162353981037,0.772180217372999,0.491289009947636,0.839421679693167,0.488831053712764,0.701808007762331,0.873045776074211,0.873251750534041,0.718696964518611,0.665064526626472
0.508033393464385,0.945094302454076,0.758256039000947,0.466432694740724,0.830098390754326,0.466927150952956,0.689652021947762,0.857560012156879,0.86312691781443,0.704533939016686,0.645946862168726
0.49076148130485,0.941114460045211,0.745047499910737,0.443882164111246,0.821215546824299,0.447039047988474,0.67832047975645,0.842076363260624,0.853297465566288,0.691249613097031,0.628074952333174
0.474891345576295,0.937215988359617,0.73248505314181,0.423337708441113,0.812726995826116,0.428890733219979,0.667707408951549,0.826650404301322,0.843745730524808,0.678742746570365,0.61131787475692
0.460242270981818,0.933393097833575,0.720509706145896,0.404548394240526,0.804594347658502,0.412255725636213,0.65772677187141,0.811328406453258,0.834456056033195,0.666929484498719,0.59556412206766
0.446665250602715,0.929640818799817,0.709070821695351,0.38730273705728,0.796785212016017,0.396946191644673,0.648307629549435,0.796148807481318,0.825414423944268,0.655739424789043,0.580717836658349
0.434036014954375,0.925954834900613,0.698124494267566,0.371421381991985,0.789271927838538,0.38280486847675,0.639390714478075,0.781143401813077,0.816608178242571,0.645112771787493,0.5666959508303
0.422249884478815,0.922331358969675,0.687632323723606,0.356751321746591,0.782030624816227,0.369698968956266,0.630925940667898,0.766338321007991,0.808025812551124,0.634998227185985,0.553425973363334
0.411217897645857,0.918767038651991,0.677560470827925,0.343161297935645,0.775040515585451,0.357515513288573,0.62287055556167,0.751754852664206,0.799656803387717,0.625351395493241,0.540844248775174
0.400863851122234,0.915258883350478,0.66787891744739,0.330538118445907,0.768283352149485,0.346157706727741,0.615187742552186,0.737410131614236,0.791491476982298,0.61613355726171,0.528894569323997
0.391122004653006,0.911804206790122,0.658560878457055,0.318783688564683,0.761743001724177,0.335542095705899,0.607845546785597,0.723317728045495,0.783520901238858,0.607310710657972,0.517527054896542
0.381935278626159,0.908400581231233,0.649582328123008,0.30781260196682,0.75540511107481,0.325596311424128,0.600816037389668,0.709488151003623,0.775736796889995,0.598852812446041,0.506697239465759
0.3732538223402,0.905045800515192,0.640921614249775,0.297550173758924,0.749256837524592,0.316257262300047,0.594074645570275,0.695929281469921,0.768131463545657,0.590733169579123,0.496365318987425
0.365033864978024,0.901737849905833,0.632559140570382,0.287930824847109,0.743286630949063,0.307469673245427,0.587599635535658,0.682646746174182,0.760697717472722,0.582927946197124,0.486495526974312
0.357236784816212,0.898474881228724,0.624477102875795,0.27889674729172,0.737484055286882,0.299184895697876,0.581371677124236,0.669644241094962,0.753428838737765,0.575415760212198,0.477055612125017
0.349828348770714,0.895255192190222,0.616659267948488,0.270396795773083,0.731839641050817,0.291359931011228,0.575373497275417,0.656923811948235,0.746318525913717,0.568177350261898,0.468016398309386
0.342778086237935,0.892077209030144,0.609090786944249,0.262385562083207,0.726344762427228,0.283956623435552,0.569589593313653,0.644486097702962,0.73936085696393,0.561195298525584,0.459351411591151
0.336058769797134,0.888939471859661,0.601758036759434,0.254822598606741,0.72099153407532,0.276940988977805,0.564005995195379,0.632330542176361,0.732550255221696,0.554453798322864,0.451036562248592
0.329645981669,0.885840622181855,0.59464848432938,0.247671763741651,0.715772723855373,0.270282653944376,0.558610066907507,0.620455577977527,0.72588145961113,0.547938457932137,0.443049872241499
0.323517749535025,0.882779392201354,0.587750569865094,0.240900667638527,0.710681678546428,0.263954382630938,0.553390339445077,0.608858786433782,0.719349498427947,0.541636133945181,0.43537124048032
0.317654238865797,0.879754595611801,0.581053605844275,0.234480200880349,0.705712260239391,0.257931677937722,0.548336369465297,0.597537036613676,0.712949666131101,0.535534788889819,0.427982239731087
