"Xyleborus seriatus","Xyleborus glabratus","Xyleborus obesus","Xyleborus affinis"
0.949360023346868,0.999999942207928,0.932537653959677,0.999999999999874
0.915232824501885,0.999999519867673,0.876237826408695,0.999999999997104
0.886602905672225,0.999998343355662,0.82719809770649,0.999999999981856
0.861462850700085,0.999996011107926,0.783844334881907,0.999999999933293
0.838872263533652,0.999992113919994,0.745133037257562,0.999999999816868
0.818278098851206,0.999986236880361,0.710298493682608,0.999999999582053
0.799314230285256,0.999977960510301,0.678751343179755,0.999999999160334
0.781719788104504,0.999966861527312,0.650024631407021,0.999999998463385
0.765299330325948,0.999952513399208,0.623740829073666,0.999999997381399
0.749900992824846,0.99993448676985,0.599589968157655,0.999999995781509
0.73540345678987,0.999912349800907,0.577314373244049,0.99999999350632
0.721707671751074,0.999885668456066,0.556697603569824,0.999999990372509
0.708731335347682,0.999854006744457,0.537556224890523,0.999999986169485
0.696405064458357,0.999816926934472,0.519733556131784,0.999999980658116
0.684669652764203,0.999773989745693,0.503094834546546,0.999999973569501
0.673474053115408,0.999724754524488,0.487523423509664,0.999999964603782
0.66277385907436,0.999668779407321,0.47291780128326,0.999999953429004
0.65253013968676,0.999605621474837,0.459189144122532,0.999999939680004
0.642708530109914,0.999534836899061,0.44625936790415,0.999999922957336
0.633278511374983,0.999455981085535,0.434059527735911,0.999999902826224
0.624212832479129,0.999368608811834,0.422528500015733,0.999999878815543
0.615487041292149,0.999272274363594,0.41161188945957,0.999999850416825
0.60707909983431,0.999166531669013,0.401261116851657,0.999999817083287
0.59896906580428,0.999050934432556,0.391432653106345,0.999999778228885
0.591138826723769,0.998925036268492,0.382087372630652,0.999999733227384
0.583571876304463,0.998788390834788,0.373190004605309,0.999999681411447
0.57625312501589,0.998640551967767,0.36470866512589,0.999999622071743
0.569168738595567,0.998481073817901,0.356614456497508,0.999999554456076
0.562305999568589,0.998309510987016,0.348881122596392,0.999999477768521
0.555653187852509,0.998125418667169,0.341484751275321,0.999999391168583
0.549199477299003,0.997928352781381,0.334403516426854,0.999999293770366
0.542934845626058,0.997717870126409,0.327617453625485,0.999999184641754
0.5368499956663,0.997493528517675,0.321108264320244,0.999999062803614
0.530936286229945,0.99725488693647,0.314859144398034,0.999998927228997
0.525185671177772,0.997001505679511,0.308854633627847,0.999998776842363
