"Xylosandrus crassiusculus","Euwallacea fornicatus","Xyleborus seriatus","Xyleborus ferrugineus","Xyleborus affinis","Xyleborus xylographus","Xyleborus glabratus","Xyleborus obesus","Xyleborus germanus","Euwallacea validus","Xyleborinus saxeseni","Ambrosiodmus rubricollis","Ambrosiodmus obliquus","Ambrosiodmus tachygraphus","Sampsonius dampfi","Xylosandrus morigerus","mutillatus","Xylosandrus compactus","Xyleborus posticus","Coptoborus pseudotenuis"
0.953221789356643,0.950991152616774,0.929943677579481,0.93712808902421,0.891349803677069,0.999943629786088,0.999999869772955,0.913106972975083,0.923422845998798,0.991421741442026,0.927897040070653,0.994790327273145,0.879536540683713,0.990394321696912,0.997115597339607,0.973340273763641,0.970366194206985,0.942301675729322,0.852312885780168,0.999676338722967
0.929916617617064,0.917643259270556,0.87587799068674,0.903529691024652,0.854633455848256,0.999696513904733,0.999998889334814,0.831876042323127,0.881921751432655,0.981445745986718,0.883304166233993,0.985812731296621,0.790483690674867,0.973889126637149,0.990753106356572,0.954046798076128,0.939709578083935,0.902761855772586,0.766763054933613,0.998824771453263
0.911690114156848,0.889558295894515,0.829819105279468,0.877102452222078,0.828709827845864,0.999187842482629,0.999996108533941,0.761040413636513,0.849481435986115,0.971002848792017,0.847308257128842,0.974662027354178,0.719432456053082,0.953653469689648,0.981817921727251,0.937196573933857,0.909877883326205,0.869654565120814,0.702857888934337,0.99750332875548
0.896264235303171,0.864829201870646,0.7895307215129,0.854759220581507,0.808179635201995,0.998367859029205,0.999990527558632,0.699682945067466,0.822258290889321,0.960332455737609,0.816583831376783,0.961956093508792,0.660974118649366,0.930999340745789,0.970767517524331,0.921910943302638,0.881220339521087,0.840706488840895,0.651897001588353,0.995742235338122
0.882702466513764,0.8425601396611,0.75374465757973,0.835186985423037,0.790999725281121,0.997196886574424,0.999981114215291,0.646414228219083,0.798590648285495,0.949556118920463,0.789599992055025,0.948082856800731,0.611851030185995,0.906768794623891,0.957940855766646,0.90778404494215,0.853841126556777,0.814824481529718,0.609742040507632,0.993563652692106
0.870504546073055,0.822223002322434,0.721614264945429,0.817667816847127,0.776141697374455,0.995641944396082,0.999966811859385,0.599936050383213,0.777560621053079,0.938747988428293,0.7654717969188,0.933323112141407,0.569899945645949,0.881566708396481,0.943619427249617,0.894579147971277,0.827752911733748,0.791353997143935,0.57400473553022,0.990986027394447
0.859363833792548,0.803467399042032,0.692527344879226,0.801753823377991,0.763004554117335,0.993675203084187,0.999946544141406,0.559145334030282,0.758591657700712,0.927957691758458,0.743623326198539,0.917894541956156,0.533603845401019,0.855847631448872,0.928048667186282,0.882140127472054,0.802926975449876,0.769856082589091,0.543157704140893,0.988025811694128
0.84907537873574,0.786043155884497,0.666019496085925,0.787141451906923,0.751202475840239,0.991273162693062,0.999919218232118,0.523132266975304,0.741291210709088,0.917220295537059,0.723651056065882,0.901972355639591,0.501858248339221,0.829959376842661,0.911447251832773,0.870355787171995,0.779314728855376,0.750015039233486,0.516157715859087,0.984698302540042
0.839493740531388,0.769762480843606,0.641726847189519,0.773612857428671,0.740471118604592,0.988416176428959,0.999883727199963,0.491153120021581,0.725376717922232,0.906561426243185,0.705257560530695,0.885700662100071,0.47383583493874,0.804169269611254,0.894011692592445,0.859142632961599,0.756858339762853,0.731592748893243,0.4922582849476,0.981018099139634
0.8305110607601,0.754479188283105,0.619357482216118,0.761004993529368,0.730620468612518,0.985088157393779,0.99983895186982,0.46260025159074,0.710636303623145,0.896000207230563,0.68821534509712,0.86919948935159,0.448902612048235,0.778681953491943,0.875918889901326,0.848435508559571,0.735496409473502,0.714403303833803,0.470906210940526,0.97699936873919
