"Xyleborus ferrugineus","Xyleborus xylographus","mutillatus","Euwallacea validus","Xyleborus posticus","Xyleborus affinis","Xyleborus obesus","Ambrosiodmus tachygraphus","Ambrosiodmus rubricollis","Ambrosiodmus obliquus","Xyleborus germanus","Xyleborus seriatus","Euwallacea fornicatus","Xylosandrus morigerus","Xyleborus glabratus","Coptoborus pseudotenuis","Xylosandrus compactus","Xylosandrus crassiusculus","Sampsonius dampfi","Xyleborinus saxeseni"
0.927121993754487,0.999949099374821,0.970063942061807,0.991954556319293,0.85049731415182,0.89495424676517,0.911629743313964,0.990622364721537,0.994169728088363,0.880502291102702,0.90380912067757,0.931075407719775,0.95296059118162,0.973743037641097,0.999999880767129,0.999352913582822,0.954893000989686,0.958397204146934,0.997018934810837,0.934815364254358
0.890549939718521,0.999722510788467,0.939150237366764,0.98246677850575,0.764610795305653,0.858765140244926,0.829479683257145,0.974441884113476,0.984346724404987,0.791789625750338,0.85667514783467,0.877582174173724,0.920537257251914,0.954636464088192,0.999998972990745,0.997829245963509,0.921314711769405,0.936714087484821,0.990479068599162,0.892881789193926
0.862348577498951,0.999251938106417,0.909098990096667,0.972472768167687,0.700635345641796,0.833100207736498,0.758082615161677,0.9545565043497,0.972287576771216,0.720878640127636,0.821030362390749,0.831892606800683,0.893092175130501,0.937916786576843,0.9999963807571,0.995599406942817,0.892248891324501,0.919527162174062,0.981322488347057,0.858528085194259
0.838815803706101,0.998488767711153,0.880253908995732,0.962216493088138,0.649705809903408,0.812717591352024,0.696395073246631,0.932252375205487,0.9586618139002,0.662464921662706,0.791766493473512,0.791853455927938,0.868841089912031,0.92272977477886,0.999991153943469,0.99274391088016,0.866241649421842,0.904851822226462,0.970023397398472,0.828909333613162
0.818402987244685,0.9973938832495,0.852714617044286,0.951822825318976,0.607626014788572,0.795626060024025,0.642947221217392,0.908357142939131,0.943885653082607,0.613336586851868,0.766738548650161,0.756237560640154,0.846942481947121,0.908680160841845,0.999982306808376,0.989318413491108,0.842570287689685,0.891863746952051,0.956932229666781,0.802697154481218
0.800273969474007,0.9959344929773,0.826489936142164,0.94136857989589,0.571982633682235,0.780820634654825,0.596389044483329,0.883467194886292,0.92825741058218,0.571353503234829,0.7447880527037,0.724222384502158,0.826898549800785,0.895537068353069,0.999968826575527,0.985366926668215,0.820789371047055,0.880119289333303,0.942339209322082,0.779114600037196
0.783912547984852,0.994082674425316,0.801547879481356,0.930905642283095,0.541236256762759,0.767712753287254,0.555583646438636,0.858032297271216,0.912005986625296,0.535011209202853,0.725200941308086,0.695211202422952,0.808377972624736,0.88314804500992,0.999949678582839,0.980926878407447,0.800592287216556,0.869344843514755,0.926496659167612,0.757650831581101
0.768972045310244,0.991814599271475,0.777837073102657,0.920471053990744,0.51433757474294,0.755923909685838,0.519598841393191,0.832397971321681,0.895313651792548,0.503212352137489,0.707498939151638,0.66875009423302,0.791143506634331,0.871404388031241,0.999923809782935,0.976031535434101,0.781753224986547,0.859356576284694,0.909628720355472,0.737944654745838
0.755205672801118,0.989110085420045,0.755297305145204,0.910092203320599,0.490536981157127,0.745194376176669,0.487675921995419,0.806830958594332,0.878328654872266,0.475133764711046,0.691342732026009,0.644482555846302,0.77501658644786,0.860224390627424,0.999890151320124,0.970711316442153,0.764098134153976,0.850023427467226,0.891936196081116,0.719727658948521
0.742430063358654,0.985952323716274,0.733865139471675,0.899789805834522,0.469279710241157,0.73533720809138,0.459197119524085,0.781536481917115,0.861173041164276,0.450143900421102,0.676481178435131,0.622121992541443,0.759857860071307,0.849544229353763,0.99984762053953,0.964994561425202,0.747488402135203,0.84124779678274,0.873599281764373,0.702793018369384
0.730504420279294,0.982327702780865,0.713477025392179,0.889579755145469,0.450143627808221,0.72621281164375,0.433657456221557,0.756670893237055,0.843947930928617,0.427749079323698,0.662722245918286,0.601433837959422,0.745555551854388,0.839312570010686,0.999795122624936,0.958908005869631,0.73181089037785,0.832954528490889,0.854779338499014,0.68697689407217
0.719317780167898,0.97822568937417,0.694071039746095,0.879474341996627,0.432800200726763,0.717713864221743,0.410641877494932,0.732351401877983,0.826737321991354,0.407557201470117,0.649915253326069,0.5822233259589,0.732018054619852,0.82948716449879,0.999731551983411,0.95247708296016,0.716971465964063,0.825084195163251,0.835620237735052,0.672146637696376
0.70878081953388,0.973638738695294,0.675587843813832,0.869483094970228,0.416988908822463,0.709755870563208,0.389807126969937,0.708663777534164,0.809610968327945,0.38925252627992,0.637939450770479,0.564326801910577,0.719168977549839,0.820032593914259,0.999655793452144,0.9457261202778,0.702890596526796,0.817588783190045,0.816249526454613,0.658192938971448
0.698820360257335,0.968562218353081,0.657971174500503,0.859613381906062,0.402499862289421,0.702270982172992,0.370867510132806,0.685668551908801,0.79262664239723,0.372577711451854,0.626696366309696,0.547605361275423,0.706943703342902,0.810918710453649,0.999566723378122,0.938678469343581,0.689500233638111,0.810428802124055,0.796779528208474,0.645024392380295
0.68937555653704,0.962994335286748,0.641168053983276,0.849870853155075,0.389161640185705,0.695203802935827,0.353583730353346,0.663406056417721,0.775831963636365,0.357320753512381,0.616104499970693,0.531940078465807,0.695286916510616,0.802119525593822,0.999463210605897,0.931356591323904,0.676741538146523,0.803571279736038,0.777308428090435,0.632563616695238
0.680395171677221,0.956936058443949,0.625128828071876,0.840259776394812,0.376832567435308,0.688508454668171,0.33775411502187,0.641900531629477,0.759265907143299,0.34330531965211,0.606095539053486,0.517228356612664,0.684150780691532,0.793612394443077,0.999344117398833,0.923782113676873,0.664563176627555,0.79698833042567,0.757921355576473,0.620744409365658
