"Xyleborus glabratus","Xyleborinus saxeseni","Euwallacea fornicatus","Euwallacea validus","Xyleborus xylographus","Xyleborus posticus","Xyleborus germanus","Xyleborus seriatus","Xylosandrus compactus","mutillatus","Xyleborus ferrugineus","Xylosandrus morigerus","Xyleborus obesus","Xyleborus affinis","Ambrosiodmus obliquus","Coptoborus pseudotenuis","Ambrosiodmus rubricollis","Xylosandrus crassiusculus","Ambrosiodmus tachygraphus","Sampsonius dampfi"
0.99999988716556,0.931082211640345,0.950091067694682,0.990328527633265,0.999950496715837,0.852209399490259,0.904108616802308,0.936507626351476,0.946257759109153,0.972775868895092,0.930868205425239,0.969385173434614,0.913099534852098,0.880682541653532,0.878642870822029,0.999514873426839,0.99429546702185,0.948820260785024,0.990440208726416,0.99716911012303
0.999999022440209,0.887696737791506,0.916356806151091,0.979381637040794,0.999729206127626,0.766780075346937,0.85709521967133,0.885745629113215,0.908526349013309,0.94395051839777,0.895379427558013,0.948174375026244,0.831897559795144,0.842524204955587,0.789265851205109,0.998318296455892,0.98463290551526,0.924246844313901,0.974009362169397,0.990909839011864
0.999996543291358,0.852442000412399,0.888017306931488,0.968059530461795,0.999268524081001,0.702989786166132,0.821531058334098,0.841806867133599,0.876625655750762,0.915585422296724,0.867818307072342,0.92994128638116,0.761094730049698,0.815913414014785,0.718075733112966,0.996523914792714,0.972738747171262,0.905232430091075,0.953860001744864,0.982107680041985
0.999991530805585,0.822214167628773,0.863106360883959,0.956587399908894,0.998520161803523,0.652126671853993,0.792326692479845,0.802939278244347,0.848544432348415,0.888114807350946,0.844711669605103,0.913578262244201,0.699767296379851,0.795003187033571,0.659568255825988,0.994187495380672,0.959273899853312,0.889251921685431,0.93129700473492,0.971210502832939
0.999983028859188,0.795575311706368,0.840702522354509,0.94507751044272,0.997445170887524,0.610053117799525,0.767344898106035,0.768113886381453,0.823306585596019,0.861698559278404,0.824597979400342,0.898579920063637,0.646524198808769,0.777604724670118,0.610443477638238,0.99134840914023,0.944650293188573,0.875275931730798,0.907157962123253,0.958550390337093
0.999970053001786,0.771689876961882,0.820263656954748,0.93359701484443,0.996010827408777,0.574383383729061,0.745431304308875,0.736624719198441,0.800322961700196,0.836390408989503,0.806684541700481,0.884654366579133,0.600067162534363,0.762624605220277,0.568516618505656,0.98803834986645,0.929163890701032,0.86275793707382,0.882044764618457,0.944403383967369
0.999951595793549,0.750011606538662,0.801430692830063,0.922189869541866,0.994189200856717,0.543592567342935,0.725874316043322,0.707949898444331,0.779195609856658,0.81219349534542,0.790480151431301,0.871610757102199,0.559293566672995,0.74942761282921,0.53225885746247,0.984284719055327,0.91304233325378,0.851364598492029,0.856409969395741,0.929010453062272
0.999926630435451,0.730156212585817,0.783947660434928,0.910886346029234,0.991956391656114,0.5166395248256,0.708197270307363,0.681686219339971,0.759636446072124,0.789084633806201,0.775653848206413,0.859314237623953,0.523294183701271,0.737607962270528,0.500558949807928,0.980112259616252,0.896467323564424,0.840874061902738,0.830600114916594,0.912586589090342
0.999894113440707,0.711839419441052,0.767622692211393,0.899707907131604,0.989292090885386,0.492779454227627,0.692061967189974,0.657512827377926,0.7414268822712,0.767026594081687,0.7619693540021,0.847664291496544,0.49132585194349,0.726888799593646,0.472585591157743,0.975543944537805,0.879587004924612,0.831129477523437,0.804881781544534,0.895325284798308
0.999852986715065,0.694843077105553,0.752306625871681,0.888669996675468,0.98617931229936,0.471460498953075,0.677218068306269,0.635168868782222,0.724395324487719,0.745974876672818,0.749250656646808,0.836583017585554,0.462781431225255,0.717071851644968,0.447702406415106,0.97060149663873,0.862523633480453,0.8220149139214,0.779459259831033,0.877401007617845
0.999802179249403,0.678995023709626,0.737880240995069,0.877783765143566,0.982604221401037,0.452262315227812,0.663474139063602,0.614438748901654,0.708403555613818,0.725881656823054,0.737362288411829,0.826008221913459,0.437163268086845,0.708009725870134,0.425412851713466,0.965305706268319,0.845378756823857,0.813441708781802,0.754487486471338,0.858970764981362
0.999740608546981,0.664156350809351,0.724246152040477,0.867057201445689,0.978556019622215,0.434857476896339,0.650679955014701,0.595141912205551,0.693337971894107,0.706698150404645,0.726197254928307,0.815889077026208,0.414061384420723,0.699589559107076,0.405323157710949,0.959676630187745,0.828236945267689,0.805340195122032,0.730081978202218,0.840175265689668
0.999667181863628,0.650212950768634,0.711323400718955,0.856495909572325,0.974026858369961,0.418986142267151,0.638715122566131,0.577125487723013,0.67910366720006,0.68837605054236,0.715669255754715,0.80618325464681,0.393136053946874,0.691722818699713,0.387116652693998,0.953733716896526,0.811168618165808,0.797654414545223,0.706326680771013,0.821139917384909
0.999580797313396,0.637069684548067,0.699043704613707,0.846103661038714,0.969011766866013,0.404438826133939,0.627481452661613,0.560258841003207,0.6656202844333,0.670868395054688,0.705707458354551,0.796854953659945,0.374104037721659,0.684338652260554,0.37053552396215,0.947495884720695,0.794232267465905,0.790338592682576,0.683280272522635,0.801975772532667
0.999480344876376,0.624646227632001,0.687348769753177,0.835882799400611,0.963508583151258,0.391044334717893,0.616897673295698,0.544429443773117,0.65281901416957,0.654130075528587,0.696252865419136,0.787873498136029,0.356727741549745,0.677379389793619,0.355367586001708,0.940981568798799,0.777476257333365,0.78335470586594,0.660981271403062,0.782780470572893
0.999364707335055,0.61287403172488,0.67618831305341,0.825834543560924,0.957517881096417,0.378661104231771,0.606895657841919,0.529539682507309,0.640640366344995,0.638118116626806,0.687255716432931,0.779212312553242,0.340806663538973,0.670797406759483,0.341436503488803,0.934208747295107,0.760940311435448,0.776670751210878,0.639452189582286,0.763639190588683
