"Xylosandrus compactus","Xylosandrus crassiusculus","Coptoborus pseudotenuis","Euwallacea fornicatus","Xyleborus obesus","Xyleborinus saxeseni","Xyleborus affinis","Xylosandrus morigerus","Xyleborus germanus","Xyleborus xylographus","Xyleborus ferrugineus"
0.943419120476285,0.934861774349985,0.999076386710674,0.931731147206095,0.911523364515671,0.953529831874875,0.844967519372133,0.968556735590053,0.99857048262717,0.999933487251587,0.911391903204737
0.905207650517806,0.907773888872614,0.997050383179602,0.891688263731113,0.830613408772618,0.920619056449332,0.805445463920846,0.947469963565504,0.996478185913852,0.999651167326475,0.872011643386257
0.873297969369493,0.887568559558184,0.994192132086896,0.85965310754337,0.760551586031307,0.892546909212943,0.778996784141723,0.929519457536443,0.994039359566198,0.99908072450956,0.842629631714786
0.845418694570323,0.87097610775374,0.990621930380063,0.832383616207891,0.700059872632959,0.86763591684455,0.758725071368901,0.913504660546697,0.991350050338002,0.998172702475509,0.818612796735623
0.820491458231507,0.856707255601264,0.986420251383128,0.808436813352343,0.647617783659605,0.845081334807114,0.742150974927415,0.898885135334377,0.988462817256478,0.996888389757313,0.798086796826206
0.797876484912847,0.844093534380772,0.981649003316768,0.78699800496613,0.601880826679685,0.824400776431015,0.728069324451345,0.885352016022171,0.985412021431693,0.995196158275762,0.78006396695885
0.777147722726917,0.832734859951208,0.976359520317137,0.767546269969588,0.561734496635513,0.805269681269881,0.715794493080769,0.872705157116752,0.982222387832814,0.993069802666971,0.763946411235856
0.758000416110624,0.822369149699467,0.970596353851367,0.74972156844289,0.526272061544861,0.787453526507784,0.704895880086402,0.860804234500931,0.978912821189392,0.990487656108015,0.749339164268761
0.740205683764374,0.812813642885059,0.964399324644533,0.733261358406279,0.494758482144903,0.770774429253849,0.695083876310955,0.849545380649236,0.975498395060563,0.987432072965991,0.735965050815927
0.72358543525092,0.803934888995601,0.95780473225378,0.717966532015566,0.466596426156904,0.755092650815584,0.686153616858803,0.838848601089438,0.971991502023832,0.983889103662099,0.723620700848595
