"Xylosandrus crassiusculus","Ambrosiodmus tachygraphus","Xyleborus posticus","Ambrosiodmus rubricollis","Xyleborus affinis","Xyleborus xylographus","Xyleborinus saxeseni","Coptoborus pseudotenuis","Xyleborus obesus","Xyleborus seriatus","Xyleborus germanus"
0.989891962652363,0.986835170800591,0.887025808446292,0.99584289006841,0.97564817362452,0.999898363543885,0.934156513022109,0.999961409678811,0.910133529555577,0.92023312883628,0.915984498670329
0.982773490996942,0.96695636978422,0.81839085514607,0.988829030063699,0.962350779158094,0.999507797744877,0.896149069141452,0.999828674168879,0.83292174867281,0.866421274301255,0.8772456269001
0.976520158312487,0.944069581896432,0.765072498245826,0.9801759061429,0.95157802662206,0.998762135573289,0.865797264402097,0.999590338392848,0.767073995279684,0.822420919083325,0.8480664235909
0.970789844518912,0.919509033850977,0.721165805782174,0.970333938714072,0.942222299066659,0.997619948831615,0.839960879960746,0.999239727891082,0.710474243267262,0.784796728984397,0.824075199646654
0.965431902154327,0.894058087770516,0.683846830716769,0.959578636011393,0.933823046212891,0.996050807381574,0.81725659843538,0.998772044381229,0.661393284076303,0.751842476964761,0.803485648483454
0.960361825773226,0.86823722619976,0.651459813312648,0.94810621947714,0.926132170556506,0.994031367232803,0.79690893581785,0.99818358222324,0.618473362344955,0.722520305523163,0.785349724866822
0.955525731473457,0.842410375578595,0.622925208096705,0.936067585153205,0.918996509101306,0.991543628303493,0.778424650813685,0.997471382799289,0.580650457396226,0.696129829909637,0.769090231109767
0.950886366295841,0.816837324309736,0.597490647323656,0.923584038896529,0.912313033609262,0.988574002859501,0.761464210049042,0.996633049302192,0.547084932234191,0.672167153084194,0.754324052310713
0.946416489643607,0.791704219613294,0.57460692900969,0.910755817342569,0.906008196429947,0.985112755772918,0.74578080307337,0.995666635406838,0.517107936427953,0.650253531976614,0.740781226164246
0.942095342676463,0.767143261120586,0.553859147067099,0.897667224049162,0.900027148034213,0.981153634974706,0.73118771426941,0.994570572923514,0.490181349883023,0.630095046085398,0.728262963705985
0.937906596332628,0.743246307644617,0.534925383564834,0.884389983740049,0.894327586483037,0.976693604789001,0.717539308174027,0.99334362198283,0.465868008240917,0.61145794288461,0.716617849582494
0.933837079084533,0.72007470405465,0.517550465345542,0.870985575175482,0.888876006896896,0.971732635752184,0.704719212902152,0.991984835123143,0.443809476205283,0.594152666667842,0.705727415222176
0.929875947168993,0.697666588264671,0.501528527729968,0.857506938063721,0.88364529176934,0.966273524524405,0.692632598921415,0.990493530383015,0.423709322427386,0.57802303836688,0.695496923660208
0.926014120862864,0.676042430043401,0.486691005842778,0.843999774581773,0.878613096222252,0.960321728226688,0.681200926220141,0.988869270445336,0.405320415868977,0.562938658750188,0.685849229935278
0.922243888405353,0.655209282906894,0.47289811604449,0.830503575675565,0.873760727790132,0.953885203735053,0.670358250337309,0.987111845964357,0.388435182494947,0.548789417181688,0.676720546130462
0.918558619747173,0.635164074789573,0.460032661606374,0.8170524526408,0.869072346354649,0.946974246276313,0.660048551588639,0.985221261846195,0.372878060360371,0.535481425034844,0.668057433944112
