"Ambrosiodmus tachygraphus","Xyleborus seriatus","Euwallacea fornicatus","Xyleborus obesus","Euwallacea validus","Xyleborus glabratus","Xyleborus posticus","Xyleborus germanus","Ambrosiodmus rubricollis","Xylosandrus crassiusculus","Xyleborus ferrugineus"
0.990847355565001,0.903454084004963,0.982601515451337,0.914039692324853,0.990305119837304,0.999999994432302,0.880998732488481,0.900455785231413,0.996781410990528,0.993364759359365,0.984597751603348
0.97579773646555,0.842615306740441,0.967685742683257,0.838221180805138,0.980080972637218,0.999999935253864,0.809924599251775,0.857438738665636,0.991031546933242,0.988028008491112,0.972774310777799
0.957671197694233,0.794322594266554,0.95383575659533,0.772854682855131,0.969783090751751,0.999999728034607,0.75517133562596,0.825698381195836,0.983732695504856,0.983122623995671,0.962155911499022
0.937561523448045,0.753882653456257,0.940753650913295,0.716286537539967,0.959515309067033,0.999999247074961,0.710357012303746,0.799961971248834,0.975264708325907,0.978491825042698,0.95231425405077
0.916148383407512,0.719032414012996,0.928291664514826,0.667004907246329,0.949326526936864,0.999998341261119,0.672449539822522,0.7781073879242,0.965865408059074,0.974064156876784,0.943052264784955
0.893911038695494,0.68843042040175,0.916358223352977,0.623766146678583,0.939244336597394,0.999996837354059,0.639682021205298,0.759021262257623,0.955707718618989,0.969798537416729,0.934255451973608
0.871206577944066,0.661191857618839,0.904889517572365,0.585569264570341,0.929285647169092,0.999994542205295,0.610908898989587,0.742032228929182,0.944927308410439,0.965668243370711,0.925848555956268
0.848308074037727,0.636692941917782,0.893837727459084,0.551610289155403,0.919461213265442,0.999991244389159,0.585335848625593,0.726698377134707,0.933635425280439,0.961654479880309,0.91777810275181
0.825426712173275,0.614473260004826,0.883165204055725,0.521240653864678,0.909777919618916,0.999986715474059,0.562385703733344,0.712710619737675,0.92192583110147,0.957743291953614,0.910003999111573
0.802726203338874,0.594181299170651,0.872841237814573,0.493933602445061,0.900240068358434,0.999980711051485,0.541624248964219,0.699842880679843,0.909878960471748,0.953923895895349,0.902494975930475
0.780332950143372,0.575541599345967,0.862840108095196,0.469258057305511,0.890850163614902,0.999972971593133,0.522715862953933,0.687924012813891,0.897564619247645,0.950187698854796,0.895225900499804
0.758343615055684,0.558333756581374,0.853139829033672,0.446858514401898,0.881609418655166,0.999963223180995,0.505395432741281,0.676820863129711,0.885043849631371,0.946527685008532,0.888176086923662
0.736830962621266,0.542378381638565,0.843721302141183,0.426439583802097,0.872518098881813,0.99995117814058,0.489449754795754,0.666427507615633,0.872370288278517,0.942938011704971,0.881328179688463
0.715848478520606,0.527527364143541,0.83456772031209,0.407754054637315,0.863575762302814,0.999936535598507,0.474704766178854,0.656658111308081,0.859591199464179,0.93941373289297,0.87466738568933
0.695434078922292,0.51365691911105,0.825664134560138,0.390593624285389,0.854781433068366,0.9999189819799,0.46101651426929,0.647442024239093,0.846748290416473,0.935950603359925,0.86818092815261
0.675613119115194,0.500662496216823,0.816997130189157,0.374781645970735,0.846133729697369,0.999898191457148,0.448264609419602,0.63872031287061,0.833878374659088,0.932544936274815,0.86185764739134
0.656400848887617,0.488454973646245,0.808554578974546,0.360167413173356,0.837630961684533,0.999873826358925,0.436347375978195,0.630443244818831,0.821013925355169,0.92919349704572,0.855687701918848
0.637804423587919,0.476957760420456,0.800325445621324,0.346621621635982,0.829271203466963,0.999845537546432,0.425178194634007,0.622568425198026,0.808183546306522,0.925893422608651,0.84966234008019
0.619824554229861,0.466104555328493,0.792299633919543,0.334032740059374,0.82105235181869,0.999812964762413,0.41468269880468,0.615059389643238,0.79541237935378,0.922642158956206,0.843773722434479
0.602456862129715,0.455837589496452,0.78446786254952,0.322304087062497,0.812972170882786,0.99977573695748,0.404796595037856,0.607884524452596,0.782722461232379,0.91943741202387,0.838014781434508
0.58569299049467,0.446106231174878,0.776821563446221,0.311351461046887,0.805028327828469,0.999733472597453,0.395463947072298,0.60101622559781,0.770133039215762,0.916277108540231,0.832379109026997
0.569521515475968,0.436865865848634,0.769352797612586,0.301101205974001,0.797218421296086,0.999685779954829,0.386635809597362,0.594430235167394,0.757660852388958,0.913159364432034,0.82686086549972
0.553928691476408,0.42807698840355,0.762054184629305,0.291488623180833,0.789540004223853,0.999632257387004,0.378269129314662,0.588105111638722,0.745320383700455,0.910082459041898,0.821454704735815
0.538899059352046,0.41970446057552,0.754918843058748,0.282456659707086,0.781990602249618,0.999572493603484,0.370325852802565,0.582021802489261,0.733124086764346,0.907044813877514,0.816155712306424
0.524415941177433,0.411716898618723,0.747940339618419,0.273954818978944,0.774567728593601,0.999506067924023,0.362772196139504,0.576163296047266,0.721082590554195,0.904044974935861,0.810959353729713
0.510461841184019,0.404086164577552,0.741112645490684,0.265938251386329,0.767268896118732,0.999432550529367,0.355578042323331,0.570514335394852,0.709204884532913,0.901081597878591,0.80586143086839
0.49701876914176,0.396786940727818,0.734430098497439,0.258366991243443,0.7600916271103,0.999351502706083,0.348716440582605,0.565061181369303,0.697498486325343,0.898153435503906,0.800858044907186
0.484068499693836,0.389796371334175,0.727887370138665,0.251205313523687,0.753033461200572,0.999262477086772,0.342163187612916,0.559791414782968,0.685969593713101,0.895259327084998,0.795945564698825
0.471592778866089,0.383093759306738,0.721479436698277,0.244421189114128,0.746091961775876,0.999165017886844,0.335896475197768,0.554693770244669,0.674623222481383,0.892398189238379,0.79112059952685
0.459573487072049,0.376660307945137,0.715201553777171,0.237985821514533,0.739264721136106,0.999058661138874,0.329896592009971,0.549757995651045,0.66346333145242,0.889569008055807,0.786379975530472
