"Pest","FocalHost","intercept","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","slope","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %"
"Viroid3086","cucumis",523.991521567946,136258.545843622,0.00384556813169949,0.996931688122771,-266537.850917731,267585.833960867,-237.253135820229,61695.2105217184,-0.00384556813752519,0.996931688118123,-121157.643777005,120683.137505364
"Viroid3086","cydonia",14.3649634245892,8.90710484940387,1.61275337693488,0.106798098950749,-3.0926412867645,31.8225681359428,-7.3673522884588,4.14040507070249,-1.77937959273362,0.0751775498675557,-15.4823971084427,0.747692531525085
"Viroid3086","pyrus",14.3649634245892,8.90710484940387,1.61275337693488,0.106798098950748,-3.09264128676449,31.8225681359428,-7.36735228845881,4.14040507070249,-1.77937959273362,0.0751775498675556,-15.4823971084427,0.747692531525084
"Viroid159","areca",207.443468417585,403667.264288037,0.00051389717911226,0.999589969392994,-790965.856273946,791380.743210781,-93.5964693719938,179226.740239803,-0.000522223800124709,0.999583325711536,-351371.5524059,351184.359467157
"Viroid159","cocos",206.50591850996,381502.228854534,0.00054129675501503,0.999568107697452,-747524.122658134,747937.134495154,-93.1858784109838,169814.202281207,-0.000548751972209433,0.999562159295638,-332922.906412976,332736.534656154
"Viroid159","elaeis",206.505918335452,381502.224529663,0.000541296760693975,0.999568107692921,-747524.114181716,747937.126018387,-93.1858783409577,169814.200716683,-0.0005487519768528,0.999562159291933,-332922.903346494,332736.531589813
"Viroid159","phoenix",214.315797533032,452318.519411926,0.000473816101564161,0.999621949462048,-886313.691790323,886742.323385389,-96.3595345547809,197248.445175288,-0.000488518601346385,0.999610218565824,-386696.208084643,386503.489015534
"Viroid1627","citrus",172.564356797464,229.823876478096,0.750854782548717,0.452740055757869,-277.882163886986,623.010877481913,-74.6379324080192,100.385570175907,-0.743512561389355,0.457171419337454,-271.390034520314,122.114169704276
"Viroid1627","cucumis",58.494388724423,26.0951151573003,2.24158385091697,0.0249882806578599,7.34890284368925,109.639874605157,-25.3527332521684,11.2869047173684,-2.24620778566115,0.0246907017821688,-47.4746599951456,-3.2308065091912
"Viroid1627","humulus",50.4153698451183,22.3702576335611,2.25367855261007,0.0242163975739433,6.57047055845633,94.2602691317803,-21.8920231210147,9.65840268766543,-2.26662977605734,0.0234128515413952,-40.8221445370238,-2.96190170500564
"Viroid1627","prunus",16.1167639235146,9.7626958079579,1.65085179755137,0.0987688404350869,-3.01776825210309,35.2512960991322,-7.21596735087644,4.18215359795593,-1.72541901722675,0.0844519865489709,-15.4128377806847,0.980903078931773
"Viroid1627","punica",172.564356797461,229.823876478113,0.750854782548648,0.452740055757911,-277.882163887022,623.010877481944,-74.6379324080179,100.385570175914,-0.743512561389286,0.457171419337495,-271.390034520328,122.114169704292
"Viroid1627","pyrus",16.1167639235146,9.76269580795791,1.65085179755137,0.0987688404350873,-3.01776825210311,35.2512960991322,-7.21596735087645,4.18215359795593,-1.72541901722675,0.0844519865489712,-15.4128377806847,0.980903078931783
"Viroid1627","vitis",479.001120565712,136269.849078826,0.00351509247132601,0.99719536776295,-266604.995252642,267562.997493773,-207.982731009591,59390.6524818251,-0.00350194386352698,0.997205858769538,-116611.522613721,116195.557151702
"Viroid1452","datura",25.6319867448915,13.9293326328387,1.84014463725731,0.0657470054236963,-1.6690035441509,52.932977033934,-11.4975786737431,5.89406667383759,-1.95070387051748,0.0510922826848565,-23.0497370769425,0.0545797294563766
"Viroid1452","ipomoea",32.0205762850405,15.1800658862767,2.10938322171501,0.0349115165524416,2.26819386499307,61.7729587050879,-14.1236463563058,6.43623817551611,-2.19439460926619,0.0282070531215713,-26.7384413762391,-1.50885133637242
"Viroid1452","lycopersicon",26.1277240615565,13.8787654076435,1.88256831887707,0.0597588931795155,-1.07415628730498,53.3296044104181,-11.7027039950983,5.87509575932697,-1.99191714901324,0.0463801490471694,-23.2176800891032,-0.187727901093467
"Viroid1452","nicotiana",25.6319867448915,13.9293326328387,1.84014463725733,0.0657470054236947,-1.66900354415074,52.9329770339338,-11.4975786737431,5.89406667383755,-1.95070387051749,0.0510922826848552,-23.0497370769425,0.0545797294563144
"Viroid1452","persea",17.5660684910804,3956.18032519111,0.00444015870035747,0.996457277566275,-7736.40488522946,7771.53702221162,-7.36990718800341,1581.03317084743,-0.00466145007195085,0.996280714426107,-3106.13798041212,3091.39816603611
"Viroid1452","solanum",26.1277240615565,13.8787654076434,1.88256831887707,0.0597588931795154,-1.07415628730497,53.329604410418,-11.7027039950983,5.87509575932697,-1.99191714901324,0.0463801490471692,-23.2176800891032,-0.187727901093476
"Viroid3092","lycopersicon",214.976593013028,83009.1699775574,0.00258979330923498,0.99793364621274,-162480.006949563,162909.960135589,-112.381947349598,43254.7103558472,-0.00259814356459807,0.997926983695322,-84890.0564065218,84665.2925118226
"Viroid3092","solanum",214.976593013024,83009.1699775422,0.00258979330923541,0.99793364621274,-162480.006949533,162909.960135559,-112.381947349596,43254.7103558393,-0.0025981435645985,0.997926983695322,-84890.0564065063,84665.2925118071
