"Xylosandrus compactus","Xyleborus ferrugineus","Sampsonius dampfi","Coptoborus pseudotenuis"
1,0.999426131356097,0.999990628462194,0.999996877376808
1,0.998780571707019,0.999949629074117,0.999983512632535
1,0.998105430331574,0.999865292356629,0.999956362949413
1,0.997410686803126,0.9997293106844,0.999912952117196
1,0.996701267701414,0.999534929576942,0.999851280213789
1,0.995980155687154,0.999276358880655,0.999769637477795
1,0.995249365288109,0.998948490440664,0.999666515126759
1,0.994510354968133,0.998546737842942,0.999540554524647
1,0.993764232848718,0.998066936024634,0.999390515075444
1,0.993011871395206,0.997505274165501,0.999215252499868
1,0.992253976610678,0.996858248723354,0.99901370339116
1,0.991491132351385,0.996122629437261,0.998784873817169
1,0.990723830069486,0.995295434075649,0.998527830660054
1,0.989952489543852,0.994373909296459,0.998241694881018
1,0.9891774737869,0.993355515899799,0.997925636181696
1,0.988399100047732,0.992237917306174,0.997578868705421
1,0.987617648116907,0.991018970442472,0.997200647529681
1,0.986833366716252,0.989696718446501,0.996790265771739
1,0.986046478498355,0.988269384755422,0.996347052176965
1,0.985257184016307,0.986735368250596,0.995870369092354
1,0.984465664917274,0.9850932392077,0.99535961075102
1,0.983672086541787,0.983341735856361,0.994814201810283
1,0.982876600061627,0.981479761394617,0.994233596098376
1,0.982079344254939,0.979506381334581,0.993617275534039
1,0.98128044699286,0.977420821079427,0.992964749190322
1,0.980480026494326,0.975222463650484,0.992275552479312
1,0.979678192392859,0.972910847497896,0.991549246438696
1,0.978875046649493,0.970485664340239,0.990785417104394
1,0.97807068433881,0.967946756988124,0.989983674956119
1,0.977265194329547,0.965294117114882,0.989143654424831
1,0.976458659876987,0.962527882944146,0.988265013452763
1,0.975651159141108,0.959648336829873,0.98734743309808
1,0.974842765641828,0.956655902709262,0.986390617177394
1,0.974033548660709,0.953551143413309,0.985394291940298
1,0.973223573596805,0.950334757823491,0.984358205770869
1,0.972412902283091,0.947007577866339,0.983282128911773
1,0.971601593268812,0.943570565340664,0.982165853207149
1,0.97078970207227,0.940024808574768,0.981009191860936
1,0.969977281407846,0.93637151891337,0.979811979207716
1,0.969164381390492,0.932612027036074,0.978574070493501
1,0.968351049720443,0.928747779111096,0.977295341664185
1,0.967537331850509,0.924780332789707,0.975975689159659
1,0.966723271137965,0.920711353048331,0.97461502971182
1,0.965908908982804,0.91654260788662,0.973213300144896
1,0.965094284953851,0.912275963891014,0.971770457176696
1,0.964279436904054,0.907913381674341,0.97028647721956
1,0.963464401076122,0.903456911202925,0.968761356179928
1,0.962649212199478,0.898908687023411,0.967195109255542
1,0.961833903579439,0.89427092340218,0.965587770729472
1,0.961018507179382,0.889545909390706,0.963939393760195
1,0.960203053696581,0.884736003830623,0.962250050167101
1,0.959387572632319,0.879843630312498,0.960519830210852
1,0.958572092356817,0.874871272102503,0.958748842368126
1,0.957756640169454,0.869821467051218,0.95693721310032
1,0.956941242354694,0.864696802498728,0.955085086615896
1,0.956125924234114,0.859499910190075,0.953192624626051
1,0.955310710214859,0.854233461214854,0.951260006093526
1,0.954495623834841,0.848900160984466,0.949287426974351
1,0.953680687804942,0.843502744260119,0.947275099952424
1,0.952865924048482,0.838043970244237,0.945223254166828
1,0.952051353738156,0.832526617747408,0.943132134931869
1,0.95123699733066,0.826953480442412,0.941002003449826
1,0.950422874599179,0.821327362216286,0.938833136516451
1,0.949609004663894,0.815651072630653,0.93662582621931
1,0.948795406020672,0.809927422499919,0.934380379629051
1,0.947982096568067,0.804159219596138,0.932097118483753
1,0.947169093632759,0.798349264488642,0.929776378866509
1,0.946356413993539,0.792500346525748,0.92741851087643
1,0.945544073903948,0.786615239965071,0.925023878293298
1,0.94473208911367,0.780696700258197,0.922592858236086
1,0.943920474888751,0.774747460494688,0.920125840815614
1,0.943109246030739,0.768770228009617,0.9176232287816
1,0.942298416894803,0.762767681158059,0.915085437164419
1,0.941488001406918,0.756742466259231,0.912512892911851
1,0.940678013080154,0.750697194712231,0.909906034521157
1,0.939868465030145,0.744634440284628,0.907265311666811
1,0.939059369989786,0.738556736574481,0.904591184824227
1,0.938250740323196,0.732466574645692,0.901884124889844
1,0.937442588039008,0.726366400836021,0.89914461279792
1,0.936634924803016,0.720258614736454,0.89637313913442
1,0.935827761950225,0.714145567340115,0.893570203748353
1,0.935021110496335,0.708029559358367,0.890736315360962
1,0.934214981148687,0.701912839701278,0.887871991173129
1,0.933409384316724,0.6957976041192,0.8849777564714
1,0.932604330121965,0.689685994001806,0.882054144232997
1,0.931799828407541,0.683580095330556,0.879101694730234
1,0.930995888747312,0.677481937780253,0.876120955134687
1,0.930192520454585,0.67139349396506,0.873112479121544
1,0.929389732590456,0.665316678824109,0.87007682647448
1,0.928587533971803,0.659253349141592,0.867014562691472
1,0.927785933178936,0.65320530319607,0.863926258591896
1,0.926984938562933,0.6471742805336,0.860812489925303
1,0.926184558252676,0.641161961859118,0.857673836982224
1,0.925384800161598,0.635169969040492,0.854510884207363
1,0.92458567199416,0.629199865219558,0.851324219815531
1,0.923787181252076,0.623253155024454,0.848114435410664
1,0.922989335240281,0.617331284877545,0.84488212560825
1,0.922192141072682,0.611435643393264,0.841627887661506
1,0.921395605677675,0.605567561860241,0.838352321091598
1,0.92059973580346,0.599728314802135,0.835056027322229
1,0.919804538023155,0.593919120611694,0.83173960931887
1,0.919010018739712,0.588141142252646,0.828403671232937
1,0.918216184190664,0.58239548802414,0.825048818051163
1,0.917423040452686,0.576683212382585,0.821675655250444
1,0.916630593445998,0.571005316815888,0.818284788458394
