"Ambrosiodmus rubricollis","Xyleborus germanus","Xylosandrus compactus","Xylosandrus morigerus","Xyleborus ferrugineus","Xyleborus xylographus","Coptoborus pseudotenuis","Euwallacea validus","mutillatus","Xyleborus obesus","Xyleborinus saxeseni","Xyleborus seriatus","Xyleborus glabratus","Xylosandrus crassiusculus","Xyleborus affinis","Ambrosiodmus obliquus","Ambrosiodmus tachygraphus","Sampsonius dampfi","Xyleborus posticus","Euwallacea fornicatus"
0.994880055478095,0.907334578617614,0.960919226066386,0.9787314570292,0.926180091380797,0.99995530003776,0.999416290270112,0.993219157124552,0.973306084308841,0.91404123493919,0.940451599394928,0.93671517727483,0.999999836565505,0.954368319424248,0.884582474588062,0.878148088155555,0.990953546406634,0.99717132376756,0.850832316725576,0.948350079811864
0.986012317445576,0.861156037307408,0.930451311837157,0.96226408276687,0.889346841172728,0.999752403260612,0.998018794678017,0.98494152484035,0.944903243751204,0.833338964710998,0.900797840133337,0.886090221001447,0.999998641518114,0.931380180907476,0.846851960421977,0.788622286592198,0.975201856318375,0.990913264026749,0.764977383325486,0.913875890257467
0.974970386513079,0.826042675732273,0.90357769579111,0.947516376117761,0.860994135336658,0.999326256591379,0.99595568562717,0.976084899629861,0.91688609928557,0.762802673639444,0.867883544387845,0.842253668894108,0.999995311341031,0.913344369700445,0.820415707740973,0.717383616196703,0.955749487710248,0.98211020818822,0.700989151685803,0.885050629723158
0.962366649244955,0.797110867010135,0.87921588207981,0.933907676038836,0.837362482771713,0.998629803410517,0.993297905563226,0.96689586767619,0.889703928447153,0.701604263558403,0.839251770734245,0.803464570829424,0.999988708277819,0.898048315411043,0.799581724622202,0.65887231301946,0.933854051378484,0.971209835506841,0.650033174732042,0.859793474691101
0.948586588263541,0.772300096305798,0.856816253600396,0.921164425858226,0.816881615310846,0.997624760246381,0.990094847179879,0.957502841740122,0.863527112174212,0.648407081508357,0.813740460949933,0.768700328083307,0.999977672706171,0.8845800299118,0.782210077398869,0.60976529751836,0.910329698408393,0.958544271960043,0.607922999512783,0.837133535262641
0.933909873647685,0.75049340858743,0.836033634308577,0.909124484564133,0.798704654398753,0.996278706076147,0.986385805127656,0.947986199833579,0.838417458525969,0.601945376165581,0.7906626113779,0.73725915845615,0.999961028744027,0.872451424463533,0.767228574316081,0.567866637164933,0.885766596454566,0.944389715465289,0.572249027444311,0.816501670611087
0.91855378412103,0.731000216273308,0.816626340799348,0.897679375555282,0.782309271143782,0.994563739354233,0.982204382479315,0.938401257803298,0.814384581245812,0.561136513402152,0.769562248837973,0.708622125063162,0.9999375875977,0.861362858296648,0.754012887417852,0.531641735375391,0.860612517659518,0.928987355200625,0.541473362758329,0.797522136813033
0.902693563836695,0.71335674109618,0.798413591963473,0.886750807612431,0.767344958134869,0.992455761473543,0.977580606585228,0.928788323862462,0.791410596562219,0.525083778849158,0.750114251630095,0.682388172894648,0.99990614984936,0.851113794922607,0.742163423910881,0.49997624112519,0.835213592831774,0.91255243710226,0.514547280877789,0.779927857908749
0.886473635580141,0.697233183767337,0.781254051979086,0.876279257127154,0.753562379175253,0.989934064081194,0.972542077492423,0.919177886742472,0.769462668708696,0.493051943955137,0.732075178423226,0.65823806299339,0.999865507163211,0.841561761984831,0.731407110399027,0.472037155774884,0.809838776750974,0.895278723864254,0.490721343119495,0.76351917129568
0.870014520150922,0.682384934227526,0.765033687264737,0.866217722500735,0.740776393521409,0.986981080066193,0.967114640398775,0.909593601040165,0.748499972225525,0.464438934185384,0.715256149614558,0.635912181118152,0.999814443643131,0.832600992680863,0.721548103517132,0.447187189380286,0.784696447832037,0.877340954709394,0.46944076010283,0.748141231395552
0.853417489720327,0.668624600370258,0.749658301971427,0.85652800801021,0.728844925636653,0.983582227555575,0.961322799000773,0.900054144816802,0.728477772983336,0.438750335327975,0.69950660098442,0.61519589927932,0.999751736969289,0.824150275843586,0.712440633888348,0.424929325729811,0.759946606524556,0.85889640084932,0.450283288331603,0.733670552045559
0.83676791397374,0.655804888757979,0.735048656386137,0.847178367876418,0.717656064147209,0.979725807364631,0.955189977376944,0.890574445824638,0.709349899209923,0.415578229134403,0.684703928742835,0.595909425883937,0.999676159389779,0.816145565595536,0.703972955409381,0.404869578577279,0.735710297405194,0.840086019858423,0.432920251114068,0.720006471788647
0.820137795066928,0.643807577751922,0.721137117393159,0.838141936547049,0.707119766863796,0.975402929964059,0.948738688668059,0.88116652924385,0.691070260819818,0.394584179460691,0.670746563825039,0.577900500436581,0.999586478615503,0.80853524418408,0.696057322171945,0.386691207569027,0.712077106840826,0.82103544842004,0.417090975878039,0.707065469555666
0.803587766650244,0.632536116747621,0.70786527047243,0.829395640079266,0.697162300573006,0.97060745661089,0.941990644258348,0.871840125890893,0.673593783040915,0.375485731341475,0.657549157722716,0.561038980976948,0.999481458650445,0.801276954583748,0.68862344597076,0.370136416768246,0.689111231388369,0.801855945399306,0.402585423995363,0.694777227183347
0.787168718810803,0.621910488136797,0.695182163329366,0.820919415848551,0.687722384002642,0.965335944387643,0.934966824009436,0.862603122004819,0.656876969108948,0.358045740298748,0.645039128841073,0.545212739817652,0.999359860579577,0.794335407780798,0.681614067023979,0.354993085343618,0.666856433864165,0.782645332531188,0.38923203502643,0.683081812758856
0.770923149033674,0.611863537575591,0.683042980330958,0.812695637575422,0.678748434272557,0.959587588141175,0.927687520619379,0.853461900344971,0.640878223416743,0.342063933304239,0.633154118902781,0.53032449161738,0.999220443330254,0.787680819915433,0.674981862124421,0.341084967991284,0.645340107776938,0.763488946754697,0.376889006012435,0.671927610909048
