"Xyleborus xylographus","Ambrosiodmus obliquus","Euwallacea validus","Xylosandrus compactus","Xyleborus glabratus","Ambrosiodmus rubricollis","Coptoborus pseudotenuis","Ambrosiodmus tachygraphus","Xylosandrus morigerus","Xyleborus posticus","mutillatus"
0.999967675681883,0.912353694082562,0.998809087879358,0.964395335374947,0.99999997241157,0.993810662883998,0.999736039629501,0.992094903976565,0.999350314003923,0.89857424412576,0.962535989196599
0.999829097828778,0.849298391893773,0.99707672247814,0.941246646753955,0.99999974460044,0.984842105063973,0.999102663250909,0.979710426655831,0.998458042050996,0.840306633037051,0.931971131554978
0.999547398549017,0.797407664372056,0.995061872680725,0.921770798275289,0.999999061180375,0.974536347774639,0.998165289032474,0.96505522652374,0.997444738892492,0.795070192933896,0.904610243216077
0.999096958221706,0.753152937920046,0.99284242289762,0.904537419067579,0.999997635646091,0.963356974128026,0.996954122258406,0.948922773411887,0.996344815239345,0.757595248967914,0.879589510304811
0.998457328870262,0.714626508960906,0.990460743535231,0.888906819377115,0.999995159917749,0.951567225963299,0.995489335929652,0.931788675567685,0.995176453354377,0.725483156998004,0.856450122787324
0.997611351047068,0.68060658612975,0.98794439696167,0.874515298389384,0.999991308953992,0.939343298153781,0.993786301789982,0.913982069083137,0.993951210568706,0.697367210144196,0.834893295887634
0.996544274965602,0.65024100277856,0.985313129543959,0.861128253076514,0.99998574358243,0.926813362882542,0.991857631544671,0.895746737592525,0.992677203795764,0.672371787093211,0.814703491805774
0.995243277056725,0.622903358798454,0.982581981612498,0.848581892870757,0.999978112444426,0.91407533050396,0.989714177121253,0.877269941551571,0.991360507308633,0.649893131280809,0.795715433737866
0.99369716789102,0.598116257952808,0.979762905621551,0.836755460530339,0.999968053428173,0.90120634369768,0.987365589184614,0.858698464753241,0.990005872172339,0.629493258345525,0.777797185825948
0.991896204573301,0.575505995022201,0.976865700253503,0.82555630421597,0.999955194777214,0.888268431523579,0.984820656873342,0.840148608766958,0.988617137651395,0.610842334737864,0.760840404117653
0.989831964743879,0.554773874936065,0.973898591419755,0.814911138671165,0.999939155979556,0.87531215128813,0.982087527288662,0.821712941796265,0.987197484938118,0.593684714733846,0.744754236104447
0.987497258760924,0.535677105735942,0.970868614645314,0.804760588964886,0.99991954850135,0.862379078466411,0.979173853701952,0.803465134589611,0.985749602838191,0.577817656677779,0.729461261048863
0.984886066246397,0.518015559893741,0.967781878167102,0.795055607646184,0.999895976406542,0.849503590348046,0.976086899008217,0.785463581000846,0.984275800928658,0.563077332404629,0.714894656997953
0.981993488347962,0.501622311277289,0.964643750579383,0.78575502468334,0.999868036890515,0.836714192117689,0.972833609785443,0.767754197956777,0.982778089692102,0.54932927130786,0.70099614807371
0.978815710045451,0.486356696793899,0.961458998699917,0.776823815183179,0.999835320747472,0.824034532714968,0.969420670338481,0.750372643246509,0.981258238986798,0.536461624575605,0.687714471252059
0.9753499686428,0.472099120136431,0.958231891426923,0.768231839893852,0.999797412785881,0.811484202192922,0.965854542708139,0.733346103418011,0.979717821794702,0.524380290504465,0.675004202211324
0.971594525745002,0.458747089514473,0.954966279665537,0.759952907444966,0.999753892202655,0.799079370110728,0.962141496600144,0.716694753918994,0.978158247662511,0.513005306759094,0.662824837248971
0.967548640793402,0.446212149056738,0.951665658985058,0.751964061721466,0.999704332924197,0.786833305027534,0.958287631930574,0.700432962962443,0.976580788740808,0.502268128287991,0.651140062697086
0.963212544770413,0.434417469882662,0.948333219538443,0.744245030612734,0.999648303920631,0.774756802927,0.954298895875609,0.68457029101409,0.974986600389044,0.492109538687886,0.639917164757844
0.95858741307267,0.423295936263149,0.944971886404823,0.736777792892256,0.999585369498198,0.762858544448985,0.950181095777804,0.66911232477701,0.973376737713343,0.482478023767153,0.629126546563347
0.953675336841074,0.412788608818449,0.941584352608749,0.729546233187555,0.999515089573822,0.751145395480721,0.945939908896857,0.654061375564939,0.971752169008029,0.473328488336795,0.61874132850504
0.948479292258869,0.402843478599793,0.938173106454567,0.722535863727401,0.999437019935079,0.739622662000016,0.9415808897394,0.639417065547637,0.970113786804095,0.464621231889982,0.608737014191839
0.943003107504801,0.393414448209942,0.93474045438788,0.71573359745844,0.999350712488235,0.728294307486304,0.937109475522281,0.625176820641545,0.968462417042931,0.456321122298671,0.599091208811221
0.937251427190272,0.384460491997457,0.931288540294589,0.709127561203346,0.999255715496565,0.717163139361156,0.932530990193495,0.611336285264596,0.966798826763347,0.448396922881305,0.589783379818753
0.931229674225634,0.375944958842349,0.927819361931217,0.702706940404979,0.999151573810803,0.706230969558772,0.927850647339006,0.597889671430286,0.965123730596547,0.440820739618394,0.580794652172419
0.924944009156842,0.367834989473,0.924334785021764,0.696461849057778,0.999037829093272,0.695498753309332,0.923073552231987,0.584830052496886,0.96343779629566,0.433567563466638,0.572107632021154
0.918401287093365,0.36010102651133,0.920836555438945,0.690383219923208,0.998914020037031,0.684966709444406,0.918204703226702,0.572149610161139,0.961741649476163,0.426614888658225,0.563706254026825
0.911609012413925,0.3527164001464,0.917326309799438,0.684462711228938,0.99877968258118,0.674634424936185,0.91324899265749,0.559839841886948,0.960035877705877,0.419942392241216,0.55557564846439
0.90457529149025,0.345656975909868,0.913805584735774,0.678692626875205,0.998634350123272,0.66450094591448,0.908211207370914,0.547891734814075,0.958321034054664,0.413531663372899,0.547702024987819
0.897308783711636,0.338900853768176,0.910275825055954,0.673065847794447,0.998477553729704,0.654564857034315,0.903096028993677,0.536295911245772,0.956597640192109,0.40736597333186,0.540072570527569
