"Ambrosiodmus tachygraphus","Xyleborus germanus","Xyleborus glabratus","Xylosandrus compactus","Xyleborinus saxeseni","Xyleborus posticus","Xyleborus obesus","Xyleborus ferrugineus","Xylosandrus morigerus","Xyleborus seriatus","Euwallacea fornicatus","Sampsonius dampfi","mutillatus","Ambrosiodmus rubricollis","Coptoborus pseudotenuis","Ambrosiodmus obliquus","Xyleborus xylographus","Xylosandrus crassiusculus","Xyleborus affinis","Euwallacea validus"
0.990465998786874,0.9015769968738,0.99999974030089,0.941885157374666,0.938424371173741,0.852543014909711,0.914002455354309,0.928088707347493,0.974944994231182,0.923862494899676,0.949129419930063,0.997136818968589,0.968876994237753,0.994357171397001,0.999510940092534,0.88190432269426,0.999961107924373,0.951544767276992,0.889877237124464,0.988141922745514
0.974072802295719,0.853820019266636,0.999997950491766,0.902162384011259,0.897844108933492,0.76720948465531,0.833279675676555,0.891771652733754,0.956458615865153,0.866878838909412,0.91505518655305,0.990814000268416,0.937085062465796,0.984781834589117,0.998306052380777,0.793731347163394,0.999780867702348,0.927778707349386,0.852924071038638,0.975335680809193
0.95396468838218,0.817821194698308,0.999993137786539,0.868935587317968,0.864304286561873,0.703460904580167,0.762732490478588,0.863713071147464,0.940198192005541,0.818997317238246,0.886519857403359,0.981928932777169,0.906341087943025,0.972983680190084,0.996500309887971,0.723066157565117,0.999397715002325,0.909274389100319,0.8268765906206,0.962362746513754
0.931443415967512,0.78833073453163,0.999983825773684,0.839903272802389,0.83521627103714,0.652615220630966,0.701528848924264,0.840270158767902,0.925376412137543,0.777517339693545,0.861488072109433,0.970935366377487,0.876942586897526,0.959617941554477,0.99415007918401,0.664751832438925,0.998766358318637,0.893658705148349,0.806270331204318,0.949407322269393
0.907344785712706,0.763150184990485,0.999968548285618,0.813959855094992,0.809359668570483,0.610546444844028,0.648329852244179,0.819916468803802,0.911627556743424,0.740946590018121,0.839009517911235,0.958169668601558,0.84895971340667,0.945093301089512,0.991295134497551,0.615643379109284,0.997849529069216,0.8799596177668,0.789040336828817,0.936556975717713
0.882269596599704,0.741094685965996,0.999945846857065,0.7904439075353,0.786015051894379,0.574874415383667,0.601868407754765,0.801826757978545,0.898737337767855,0.70830916461085,0.818526753324431,0.943911325107763,0.822380006896737,0.929703617564496,0.987967480736098,0.573635416069186,0.996615341784504,0.86765926329222,0.774148248593812,0.923861217679043
0.856669758631109,0.721435193982823,0.999914269376738,0.768912201230987,0.764706181657017,0.54407721624106,0.561061057759629,0.785491021302668,0.886563861422778,0.678911285027816,0.799671518792458,0.928404165642075,0.797155243813458,0.91367510957914,0.984194777459738,0.537242883791724,0.99503606845814,0.856440892749923,0.760987719439755,0.91135027188164
0.830891466947766,0.703684146394123,0.999872369318024,0.749046181430578,0.74509431071269,0.517115415644845,0.525010572825791,0.770566430840489,0.875005692988719,0.652234109517129,0.782181889279263,0.911865572126584,0.773221286691984,0.897188517182607,0.98000199108913,0.505379759814307,0.993087483268478,0.846093185646518,0.749169747041112,0.899043170184985
0.80520117082384,0.687496108067472,0.999818705307495,0.730605725415704,0.726926367207419,0.493245239416036,0.492981398288238,0.756808742235836,0.86398640474501,0.627876019917059,0.765861928756423,0.894491021257145,0.750507701565365,0.880391351219992,0.975412293503825,0.477229688388118,0.990748486399454,0.836466422192695,0.738427955343998,0.886951878621309
0.779803177316435,0.672615717844477,0.999751840915808,0.71340346688903,0.710006411106534,0.471915467686577,0.4643712517181,0.744036348427838,0.853446160659538,0.605518183364525,0.750559587677573,0.876456602182847,0.728942760191656,0.863405481084442,0.970447587585111,0.452165290453393,0.988000879653773,0.827449729871016,0.728570963718653,0.875083643089623
0.754852539966869,0.658847931999923,0.999670344608374,0.697289317829015,0.694178555103964,0.452706159396442,0.438685586246641,0.732109713485857,0.843336729345296,0.584902497911164,0.736153536770273,0.857920618842699,0.708456121754064,0.846332253565087,0.965128828493919,0.429695454426341,0.984829229341644,0.818958168089343,0.71945609820149,0.8634424299401
0.730464957745896,0.646039860780747,0.999572789818746,0.682140545799517,0.679316092324172,0.435290146042011,0.415516399506248,0.72091880239515,0.83361833432915,0.565816722620677,0.722544815265008,0.839024785696476,0.688980262090326,0.829256179674628,0.959476224860155,0.409429657319484,0.981220780123192,0.810924887607859,0.710973828912504,0.852029862814142
0.706724598215925,0.634069097987205,0.999457755121265,0.667855101486473,0.665314233624605,0.419407751172567,0.394525202875185,0.710374990697838,0.824257563043434,0.548084050982693,0.709651267077649,0.819895258437597,0.670451194991673,0.812247726809853,0.953509365653098,0.391053109388039,0.977165397669287,0.803296113772625,0.703038037976431,0.840845859174482
0.68369038225934,0.622835906513292,0.999323824487316,0.654346957261888,0.652085065444767,0.404849594693727,0.375429509688096,0.700405636368971,0.815225921807449,0.531555570661402,0.697403685806694,0.800643612318511,0.652808782068547,0.795365515531051,0.947247299338092,0.374309018542808,0.972655525811616,0.796027797721417,0.69557965873376,0.829889077874458
0.661401077534223,0.61225780499214,0.999169587614256,0.641542747500398,0.639553937079809,0.391444548180425,0.357992157464872,0.690950311095738,0.806498803678509,0.516104672469895,0.685743056332589,0.781367815455817,0.635996800580362,0.778658097972295,0.94070858162914,0.358985673165095,0.967686148488746,0.789083301672455,0.688542364329488,0.819157242551892
0.639879443598564,0.602265709439793,0.998993640319058,0.629379283453517,0.627656803176485,0.379051086603779,0.342012864206267,0.681958107541335,0.798054730513286,0.501622817857763,0.674618527341606,0.762153211024461,0.619962869463242,0.762165428237163,0.933911302275164,0.344906865291025,0.962254749745905,0.782431751507502,0.681879554808972,0.808647380465469
0.6191356095438,0.592801115766769,0.998794584990687,0.617801674273321,0.616338224902504,0.36755094542958,0.32732153042477,0.67338566788134,0.789874783138934,0.488016278242845,0.663985886804927,0.743073505599252,0.604658294350871,0.745920096957946,0.926873097798126,0.331924678167413,0.956361267051678,0.776046834737066,0.675552196192848,0.798356002024326
0.599169824752217,0.583813998952914,0.998571031096533,0.606761879426137,0.605549837587032,0.356844381927149,0.313772902170165,0.665195709762575,0.781942164187229,0.475203585026704,0.653806393064251,0.724191753435124,0.590037869055854,0.729948379379648,0.919611154900185,0.319913978136059,0.950008034643527,0.769905904428515,0.669527235485841,0.788279237676118
0.579974695264742,0.575261217846914,0.9983215957391,0.596217575193585,0.595249156393356,0.346846577154738,0.30124229639911,0.657355903832417,0.774241856752414,0.463113509178097,0.644045863293011,0.70556132407417,0.576059656780868,0.714271132158365,0.912142207829068,0.308768155088266,0.943199714719229,0.763989298626876,0.663776415194558,0.77841294348503
0.561536997305656,0.567105284379074,0.998044904259837,0.586131254425615,0.58539863189503,0.337484864552429,0.289622158248175,0.649838005137282,0.766760353723969,0.451683441907043,0.634673952069616,0.687226840994953,0.562684765495202,0.698904564936758,0.904482532034018,0.298395790947105,0.935943215173008,0.758279814891494,0.658275371296104,0.768752783304896
0.543839143189439,0.559313400391518,0.997739590887361,0.576469502546407,0.575964893673337,0.328696567697313,0.278819272602929,0.642617171335929,0.759485440213579,0.440858083489604,0.625663572912929,0.669225080719936,0.549877126325686,0.683860906670804,0.89664793578507,0.288718027000448,0.92824759330182,0.752762298652553,0.653002936354866,0.759294293186534
0.526860361719842,0.551856694305754,0.997404299427695,0.567202408801114,0.56691813759086,0.320427293762946,0.268752492849724,0.635671420709607,0.752406016525461,0.430588371849165,0.616990429039976,0.65158582407143,0.537603280238112,0.669148982476394,0.888653750962045,0.279666463788709,0.920123945518122,0.747423316522098,0.647940593763367,0.750032932121134
0.510577644456156,0.544709609256392,0.997037683994304,0.558303082700736,0.558231624384198,0.312629572514829,0.259350880609552,0.628981196365276,0.745511952541108,0.420830599795462,0.608632628755045,0.634332653651469,0.525832175985915,0.654774713757743,0.88051482388273,0.27118147124877,0.911585283622342,0.742250893989147,0.643072045084347,0.740964122154765
0.494966500345032,0.537849407578965,0.99663840977589,0.549747253302997,0.54988126558242,0.30526176052551,0.250552173845603,0.622529012201162,0.738793966766285,0.411545682226164,0.60057036725125,0.617483693858098,0.51453498082194,0.640741552157094,0.872245506791579,0.26321081806427,0.9026463986234,0.737234302583487,0.63838286325115,0.732083280153935
