"Family","Genus"
"Acanthaceae","Heteradelphia"
"Acanthaceae","Hexacentris"
"Acanthaceae","Himantochilus"
"Acanthaceae","Holographis"
"Acanthaceae","Hoverdenia"
"Acanthaceae","Hulemacanthus"
"Acanthaceae","Hygrophila"
"Acanthaceae","Hymenochlaena"
"Acanthaceae","Hypoestes"
"Acanthaceae","Ichthyostoma"
"Acanthaceae","Idanthisa"
"Acanthaceae","Ionacanthus"
"Acanthaceae","Isochoriste"
"Acanthaceae","Isoglossa"
"Acanthaceae","Isotheca"
"Acanthaceae","Ixtlania"
"Acanthaceae","Jacobinia"
"Acanthaceae","Jadunia"
"Acanthaceae","Janasia"
"Acanthaceae","Juruasia"
"Acanthaceae","Justicia"
"Acanthaceae","Kalbreyeriella"
"Acanthaceae","Kanjarum"
"Acanthaceae","Kosmosiphon"
"Acanthaceae","Kudoacanthus"
"Acanthaceae","Kuestera"
"Acanthaceae","Kuniria"
"Acanthaceae","Lagochilium"
"Acanthaceae","Lankesteria"
"Acanthaceae","Lasiocladus"
"Acanthaceae","Leandriella"
"Acanthaceae","Leda"
"Acanthaceae","Leiophaca"
"Acanthaceae","Lepidacanthus"
"Acanthaceae","Lepidagathis"
"Acanthaceae","Leptacanthus"
"Acanthaceae","Leptosiphonium"
"Acanthaceae","Leptostachya"
"Acanthaceae","Leucobarleria"
"Acanthaceae","Liberatia"
"Acanthaceae","Libonia"
"Acanthaceae","Linariantha"
"Acanthaceae","Linocalix"
"Acanthaceae","Linocalyx"
"Acanthaceae","Linostylis"
"Acanthaceae","Lissospermum"
"Acanthaceae","Listrobanthes"
"Acanthaceae","Lophostachys"
"Acanthaceae","Louteridium"
"Acanthaceae","Lychniothyrsus"
"Acanthaceae","Mackaya"
"Acanthaceae","Mackenziea"
"Acanthaceae","Macrorungia"
"Acanthaceae","Mananthes"
"Acanthaceae","Marcania"
"Acanthaceae","Megalochlamys"
"Acanthaceae","Megalostoma"
"Acanthaceae","Megaskepasma"
"Acanthaceae","Melittacanthus"
"Acanthaceae","Mellera"
"Acanthaceae","Mendoncia"
"Acanthaceae","Mendozia"
"Acanthaceae","Meninia"
"Acanthaceae","Metarungia"
"Acanthaceae","Mexacanthus"
"Acanthaceae","Meyenia"
"Acanthaceae","Micranthus"
"Acanthaceae","Microstrobilus"
"Acanthaceae","Mimulopsis"
"Acanthaceae","Mirandea"
"Acanthaceae","Monechma"
"Acanthaceae","Monothecium"
"Acanthaceae","Morsacanthus"
"Acanthaceae","Nelsonia"
"Acanthaceae","Neowedia"
"Acanthaceae","Neozenkerina"
"Acanthaceae","Neriacanthus"
"Acanthaceae","Neuracanthus"
"Acanthaceae","Nicoteba"
"Acanthaceae","Nilgirianthus"
"Acanthaceae","Nomaphila"
"Acanthaceae","Nothoruellia"
"Acanthaceae","Odontonema"
"Acanthaceae","Odontophyllum"
"Acanthaceae","Onus"
"Acanthaceae","Ophiorrhiziphyllon"
"Acanthaceae","Oplonia"
"Acanthaceae","Oreothyrsus"
"Acanthaceae","Orophochilus"
"Acanthaceae","Orthotactus"
"Acanthaceae","Pachystachys"
"Acanthaceae","Pachystrobilus"
"Acanthaceae","Parabarleria"
"Acanthaceae","Parachampionella"
"Acanthaceae","Paragutzlaffia"
"Acanthaceae","Pararuellia"
"Acanthaceae","Parastrobilanthes"
"Acanthaceae","Parasympagis"
"Acanthaceae","Parasystasia"
"Acanthaceae","Perenideboles"
"Acanthaceae","Pericalypta"
"Acanthaceae","Periestes"
"Acanthaceae","Perilepta"
"Acanthaceae","Peristrophe"
"Acanthaceae","Petalanthera"
"Acanthaceae","Petalidium"
"Acanthaceae","Phaulopsis"
"Acanthaceae","Phialacanthus"
"Acanthaceae","Phidiasia"
"Acanthaceae","Phlebophyllum"
"Acanthaceae","Phlogacanthus"
"Acanthaceae","Physacanthus"
"Acanthaceae","Plegmatolemma"
"Acanthaceae","Pleocaulus"
"Acanthaceae","Podorungia"
"Acanthaceae","Poikilacanthus"
"Acanthaceae","Polylychnis"
"Acanthaceae","Polytrema"
"Acanthaceae","Populina"
"Acanthaceae","Porphyrocoma"
"Acanthaceae","Pounguia"
"Acanthaceae","Pranceacanthus"
"Acanthaceae","Psacadocalymma"
"Acanthaceae","Psacadopaepale"
"Acanthaceae","Pseudacanthopale"
"Acanthaceae","Pseuderanthemum"
"Acanthaceae","Pseudobarleria"
"Acanthaceae","Pseudoblepharis"
"Acanthaceae","Pseudocalyx"
"Acanthaceae","Pseudodicliptera"
"Acanthaceae","Pseudoruellia"
"Acanthaceae","Pseudostenosiphonium"
"Acanthaceae","Psilanthele"
"Acanthaceae","Psiloesthes"
"Acanthaceae","Pteracanthus"
"Acanthaceae","Pteroptychia"
"Acanthaceae","Ptyssiglottis"
"Acanthaceae","Pulchranthus"
"Acanthaceae","Pupilla"
"Acanthaceae","Pyrrothrix"
"Acanthaceae","Ramusia"
"Acanthaceae","Razisea"
"Acanthaceae","Rhacodiscus"
"Acanthaceae","Rhaphidospora"
"Acanthaceae","Rhinacanthus"
"Acanthaceae","Rhombochlamys"
"Acanthaceae","Rhyticalymma"
"Acanthaceae","Rhytiglossa"
"Acanthaceae","Ritonia"
"Acanthaceae","Rodatia"
"Acanthaceae","Rostellaria"
"Acanthaceae","Rostellularia"
"Acanthaceae","Ruellia"
"Acanthaceae","Ruelliopsis"
"Acanthaceae","Rungia"
"Acanthaceae","Ruspolia"
"Acanthaceae","Ruttya"
"Acanthaceae","Saglorithys"
"Acanthaceae","Saintpauliopsis"
"Acanthaceae","Salpinctium"
"Acanthaceae","Samuelssonia"
