"Xyleborus seriatus","Euwallacea validus","Xyleborus obesus","Ambrosiodmus rubricollis","Ambrosiodmus tachygraphus","Xylosandrus crassiusculus","Xyleborus ferrugineus","Xyleborus posticus","Xyleborinus saxeseni","Coptoborus pseudotenuis","Xylosandrus morigerus","Sampsonius dampfi","Xyleborus glabratus","Xylosandrus compactus","Ambrosiodmus obliquus","mutillatus","Xyleborus xylographus","Euwallacea fornicatus","Xyleborus germanus","Xyleborus affinis"
0.917965749754229,0.992623491658775,0.911977081792252,0.994535182632428,0.991152521539781,0.953735851892311,0.931198174770844,0.851011072728613,0.927306210059267,0.999481969716547,0.972120855274027,0.996760170796159,0.999999810616491,0.944470691406701,0.878978501276587,0.974629289321549,0.999946682278015,0.955099026411726,0.906173898581328,0.880993350741961
0.858312694041204,0.983756793627479,0.830030050149976,0.985204568656929,0.97567367395947,0.930554015177594,0.895818667841699,0.765293540664182,0.882540577068853,0.998217653567309,0.952209639792171,0.989761783473775,0.999998451443485,0.905938330315733,0.789665895670817,0.947269693082634,0.999710982110184,0.923671850280908,0.859670961404432,0.842823145990418
0.808821036050061,0.974336846945396,0.758751112298783,0.973670973289549,0.956508115961214,0.912395062603159,0.868326742445382,0.701400686722448,0.846457396235862,0.996332204502236,0.934904738603581,0.980045678071228,0.999994706368283,0.873510017202578,0.71847464814936,0.920105549283516,0.999223455528313,0.896911793781399,0.82437409683228,0.816189881837457
0.766323836791259,0.964612126688326,0.697128863378998,0.960574432840559,0.934893129985427,0.897010665214709,0.845269192223119,0.650512916106809,0.815687072575132,0.993886493837835,0.919258993035684,0.96812947191541,0.999987337842146,0.845054479621827,0.659941417469747,0.893625902743706,0.998434959564198,0.873169104753334,0.795325637960488,0.795255456411145
0.729109379476941,0.95471108766878,0.643712868882392,0.946315208725568,0.911632143599588,0.883475228870239,0.825192285492252,0.60845255081553,0.788681165163356,0.990923276971575,0.90483647350285,0.954392515709225,0.999975094841237,0.819542245447655,0.610781738166211,0.868028411320623,0.997306111896069,0.851661724168031,0.770437037606918,0.777833134263673
0.696077948118009,0.944713543229366,0.597165210322113,0.931181879002637,0.887309430905018,0.871293824451738,0.807307308823235,0.57281544112057,0.764545841818392,0.987476822221163,0.891383646040344,0.939146417295329,0.999956716465779,0.796354450516931,0.568817542327534,0.84339565519021,0.995804022897961,0.831925008259314,0.748577485872459,0.76283010017408
0.666459084089678,0.934673984978105,0.556356689155637,0.915397229429448,0.86236981207991,0.860162832374197,0.791125392199718,0.542067247721054,0.742700075971668,0.983576637143654,0.87873373241675,0.92265985673086,0.999930934109776,0.775074577906876,0.532523058713823,0.819753780520855,0.993900799684949,0.813648490056727,0.729048522063723,0.749611302466885
0.639683633515828,0.924631774695908,0.520360099804786,0.899139792445804,0.837158387486105,0.849879179674232,0.776317070159378,0.515161662213736,0.722737172884546,0.979249263797866,0.866768228604435,0.905169523886583,0.999896472971362,0.7554020793977,0.500788407099203,0.797098367762004,0.991572749808208,0.796609057742784,0.71138148365112,0.737770963622779
0.615315629005262,0.914616398478165,0.488419999112408,0.882555737455189,0.811944357619163,0.840298671113457,0.762647081566231,0.491350940980446,0.70435763061242,0.974519254561876,0.855398349404592,0.88688569684138,0.999852053210091,0.737109578899246,0.472782830315248,0.775407698788467,0.988799920501164,0.78063822413906,0.69524335147015,0.727032179448302
0.593012093517297,0.90465048793068,0.459920779056828,0.865766225781782,0.786937181240782,0.831314313717353,0.74994013752952,0.470081515395114,0.687332542740831,0.969409743132727,0.844554953683775,0.867995495068154,0.999796390899202,0.720019061124026,0.44787009488964,0.754650212807199,0.98556581641599,0.765604096709984,0.6803872957406,0.717196606736655
0.572497572412069,0.894751698879869,0.434358901416837,0.848872366461406,0.762298461105512,0.822843991798818,0.738061302715739,0.450932040484502,0.671481919831056,0.963942794296711,0.834182590486963,0.848665069573491,0.999728198853631,0.703987487488747,0.425553598370489,0.734788947572497,0.981857217230287,0.751400579539198,0.666624340685199,0.708116778769148
0.55354713405068,0.884933950689319,0.411320273234006,0.831958782979526,0.738151142449595,0.814822972990623,0.726903985455274,0.433574513171695,0.656661022404172,0.958139623884534,0.82423574848574,0.829041301743563,0.999646187381714,0.688897555500506,0.405439418443048,0.715784284293113,0.977664051453188,0.737940487609437,0.653806031860899,0.699679760647255
0.535974561464189,0.875208282352494,0.39046227930621,0.815096314147313,0.714586851586499,0.807199106340032,0.716382196725153,0.417748773882595,0.642751316300323,0.952020738541169,0.814676372335309,0.809253278778239,0.99954906499089,0.674651471930984,0.387210691480564,0.697595680947548,0.972979300255396,0.725150935780759,0.64181327752776,0.691796952972866
0.51962388694397,0.865583466083626,0.371499649296234,0.798344140171678,0.691671852990199,0.799929612665367,0.706425349284899,0.403245180003612,0.629654249667816,0.945606024113644,0.805472150489599,0.789413669035842,0.999435539067515,0.661166593630792,0.370609402999176,0.680182776252321,0.96779891475021,0.712970127566128,0.63054886303292,0.684397442397826
0.504363165427949,0.856066460528206,0.354193362686567,0.781751505741249,0.669451929575435,0.792978863268813,0.696974642058213,0.389892480436211,0.617286832589754,0.938914800282575,0.796595295128799,0.769620048922987,0.999304316544589,0.648372279200365,0.355423170758172,0.663506089785982,0.96212173585369,0.701345045770388,0.619932256207158,0.677423503734793
0.490079795844276,0.846662753947506,0.338341921399267,0.765359146972299,0.647956397676306,0.786316797166222,0.68798047360726,0.377549116375225,0.605578412437027,0.931965852694636,0.788021648321301,0.749956197223731,0.999154104567213,0.63620755546135,0.341475474997843,0.647527457134037,0.955949409484184,0.690229746631772,0.609895898815939,0.670827462666664
