"Xyleborus germanus","Xylosandrus compactus","Xylosandrus crassiusculus","Xyleborus ferrugineus","Xyleborinus saxeseni","Coptoborus pseudotenuis","Ambrosiodmus rubricollis","Xyleborus xylographus","Ambrosiodmus tachygraphus","Xyleborus seriatus","Euwallacea fornicatus","Xyleborus affinis","Ambrosiodmus obliquus","Sampsonius dampfi","Xyleborus posticus","Xyleborus obesus","Xyleborus glabratus","Xylosandrus morigerus","mutillatus","Euwallacea validus"
0.906813518244373,0.952993724578082,0.951431553569344,0.924471853211106,0.942369003511482,0.99967048838334,0.994279984071041,0.999954038275026,0.991222339096049,0.919275023937571,0.95046019422813,0.888231244824492,0.881440204715634,0.996680982486106,0.856455111236786,0.913119906853631,0.999999839022896,0.973350579794418,0.973905524688053,0.992247693741145
0.860477679362801,0.918475657415657,0.927589113303165,0.887161064978961,0.903476863943049,0.998805660775016,0.984598130164763,0.999746281321638,0.975831653260255,0.860192055422981,0.916870402911247,0.851048845951251,0.793182819680988,0.989541675767005,0.772179500443638,0.831898956129008,0.999998659300381,0.954070311004038,0.94596382614202,0.983040920413704
0.825271431179184,0.888760316032274,0.909022918373113,0.858529547177059,0.871034376922558,0.997465403860017,0.9726844911878,0.999310978779743,0.956753212661874,0.811035568721381,0.888620551733717,0.824891101679316,0.722524649520505,0.979652896489271,0.708862429861608,0.761070296142919,0.999995367368561,0.937232931914169,0.918318037229793,0.973311674164623
0.796277992539202,0.862273216255093,0.893354263371002,0.834714158087558,0.842718949976355,0.995680836033943,0.959200959721179,0.998600732055315,0.935218715555742,0.768744363094794,0.863769881593464,0.804223281819941,0.664251240255177,0.967545563164378,0.65817318900799,0.699717544574385,0.999988834064702,0.921959570606561,0.891437623304286,0.963304392551574
0.77142409064863,0.83823627003829,0.87960851115136,0.814105527756046,0.817426118661679,0.993474738715758,0.944559930814059,0.997577069068058,0.912029133154164,0.731655718834988,0.841407766873082,0.786957452346736,0.615195875405705,0.953607958241912,0.61612080068655,0.646451924150553,0.999977907389905,0.907844339298726,0.865506392828035,0.95314466783373
0.749586379523043,0.816172353869066,0.867266299952916,0.795837391203314,0.794500002849773,0.990866048159034,0.92905760493861,0.996207478093146,0.887767763811513,0.698697220085084,0.820997905191995,0.772044956873772,0.573243801885426,0.938158338375106,0.580388996398957,0.599975686823118,0.999961418341372,0.894650525372823,0.840596161637976,0.942910067409484
0.730070595691539,0.795754561253667,0.856009911027598,0.779376331006701,0.773503591013918,0.987871631419706,0.91292173292201,0.994464040913706,0.862879290598346,0.66911512658561,0.802184779796017,0.758874011818579,0.536905748323253,0.921470498377392,0.549489587829925,0.559186087361592,0.999938184394902,0.882222034953408,0.816724379382602,0.932653216401721
0.712410654537934,0.776743148718719,0.845627347972985,0.764364901442606,0.754124207016746,0.984507151981241,0.896334048720625,0.992322703828483,0.837709177171561,0.642351141585941,0.784714760481314,0.747052433897788,0.50509384876244,0.903785072831974,0.522402188396377,0.523173549873547,0.999907011881957,0.870447705707599,0.793879460480696,0.922411870397775
0.696275219802754,0.758954038583932,0.835968395030127,0.750549146533242,0.736127005899243,0.980787541725115,0.87944267551574,0.989762857507365,0.812527281649052,0.617976638881897,0.768397601743961,0.736311848839178,0.476991046632638,0.885315335168762,0.498394263087681,0.491194513597148,0.99986669775986,0.859244076869452,0.772033712517857,0.912214101995616
0.68141861064592,0.742241149540869,0.826921801645065,0.737740705647261,0.719329270865505,0.976727275123805,0.862369815320592,0.986767082883813,0.787543880460814,0.595653753964721,0.753085309689242,0.726459553594865,0.451969824092444,0.866250609211056,0.476921416684532,0.462641457673839,0.999816031017348,0.848546023642171,0.751150555246954,0.902081280041177
0.667652663030286,0.726485633442415,0.818402330515179,0.725795178907487,0.703584982908931,0.972340533567272,0.845216939312078,0.983320991173926,0.762921464455014,0.575110673390813,0.738659530257853,0.717351963418872,0.429539203927202,0.846758586537561,0.457567920402673,0.437016390906439,0.999753793848245,0.838301216750048,0.731188785481542,0.892029920392879
0.654829511722886,0.711588902354419,0.810342894034627,0.714598929766243,0.688774966017398,0.967641304138762,0.828068527394789,0.979413117817365,0.738783877742571,0.556125104393,0.725023535096609,0.708878901119493,0.409308922518383,0.82698713419266,0.440009218383286,0.4139090457895,0.999678762672464,0.828466628974336,0.712105185630673,0.882072905534743
0.642830502083687,0.697467889915932,0.802689522387822,0.704060606349171,0.674800283029668,0.962643437193963,0.810994900506882,0.975034846044828,0.715223617536034,0.538512768773154,0.712096873637262,0.700953776956184,0.390964497441686,0.807065865943405,0.423987241656373,0.39297945247934,0.999589709054601,0.819006219627926,0.693856148905164,0.872220326108771
0.631558749555145,0.684051705884339,0.795398004385605,0.694105462441326,0.661577636238324,0.957360677061779,0.794054448536457,0.970180344519447,0.692307767229784,0.522119138516918,0.6998116616322,0.693507173077101,0.374249451959626,0.787107602602586,0.409293573717091,0.37394416894993,0.999485400553619,0.809889336842891,0.676398696150003,0.862480083317071
0.620933974968182,0.671279199657114,0.788431565420196,0.684671420855304,0.649036061736224,0.951806674757482,0.777295433123455,0.964846508691239,0.670082863083075,0.506813346412312,0.688109921276717,0.686482496700528,0.35895237773913,0.767209773997506,0.395757631646991,0.356565432443676,0.999364601526832,0.801089578072889,0.659691104910997,0.852858333249356
0.610888816409817,0.659097139399692,0.781759214720082,0.675706264957674,0.63711449047636,0.945994988484448,0.760757477234977,0.95903289881091,0.648578902852522,0.492483603134645,0.676941623177025,0.679832943579296,0.344897348650557,0.747455779000123,0.383238162244843,0.340642601399234,0.999226073904743,0.792583954564733,0.643693286130211,0.843359822820858
