"mutillatus","Xyleborus seriatus","Xyleborus ferrugineus","Xyleborinus saxeseni","Ambrosiodmus tachygraphus","Xylosandrus compactus","Ambrosiodmus rubricollis","Xyleborus affinis","Xyleborus germanus","Xyleborus glabratus","Euwallacea validus"
0.963221649759624,0.906718011242341,0.997655780413245,0.944601334808253,0.990061966939597,0.968936123160826,0.992092099514954,0.999694173158797,0.864669283905224,0.999999815202294,0.992192666034597
0.931001371095938,0.849525467741136,0.994943093359958,0.911775752616449,0.974503267897898,0.946052471972909,0.980656541393707,0.999237019413808,0.818389988959583,0.999998565188854,0.983833980973585
0.901519840067799,0.804248455426414,0.992081608552846,0.885200220961032,0.956184838058373,0.926042232695241,0.967574330087161,0.998697890279136,0.786043396815193,0.999995241526398,0.975345519026564
0.874239388314639,0.7663050483264,0.989125551466335,0.862334569268224,0.936157029607609,0.907913375327626,0.953459867935712,0.998097806874882,0.760665073384329,0.999988859896269,0.966825536953632
0.848832234052067,0.733539139825157,0.986102204505328,0.842059079731513,0.915052103929493,0.891197478729818,0.938663843015359,0.997448160000822,0.739607320683116,0.999978450733336,0.958321560399452
0.8250619947274,0.70469193480949,0.98302832419378,0.823744979284008,0.893304686909782,0.875616505481828,0.923420565251096,0.996756312721102,0.721535423488314,0.999963055278773,0.94986140770906
0.802744431057793,0.678941430457917,0.979915358017097,0.806991395873639,0.87123176969367,0.86098440749644,0.907899192180782,0.996027501814381,0.705669291316199,0.999941723382558,0.941462984870332
0.781729554679475,0.65571203375516,0.976771669160606,0.791521605719513,0.849071337331173,0.847167045091166,0.892227314999746,0.99526568586204,0.69150847351245,0.9999135121267,0.933138456294297
0.761891862085269,0.634580834402928,0.973603656775501,0.777133831398092,0.827004452815639,0.834062646198053,0.876503739339026,0.99447398719779,0.678710485835934,0.999877484906919,0.924896346917402
0.743124342625037,0.615225922771273,0.970416385463627,0.763674922733781,0.805169379099565,0.821591087592914,0.860806210441275,0.993654947202176,0.667029509907661,0.999832710800331,0.916742726025541
0.725334491554286,0.597395513157315,0.967213967913643,0.751025017205973,0.783671332452084,0.809687499086245,0.845196464650479,0.992810685095135,0.656282517446262,0.999778264126117,0.908681928929204
0.708441497234123,0.580888357945019,0.963999811727946,0.739088003822327,0.762589587790403,0.798298197499782,0.829723732761263,0.991943002388693,0.64632920025176,0.999713224144452,0.900717023919978
0.692374168328619,0.565540731613643,0.960776786244613,0.727785288368016,0.74198284982203,0.787377970450797,0.814427281460501,0.991053454681196,0.637059413622537,0.999636674859325,0.892850128769948
0.677069354695129,0.551217452162005,0.957547339612551,0.71705154854057,0.72189341833739,0.776888188095651,0.799338322301236,0.990143402786024,0.628384967876149,0.999547704902554,0.885082633364341
0.662470712783643,0.537805495325557,0.954313583547338,0.70683174598459,0.702350475789494,0.766795446771406,0.784481485117149,0.989214050224928,0.620234064608873,0.999445407483324,0.877415361117988
0.648527720257686,0.525209335350073,0.95107735631212,0.697078963594241,0.683372713694029,0.757070567671329,0.769875979788232,0.988266471406797,0.612547409325755,0.999328880392128,0.869848688976972
0.635194876254729,0.513347470995346,0.94784027057056,0.687752802629144,0.664970448156763,0.74768784025988,0.755536527826529,0.987301633254436,0.605275424201401,0.99919722605089,0.862382638523678
0.622431043288456,0.502149786505537,0.944603750450109,0.678818170286115,0.64714733326465,0.73862443910123,0.741474119410262,0.986320412105676,0.598376204570806,0.999049551603117,0.855016946382489
0.610198899403342,0.491555514070977,0.941369060732818,0.670244346226252,0.629901753634205,0.729859966515925,0.727696635118618,0.985323607131323,0.591813991294886,0.998884969039303,0.847751119458441
0.598464477601179,0.481511638101882,0.938137330186748,0.662004252619723,0.613227958470305,0.721376088449326,0.714209360867998,0.984311951136609,0.585558009079723,0.998702595353817,0.840584478841736
0.587196775341113,0.471971629625497,0.934909570459101,0.654073875436904,0.597116985906808,0.713156240660218,0.701015417265689,0.983286119364027,0.579581569590362,0.998501552730267,0.833516195095286
0.576367420996625,0.462894431124455,0.931686691554593,0.646431799995302,0.581557416344964,0.705185388823886,0.68811611951927,0.982246736746611,0.573861369565067,0.998280968752836,0.826545316890929
0.56595038710135,0.454243633960414,0.928469514649631,0.639058834090127,0.566535985865191,0.697449830571582,0.675511280409391,0.98119438394377,0.568376934811637,0.998039976641512,0.819670794442191
0.555921742388743,0.445986805708959,0.92525878280151,0.631937699150951,0.552038084861427,0.689937030574145,0.663199466177245,0.980129602409027,0.563110174898037,0.997777715509448,0.812891498817385
0.54625943626058,0.438094935481255,0.92205516997544,0.625052774865289,0.538048162375961,0.682635481968691,0.651178213194081,0.979052898679599,0.558045022921895,0.997493330640911,0.806206237956133
0.536943110561282,0.430541973041747,0.918859288713266,0.618389886281522,0.524550052884974,0.675534589009565,0.639444211770643,0.977964748034241,0.55316714143868,0.997185973788446,0.799613770022664
0.52795393449433,0.423304443176702,0.915671696694933,0.611936124995072,0.511527239281972,0.668624566984836,0.627993462296943,0.976865597633617,0.548463680387424,0.996854803488062,0.793112814589041
0.519274459267369,0.41636112094414,0.912492902389477,0.605679697928636,0.498963063369903,0.661896356302144,0.616821407986534,0.975755869233257,0.543923076285637,0.996498985391301,0.786702062036445
0.510888489645736,0.409692756561965,0.909323369951341,0.599609798638468,0.486840893185122,0.655341548297194,0.605923047771042,0.974635961540804,0.539534884474837,0.996117692613172,0.780380181483052
0.502780970067919,0.403281841057642,0.906163523486485,0.593716497150423,0.475144254848288,0.64895232081296,0.595293032305103,0.973506252275114,0.53528963805586,0.995710106094977,0.77414582748592
