"Sampsonius dampfi","Xylosandrus compactus","Xyleborus posticus","Xyleborus glabratus","Xyleborus seriatus","Xyleborus xylographus","Coptoborus pseudotenuis","Xyleborus ferrugineus","Ambrosiodmus obliquus","mutillatus","Xyleborus germanus"
0.999998883841431,0.964250709123152,0.948109877114962,0.999999970581241,0.917297158420676,0.999992397815834,0.999996646187388,0.99965474609984,0.937890712577908,0.965850157804349,0.898654734676839
0.999991944744917,0.941091946390745,0.90921963784153,0.999999729803548,0.867883834554217,0.999952797697192,0.999981346879938,0.999119066238737,0.887208198242466,0.937257734308882,0.862676440441648
0.999974403652735,0.921628676672112,0.875715207012087,0.99999901137719,0.828633330758943,0.999862651518016,0.999949106437758,0.998476769541025,0.843039863379653,0.911373766976191,0.837001266741103
0.999941868174352,0.90441783041456,0.84591903889542,0.999997518386836,0.795528013639697,0.999706979227009,0.999896262956048,0.997754117748309,0.80381864121394,0.887513971953488,0.816533202258151
0.999890170108857,0.888814916643616,0.818972695138226,0.999994932805758,0.766731898939781,0.999472649818504,0.999819778048549,0.996965547145314,0.768590959624585,0.865308557951616,0.799324242134953
0.999815300677596,0.874453888552571,0.794336697899349,0.999990920069685,0.741191575355236,0.999147773094283,0.999717003301825,0.996120489156032,0.736687161330151,0.844512927368528,0.784386970269571
0.999713375712979,0.861098837271858,0.771634771494315,0.999985131874282,0.718226534504109,0.998721394994119,0.999585565979778,0.99522571074757,0.707604036877464,0.824948132142899,0.771141172004109
0.999580614464433,0.848585186357969,0.750587341978629,0.999977208092878,0.697363391615059,0.998183321846221,0.999423302948451,0.994286366418781,0.680948090793069,0.806475203190757,0.75921268460857
0.999413325822099,0.836791681362065,0.730977689924158,0.999966778187145,0.678255638813431,0.997524011030834,0.999228218531096,0.993306549764958,0.656403313115808,0.788981930955548,0.748344163703332
0.999207899064342,0.825625345542986,0.712632635050185,0.999953462296898,0.660639992819333,0.996734500097281,0.998998455805693,0.992289613717698,0.6337109490907,0.77237521390577,0.738350006816065
0.998960797591492,0.815012677164263,0.695410586616064,0.999936872113339,0.644310599211702,0.995806359967962,0.99873227612092,0.991238370608056,0.612655924713725,0.756576245932055,0.729091376473482
0.998668554751182,0.804894155804218,0.679193693344545,0.999916611599187,0.629102812994437,0.994731664090166,0.998428043958055,0.990155224275656,0.593057297622082,0.741517295574087,0.720461362634352
0.998327771197728,0.795220636442721,0.663882442130515,0.999892277596646,0.614882495462281,0.993502968569371,0.998084215439307,0.989042261186648,0.57476129965857,0.727139444850145,0.712375674902118
0.997935113418666,0.785950884603469,0.649391802691302,0.999863460350926,0.601538672200938,0.992113300067828,0.997699329418354,0.987901315527865,0.557636128394912,0.71339094051773,0.704766541705067
0.997487313175754,0.777049834268414,0.635648392530447,0.9998297439688,0.588978334055698,0.990556149279272,0.997272000455643,0.986734017078739,0.541567962716062,0.700225954609191,0.697578564282731
0.996981167679569,0.768487321707554,0.62258834028649,0.999790706826332,0.577122656483655,0.988825468424471,0.996800913204044,0.985541827286217,0.526457860303621,0.68760362902681,0.690765812367554
0.996413540363553,0.76023714307548,0.61015564185128,0.999745921936298,0.565904187662495,0.986915671620382,0.996284817871806,0.984326067020561,0.512219305685102,0.675487323614433,0.684289736465678
0.995781362154911,0.75227633849324,0.598300873218526,0.999694957283289,0.55526471620752,0.984821637248253,0.99572252652278,0.98308793831684,0.498776247711591,0.66384401391995,0.678117633351987
0.995081633161432,0.744584638426818,0.586980167312889,0.999637376132725,0.54515362678402,0.982538711634227,0.995112910036768,0.981828541673755,0.486061511405091,0.652643801612361,0.672221496093537
0.994311424708657,0.737144028837146,0.576154389907878,0.999572737318669,0.535526613100215,0.980062713490224,0.99445489559668,0.980548890008341,0.474015500282065,0.641859511355308,0.666577137416171
0.993467881672808,0.729938404874158,0.565788468199481,0.99950059551437,0.526344657352053,0.977389938661642,0.993747464600314,0.979249920051305,0.462585126878542,0.631466355166613,0.661163511260467
0.992548225062898,0.722953291674308,0.555850838149329,0.999420501488708,0.517573211466707,0.974517164803415,0.992989650917195,0.977932501754447,0.451722924527245,0.621441650242305,0.655962180584601
0.991549754811343,0.716175616765148,0.546312985433616,0.999332002351159,0.509181533334718,0.971441655664915,0.992180539427601,0.976597446133497,0.441386304506639,0.611764579692372,0.650956894795693
0.99046985273682,0.709593522686612,0.537149061019818,0.999234641787443,0.501142143586184,0.968161164712028,0.991319264793484,0.975245511864777,0.431536930809575,0.602415988117657,0.64613325053148
0.989305985646421,0.70319621132878,0.528335556859027,0.999127960287651,0.49343037719334,0.96467393785495,0.990405010420551,0.973877410878609,0.422140190834063,0.593378205766829,0.641478416630099
0.988055708546695,0.696973813554928,0.519851030457607,0.999011495368392,0.486024010442819,0.960978715085135,0.989437007578135,0.972493813137016,0.413164744867847,0.584634896353545,0.636980909110307
0.986716667935107,0.69091727918292,0.511675869529781,0.998884781790245,0.478902948380086,0.95707473085591,0.988414534649318,0.971095350742304,0.40458214072646,0.576170924623101,0.632630405532766
0.985286605144961,0.685018283506985,0.503792089771006,0.998747351771617,0.472048961193773,0.952961713069793,0.987336916488286,0.969682621492206,0.396366482595056,0.567972240527556,0.628417590676305
0.98376335971807,0.679269147370143,0.496183160194543,0.998598735199979,0.465445460522579,0.948639880562025,0.986203523865571,0.968256191973809,0.388494145219558,0.560025777462611,0.6243340273398
0.982144872780423,0.673662768423403,0.488833851555505,0.998438459841263,0.459077308568417,0.944109938994947,0.985013772984793,0.966816600270443,0.38094352623853,0.552319362483642,0.620372047471564
