"Ambrosiodmus obliquus","Xyleborus glabratus","Xyleborus xylographus","Xyleborus germanus"
0.99013795740851,0.99999917608283,0.999904348605717,0.999988582019607
0.979471685501083,0.999995329236762,0.999605761647629,0.999964467395436
0.968629966425584,0.999987112845893,0.999097586953426,0.999930971693875
0.957761449919508,0.999973522050279,0.998376614014178,0.99988942863414
0.946937837445949,0.999953713910382,0.997441037560929,0.999840651652876
0.936200648672532,0.999926947200769,0.996289943916288,0.999785210954877
0.925576123128424,0.999892552592708,0.994923090180982,0.999723537949649
0.91508161577982,0.999849915225407,0.993340786583458,0.999655975409333
0.904728843366569,0.999798463463231,0.991543824707992,0.999582805170612
0.894525724185249,0.999737661145694,0.989533429046839,0.999504264925773
0.884477505771043,0.999667001982721,0.987311221467469,0.99942055910543
0.874587497826364,0.999586005351474,0.984879193245691,0.999331866299253
0.864857570671938,0.999494213053386,0.982239681695364,0.999238344522025
0.855288506629833,0.999391186754271,0.97939534965055,0.99914013507312
0.845880255011766,0.999276505925553,0.976349166732735,0.999037365441411
0.836632121590979,0.999149766162593,0.97310439173144,0.998930151541153
0.827542912171334,0.999010577792995,0.969664555668872,0.998818599466059
0.818611043157389,0.998858564712022,0.966033445273642,0.9987028068882
0.809834627874101,0.998693363398738,0.962215086690048,0.998582864189778
0.801211544724316,0.998514622078012,0.95821372931798,0.998458855390395
0.792739491518216,0.998322000001634,0.954033829725755,0.998330858915329
0.784416029122631,0.998115166827813,0.949680035611248,0.998198948238461
0.776238616757408,0.997893802082682,0.945157169810003,0.998063192425152
0.768204640686546,0.997657594690764,0.940470214365534,0.997923656594378
0.760311437635313,0.99740624256388,0.935624294688467,0.997780402315033
0.752556313960068,0.997139452239908,0.930624663839109,0.997633487948065
0.744936561371835,0.996856938564365,0.925476686973098,0.997482968943669
0.737449469844905,0.996558424408937,0.920185825992795,0.997328898100909
0.730092338212673,0.996243640422096,0.914757624448416,0.997171325795691
0.722862482853528,0.995912324807661,0.909197692733017,0.997010300181929
0.715757244792383,0.995564223127838,0.903511693614433,0.996845867369828
0.708773995482822,0.995199088127751,0.897705328145572,0.996678071584574
0.701910141486881,0.994816679578914,0.891784321992085,0.996506955308104
0.695163128231172,0.994416764139439,0.88575441221354,0.99633255940625
0.688530442987337,0.993999115229076,0.879621334531044,0.996154923243122
0.682009617199897,0.993563512917416,0.873390811110734,0.995974084784369
0.675598228264307,0.9931097438238,0.867068538888883,0.995790080690663
0.669293900841442,0.992637601027645,0.860660178460597,0.995602946402571
0.663094307781044,0.992146883988075,0.854171343550253,0.995412716217822
0.656997170715383,0.991637398471829,0.847607591077994,0.995219423361826
0.65100026037497,0.991108956488571,0.84097441183288,0.995023100052185
0.645101396670315,0.990561376232793,0.834277221759607,0.994823777557837
0.639298448577156,0.989994482031601,0.827521353862227,0.994621486253419
0.633589333857042,0.989408104297747,0.820712050724914,0.994416255669302
0.627972018640505,0.988802079487313,0.813854457646686,0.994208114537768
0.622444516896067,0.988176250061537,0.806953616384029,0.993997090835678
0.617004889805026,0.987530464452294,0.800014459492612,0.993783211823985
0.611651245059057,0.98686457703081,0.793041805256811,0.993566504084379
0.606381736095262,0.986178448079209,0.786040353193453,0.993346993553332
0.601194561281192,0.985471943764532,0.779014680114188,0.993124705553766
0.596087963060609,0.9847449361149,0.77196923672907,0.992899664824572
0.591060227069179,0.983997302997521,0.764908344772411,0.992671895548143
0.586109681228008,0.983228928098258,0.757836194630617,0.992441421376109
0.58123469482177,0.982439700902504,0.750756843450605,0.992208265453413
0.576433677567204,0.981629516677129,0.743674213706542,0.991972450440857
0.571705078676912,0.980798276453278,0.736592092201935,0.991733998536265
