"Pest","FocalHost","intercept","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","slope","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %"
"Nematode534","avena",28.6963843694501,13.3077336125865,2.15636901104699,0.0310548624470003,2.61370577292736,54.7790629659728,-14.9230383906981,6.61602541392446,-2.25558964137143,0.0240963425460013,-27.8902099227918,-1.95586685860448
"Nematode534","hordeum",23.8068143124562,11.4165054741492,2.08529784936053,0.037042272529815,1.43087475381927,46.182753871093,-12.998430915766,5.84991175627718,-2.22198752003707,0.0262841490162913,-24.4640472708068,-1.53281456072532
"Nematode534","secale",23.8068143124561,11.4165054741492,2.08529784936053,0.0370422725298151,1.43087475381926,46.182753871093,-12.998430915766,5.84991175627716,-2.22198752003707,0.0262841490162913,-24.4640472708067,-1.53281456072532
"Nematode534","triticum",20.7542979148991,8.18594836192567,2.53535656435742,0.0112332921130241,4.71013394622019,36.7984618835781,-11.3736481772162,4.16959782009396,-2.7277566489518,0.00637666311135859,-19.5459097346171,-3.20138661981536
"Nematode535","arachis",-0.0559243119755613,1.82321091113353,-0.0306735285720684,0.975529902365007,-3.62935203401774,3.51750341006662,-1.4009719529448,0.820587864691518,-1.70727841980879,0.0877703152197332,-3.0092946138908,0.207350708001202
"Nematode535","oryza",20.4643923367233,8.00214937075648,2.55736195221619,0.0105469411135204,4.78046777113077,36.1483169023159,-10.1962528614827,3.57266186233421,-2.85396526578112,0.00431772518037892,-17.1985414405976,-3.19396428236789
"Nematode535","pennisetum",16.7841594211359,6.28024694538871,2.67253175983148,0.00752812479551534,4.47510159415638,29.0932172481155,-8.67493524478508,2.83772274471782,-3.05700592523803,0.00223559856747724,-14.2367696225421,-3.11310086702801
"Nematode535","saccharum",21.0804580143067,7.22820548090546,2.91641653934636,0.00354077439789819,6.91343559887698,35.2474804297364,-10.6694266886829,3.32469597411422,-3.20914356433012,0.00133130999454812,-17.1857110574921,-4.15314231987372
"Nematode535","sorghum",21.0804580143067,7.22820548090547,2.91641653934636,0.0035407743978982,6.91343559887697,35.2474804297364,-10.6694266886829,3.32469597411422,-3.20914356433012,0.00133130999454813,-17.1857110574921,-4.15314231987372
"Nematode535","zea",21.9737712325163,7.56035089108888,2.90644859597932,0.00365556956228557,7.15575577549678,36.7917866895358,-11.0499986227902,3.48416918284655,-3.17148738849772,0.00151660453133143,-17.8788447372138,-4.22115250836665
"Nematode1581","allium",2.69677479984389,2.73347192756656,0.986574902287238,0.32385107895973,-2.66073173093785,8.05428133062564,-1.92057453791314,1.12458094020073,-1.70781352347154,0.087670948967838,-4.12471267840677,0.283563602580481
"Nematode1581","brassica",-0.443120309603676,1.75230090159655,-0.252879119790409,0.800361625166505,-3.87756696680999,2.99132634760264,-0.641380833564055,0.748742183256596,-0.856611057726731,0.391659872517033,-2.10888854645287,0.826126879324762
"Nematode1581","chrysanthemum",-0.339538466004661,1.65965791477853,-0.204583404195057,0.837897622687105,-3.59240820562742,2.9133312736181,-0.685428499771245,0.70889128788522,-0.966902135045318,0.333592959224388,-2.07482989298049,0.703972893438001
"Nematode1581","colocasia",39.5437388271547,18.5143731618114,2.13584000287513,0.0326924572856612,3.25623423366928,75.83124342064,-16.7978410330815,7.497121242066,-2.24057214638995,0.0250538026181957,-31.4919286552611,-2.10375341090194
"Nematode1581","cyperus",14.7175579549569,5.54419537819808,2.65458861944729,0.00794051794049403,3.85113469043525,25.5839812194786,-6.89886291964062,2.31024818045013,-2.98619991480588,0.00282467917149564,-11.4268661486721,-2.37085969060918
"Nematode1581","digitaria",10.2048370637987,3.70697580139516,2.7528739356642,0.0059074639193189,2.93929800150264,17.4703761260947,-5.09421257239177,1.56802109215101,-3.24881635705776,0.00115886267117294,-8.16747744000692,-2.02094770477663
"Nematode1581","dioscorea",42.8495247406648,13.5573172074537,3.16061976606305,0.00157433866994041,16.2776712870704,69.4213781942592,-18.2307690509358,5.53845294835069,-3.29167173955405,0.000995937863557695,-29.0859373597728,-7.37560074209874
"Nematode1581","ficus",-0.551820636474728,1.86916415868503,-0.295223206538979,0.76782337536845,-4.21531506869051,3.11167379574105,-0.597486826882847,0.802703566214632,-0.744343057675027,0.456668958451368,-2.17075690692539,0.975783253159693
"Nematode1581","fragaria",-0.636919040775002,1.88096970197712,-0.338612068076124,0.734901990142961,-4.32355191266119,3.04971383111118,-0.561305170259911,0.808448259329292,-0.694299435718475,0.487494444800302,-2.14583464190942,1.0232243013896
"Nematode1581","glycine",-2.38248177109511,1.98229311734741,-1.2018816744333,0.229409375448525,-6.26770488789767,1.50274134570745,0.194039367609556,0.856975372719834,0.22642350502293,0.820872048220847,-1.48560149855911,1.87368023377822
"Nematode1581","hibiscus",-0.620502363809897,1.80661456201695,-0.343461398383258,0.731251376155507,-4.16140183930871,2.92039711168892,-0.566676673914907,0.774007571348447,-0.732133243771329,0.464087244829299,-2.08370363751918,0.950350289689365
"Nematode1581","ipomoea",-0.24612786610766,1.87896299212763,-0.130991332526969,0.895782163965914,-3.92882765896143,3.43657192674611,-0.719687857080405,0.796321904220223,-0.903764989090863,0.366120030074693,-2.2804501094524,0.841074395291586
"Nematode1581","lactuca",-0.389658244770065,1.65173075189471,-0.23590905740726,0.813503239801268,-3.62699103064095,2.84767454110082,-0.664241971117833,0.705801223799808,-0.941117624508734,0.34664458461527,-2.04758695000975,0.719103007774085
