"Xylosandrus morigerus","Xylosandrus compactus","Xyleborus seriatus","Xyleborus obesus","Ambrosiodmus obliquus","Ambrosiodmus rubricollis","Xyleborus glabratus","Euwallacea validus","Ambrosiodmus tachygraphus","Xyleborus affinis","mutillatus"
0.997141868980204,0.952937593049011,0.93184170488492,0.922621846087587,0.903796436733957,0.997446472796342,0.999999912606205,0.994698896914195,0.998016776230777,0.984883208305639,0.967188691433016
0.993946010162719,0.922286889321244,0.884032986575471,0.853319844264618,0.832493707527718,0.992802172199986,0.999999259194686,0.98847642391882,0.99378043972161,0.975601136821979,0.937196869159437
0.990622721305173,0.896721907354549,0.844156778834738,0.792669219482148,0.773983020850798,0.986846456799986,0.999997413697099,0.981905502956587,0.987904242007954,0.967796254686078,0.909264370680605
0.987222448887277,0.874307074659719,0.809543563811124,0.739475667594514,0.724455607010766,0.979881293988428,0.99999372049434,0.975132566594292,0.980670190643695,0.960846230227363,0.883103811919424
0.98377029352319,0.854159220967457,0.778853147532507,0.692582002887485,0.68172042766978,0.972095434837421,0.999987504775385,0.968232344225102,0.972273875240327,0.954485978338556,0.858514917074698
0.980281536401868,0.835768957897126,0.751260487566306,0.651004061366951,0.644329797634552,0.963626124293923,0.999978077263619,0.961251045270814,0.962870304188999,0.948570257740141,0.835339691728936
0.976766533846928,0.818804158493122,0.72620199721055,0.613929244616665,0.611257752685551,0.954581285402325,0.999964737028992,0.954220263138402,0.952590683295208,0.943008185822334,0.81344682208365
0.973232793440944,0.803031052576079,0.703267361299572,0.580690887281602,0.581744467058995,0.945049819342094,0.999946773386035,0.947162974561161,0.941550148479026,0.937737927574486,0.792724112729029
0.969686015214398,0.788276231878332,0.682144657854672,0.550741245451299,0.555209433226451,0.935107153047434,0.999923467281033,0.940096594845227,0.929851829308144,0.932714898655594,0.773074067692033
0.966130674793056,0.77440604442235,0.662589208517402,0.523628225083774,0.531198535091867,0.924818544543091,0.999894092365242,0.93303471389299,0.917589186169075,0.927905550515885,0.754410985527697
0.962570376910709,0.761314431918793,0.644404442720018,0.498976506118118,0.509349771132043,0.914241206449628,0.999857915862482,0.925988163277931,0.904847456113758,0.923283797232958,0.736658894999674
0.959008082926067,0.748915278800079,0.627429431351739,0.476472556132387,0.489370048956076,0.903425754498051,0.999814199295954,0.918965712296972,0.891704609946985,0.918828821327655,0.719750007824802
0.955446264287943,0.737137354047722,0.611530389056097,0.455852809476108,0.471018928510582,0.892417246026105,0.999762199115564,0.911974543669885,0.878232030690855,0.914523655080764,0.703623514569329
0.951887010048035,0.725920830943802,0.596594669463704,0.436894342173392,0.454096916833215,0.881255956767722,0.999701167253367,0.905020591089945,0.864495029335063,0.91035422435383,0.688224621661158
0.948332104572323,0.715214812696867,0.582526395920602,0.419407491139769,0.43843684738,0.869977983526333,0.999630351626313,0.898108786266366,0.850553264178154,0.906308681694392,0.673503765343207
0.944783085205385,0.704975524339507,0.569243204080621,0.403229983494333,0.423897408843332,0.858615726751155,0.999548996600068,0.891243244463427,0.836461102475667,0.902376927657834,0.659415959888395
0.941241286026619,0.695164960412342,0.556673763168182,0.388222240365516,0.410358207248892,0.847198287543836,0.999456343424047,0.884427406936431,0.822267947125025,0.898550258725027,0.645920250383582
0.937707871699271,0.685749853138151,0.544755856453873,0.3742635975802,0.397715943810095,0.835751801841238,0.999351630645302,0.877664152351171,0.808018541585119,0.894821102821726,0.632979248655692
0.934183864099032,0.676700871364375,0.533434872089974,0.361249245679404,0.385881418877741,0.824299727156285,0.999234094507122,0.870955885367891,0.793753260447432,0.891182816963988,0.620558736410428
0.930670163574073,0.66799198914459,0.522662600757149,0.349087737420927,0.374777156882911,0.812863092524667,0.999102969336916,0.864304608073237,0.779508389551166,0.887629529918468,0.608627323447894
0.927167566142353,0.659599981313179,0.512396266487027,0.337698945603182,0.36433550442955,0.801460719188201,0.998957487926996,0.857711978300016,0.765316397404554,0.884156018102408,0.597156151521392
0.923676777565812,0.6515040156744,0.502597737276492,0.327012380353606,0.35449709327045,0.79010941745091,0.998796881911127,0.851179357764984,0.75120619842098,0.880757606444436,0.586118636381755
0.920198424989796,0.643685319760098,0.49323287612445,0.31696579504269,0.3452095877572,0.778824163710873,0.99862038213919,0.844707852188853,0.737203407781493,0.877430088273305,0.575490242027874
0.916733066660195,0.636126905889467,0.484271003012109,0.30750402527813,0.33642665628153,0.767618260675108,0.998427219051818,0.838298345023014,0.723330587391477,0.874169659909464,0.565248282311559
0.913281200105424,0.628813342347667,0.475684445450228,0.298578017174929,0.328107120687971,0.756503483062871,0.998216623056559,0.831951526020414,0.709607482276908,0.870972866757432,0.555371745919051
0.909843269079598,0.621730561434136,0.467448160397598,0.290144010159395,0.32021424827304,0.745490210601373,0.997987824906807,0.825667915605749,0.696051246778424,0.867836558494985,0.545841141439041
0.906419669496463,0.61486569727193,0.459539414188108,0.282162846597778,0.31271515890094,0.734587549755231,0.997740056084528,0.819447885791254,0.682676659992248,0.864757851531167,0.536638359774519
0.903010754533928,0.60820694785288,0.451937509976288,0.27459938602861,0.305580325720586,0.723803445365122,0.997472549187606,0.813291678227667,0.669496330038332,0.861734097326867,0.527746551596358
0.899616839051473,0.601743456979646,0.444623554389321,0.267422006084547,0.298783152494279,0.713144783173676,0.997184538322491,0.807199419860877,0.656520886883201,0.858762855484478,0.519150017894535
0.896238203434087,0.595465212664865,0.437580256742879,0.260602175587528,0.292299614019619,0.702617484067816,0.996875259502657,0.801171136573307,0.643759163592431,0.855841870747944,0.510834111976183
