"Xyleborus glabratus","Ambrosiodmus tachygraphus","Ambrosiodmus obliquus","Euwallacea validus","Xyleborus germanus","Coptoborus pseudotenuis","Xyleborus posticus","Xyleborinus saxeseni","Xyleborus ferrugineus","Xylosandrus crassiusculus","Euwallacea fornicatus"
0.99999999394054,0.984983274809885,0.876077010932736,0.989604343400245,0.924209193247165,0.99970562020961,0.87648616103976,0.917080477047842,0.976589240684047,0.981467251638795,0.979023018105255
0.999999930014975,0.962661218523518,0.791274775204939,0.978792343643047,0.886842271356212,0.998955457635803,0.803545138925869,0.872842262155928,0.960573490209785,0.970268183573489,0.96185619678074
0.999999707201166,0.937229108878152,0.724740075583763,0.967968131318772,0.858183748290096,0.997810431070162,0.747685406631,0.838525865557143,0.946773923213934,0.960914825206826,0.946210281226859
0.999999191693591,0.910183540796641,0.670281726999854,0.957221425673284,0.834354373799075,0.996300743328618,0.702166015516382,0.809895040581001,0.934337743874838,0.952628321049862,0.931621863126938
0.999998223164873,0.882390455874751,0.624535571555937,0.94659335072143,0.813738960360391,0.994447645898048,0.663797140295618,0.785122086064357,0.922883642889458,0.945077161685601,0.917864992939792
0.999996618267708,0.854413554575186,0.585387621401254,0.936106282398579,0.795468466295931,0.992268144873349,0.630727387186303,0.763199648117628,0.912194856139428,0.938079768575647,0.904801785041833
0.999994172987502,0.826636892356962,0.551403379378533,0.925773253514918,0.779007941821968,0.989776860036322,0.601760917134392,0.743496450360842,0.902131513628686,0.931522538500608,0.892337563882117
0.999990664371915,0.799325973332171,0.521559740501698,0.915601954592997,0.763999015272033,0.986986938171336,0.576071406998582,0.725583699524119,0.892595876489609,0.925328183688313,0.880402378228467
0.999985851875647,0.772663539826123,0.495100357843784,0.905596748126455,0.750187135210067,0.983910560028614,0.553060341889712,0.709153468940219,0.883515783142433,0.919440980706611,0.868941901797748
0.999979478447491,0.746772717096024,0.471450457951701,0.895759800880671,0.737383540326011,0.980559244136129,0.532278751695662,0.693975399107731,0.874835762779091,0.913819000846789,0.857912398821835
0.999971271434814,0.721732940805431,0.45016348132495,0.886091772111696,0.725443551731559,0.976944038148551,0.513380533722288,0.679871664237136,0.866511838765317,0.908429643635677,0.847277695494784
0.999960943353272,0.697591360593542,0.430886076716943,0.87659225688955,0.714253333354954,0.973075643190597,0.49609296422672,0.666701533082098,0.858508287427589,0.903246894273472,0.837007239221135
0.99994819255391,0.674371214730879,0.413334286640039,0.867260084707373,0.703721387614225,0.968964496018794,0.480197213575288,0.654351353917331,0.850795511785132,0.898249550440845,0.827074791762737
0.999932703810239,0.65207808134436,0.397276860743314,0.858093527799685,0.693772860095681,0.964620823488723,0.46551499800946,0.642727788893307,0.84334858881375,0.893420027185296,0.817457513372153
0.999914148841697,0.630704592761809,0.382523272093294,0.849090450601615,0.684345592191036,0.960054678245073,0.451899159242414,0.631753088351044,0.836146243088731,0.888743523363626,0.808135299469454
