"Ambrosiodmus rubricollis","Xyleborus posticus","Ambrosiodmus tachygraphus","Euwallacea validus"
0.989731340453014,0.99999484034794,0.973479473503578,0.996482092249444
0.979495840213825,0.999977733759372,0.948821066000642,0.993712146841718
0.969403915956051,0.999947627314043,0.925554419152643,0.991176558408255
0.959475629353622,0.999903916514449,0.903508163460593,0.988785734637168
0.949717783811548,0.999846163666068,0.882563063070688,0.986499473203801
0.940132244952027,0.999774023460777,0.862624215990291,0.984294958173403
0.930718522166643,0.999687210353083,0.843611719516572,0.982157521052938
0.921474851405305,0.999585481106038,0.825456308516326,0.980076957604446
0.912398732197424,0.999468624294332,0.808096887375682,0.978045769670902
0.903487224422015,0.999336453476188,0.791478947046352,0.976058220591827
0.894737125102882,0.999188802492565,0.775553458549205,0.9741097829972
0.886145079602712,0.999025522088412,0.760276051204067,0.972196794752314
0.877707654403875,0.998846477400371,0.745606375169474,0.970316233621085
0.869421386161207,0.998651546036764,0.731507590944306,0.968465563623791
0.861282815459436,0.998440616576542,0.717945950697369,0.966642626745794
0.853288510364307,0.998213587373128,0.70489044861737,0.964845564456732
0.845435082967836,0.997970365585543,0.692312524747186,0.963072759469794
0.837719201011251,0.997710866382427,0.680185811285283,0.961322791628847
0.830137595982588,0.997435012279957,0.668485913274579,0.959594403896014
0.822687068649519,0.997142732585045,0.657190217583935,0.957886475713164
0.815364492702461,0.996833962922471,0.646277725474953,0.956198001847033
0.808166816991408,0.996508644829706,0.635728905045359,0.954528075379749
0.801091066708442,0.996166725406943,0.625525560577696,0.952875873879394
0.794134343775862,0.995808157012558,0.615650716378692,0.95124064804251
0.787293826634309,0.995432896996301,0.606088513123166,0.94962171228121
0.7805667695778,0.995040907464044,0.596824115051647,0.948018436856782
0.773950501747811,0.994632155069122,0.587843626637223,0.946430241255429
0.767442425872597,0.994206610826216,0.57913401755135,0.944856588570824
0.761040016818547,0.993764249944463,0.570683054932638,0.943296980709596
0.754740820005526,0.993305051677047,0.562479242105749,0.941750954274671
0.748542449726858,0.992828999184982,0.55451176301623,0.940218077010986
0.742442587405834,0.992336079413171,0.546770431746097,0.938697944720885
0.736438979813793,0.991826282977128,0.539245646558336,0.937190178574215
0.730529437269483,0.991299604058998,0.531928347988928,0.935694422752039
0.724711831835194,0.990756040311692,0.524809980564945,0.934210342373886
0.718984095521797,0.99019559277016,0.517882457778542,0.932737621667161
0.713344218512158,0.98961826576892,0.511138129990674,0.931275962344417
0.707790247410292,0.989024066865121,0.504569754976338,0.92982508215981
0.702320283521883,0.988413006766475,0.498170470856013,0.928384713620702
0.696932481170426,0.98778509926352,0.491933771186544,0.926954602834116
0.691625046052179,0.987140361165701,0.485853482009588,0.925534508470869
0.686396233632163,0.986478812240864,0.479923740677525,0.924124200832745
0.681244347582783,0.985800475157763,0.474138976295833,0.922723461010218
0.676167738266015,0.985105375431272,0.468493891637681,0.921332080119994
