"Xyleborinus saxeseni","Euwallacea fornicatus","Xyleborus posticus","Xyleborus affinis"
0.982753578429959,0.99489417959839,0.876343858380777,0.988889731319074
0.969308837940281,0.989726279200114,0.812359287799093,0.98293187475947
0.957196783562704,0.984568341632665,0.764429694273436,0.978089659926966
0.945959365772837,0.979435761713424,0.725632151186326,0.973863572138171
0.935383031067512,0.974335619541434,0.692943007434864,0.970048835644353
0.925342335049412,0.96927185466926,0.664693379557351,0.966536272475062
0.915754005288336,0.964246862225974,0.639841557776995,0.963259041589997
0.906558346952937,0.959262160128535,0.617684892969795,0.960172496945907
0.897710238988389,0.954318719949819,0.59772321355173,0.957244962058344
0.889174229716964,0.949417150508252,0.579586016520625,0.954452940974093
0.880921630912297,0.944557808253167,0.56299027839276,0.951778400134535
0.872928683147208,0.939740867771957,0.547714427266958,0.949207118345192
0.865175338402173,0.934966369003396,0.53358147904204,0.946727631010344
0.857644419198363,0.930234250073877,0.520447671842649,0.944330525350598
0.850321018278039,0.925544370854506,0.508194553305506,0.94200795319785
0.843192057964962,0.920896530303555,0.496723319695607,0.939753284184505
0.836245959004062,0.916290479514902,0.485950671011027,0.937560852635388
0.829472386564404,0.911725931719489,0.475805714776559,0.935425768830725
0.822862051944298,0.907202570074401,0.466227612501418,0.9333437756082
0.816406555335319,0.902720053813015,0.45716376297928,0.931311137603524
0.810098259414322,0.898278023159477,0.448568380733242,0.929324554443051
0.803930186463836,0.893876103296852,0.4404013700222,0.927381091816763
0.797895933714565,0.889513907600437,0.43262742312582,0.925478126104733
0.791989602987583,0.885191040293297,0.425215291036647,0.923613299419537
0.786205741692683,0.880907098642411,0.41813718824919,0.921784482753693
0.780539292943445,0.876661674785852,0.41136830296843,0.919989745505691
0.774985553063973,0.872454357260909,0.40488639100625,0.91822733007808
0.769540135143167,0.868284732287779,0.398671436712225,0.916495630547108
0.764198937578236,0.864152384851973,0.392705368044475,0.914793174629402
0.758958116766121,0.860056899619828,0.386971815701759,0.913118608340086
0.753814063267979,0.855997861714731,0.381455908369123,0.911470682864431
0.748763380900939,0.851974857376469,0.376144097758691,0.909848243262648
