"Pest","FocalHost","intercept","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","slope","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %"
"Ambrosiodmus obliquus","Bursera",1.91401893122794,2.66874323662889,0.717198606804038,0.473251558810618,-3.31662169654954,7.14465955900542,-2.18857099514753,1.04359299392504,-2.09714995011238,0.0359803034347623,-4.23397567775894,-0.143166312536127
"Ambrosiodmus obliquus","Castanea",2.79301176186403,3.74181045563389,0.746433256034844,0.45540573621786,-4.54080196815381,10.1268254918819,-2.50710002772875,1.43771853761093,-1.74380448060078,0.0811931889292814,-5.32497658135177,0.310776525894272
"Ambrosiodmus obliquus","Cedrela",1.7519380080871,2.48550699119831,0.704861428389087,0.480896476001187,-3.1195661779841,6.6234421941583,-2.12818533753658,0.975560534262246,-2.18150003284624,0.0291464520316077,-4.04024884942923,-0.216121825643926
"Ambrosiodmus obliquus","Lindera",2.35094156927432,3.30579750567622,0.711157161089763,0.476986851641134,-4.12830248203342,8.83018562058206,-2.22949820665443,1.21148802071239,-1.84029736038449,0.0657245927039585,-4.60397109495242,0.144974681643562
"Ambrosiodmus obliquus","Lysiloma",1.17396391513728,2.00999356235281,0.584063519966247,0.559177577118704,-2.76555107623159,5.11347890650615,-1.90911942315861,0.799370476544268,-2.3882786257154,0.0169275029636244,-3.47585676749,-0.342382078827224
"Ambrosiodmus obliquus","Trema",1.9368466523245,2.61278080998355,0.741297029174327,0.458513362611345,-3.18410963474065,7.05780293938965,-2.19188705189806,1.01995865592859,-2.14899598053072,0.0316347185715954,-4.19096928323798,-0.192804820558142
"Ambrosiodmus rubricollis","Carya",10.3137358729031,5.44465728815425,1.89428559541155,0.0581871119450914,-0.357596320042738,20.9850680658489,-5.34389067593407,2.11559861624808,-2.52594732993881,0.011538677888482,-9.49038776952307,-1.19739358234507
"Ambrosiodmus rubricollis","Cupressus",2.43371501514989,3.43307464084378,0.708902447443362,0.478385016217583,-4.29498763714169,9.16241766744147,-2.17246001690943,1.24260499849129,-1.74831102365364,0.0804101854217721,-4.60792106096181,0.263001027142945
"Ambrosiodmus rubricollis","Gardenia",1.069887491833,2.08919659936345,0.512104745029254,0.608577703825067,-3.02486259954291,5.16463758320892,-1.75345763843341,0.803134649979905,-2.18326732444837,0.0290161293733508,-3.3275726271302,-0.179342649736609
"Ambrosiodmus rubricollis","Juglans",10.313735872903,5.44465728815423,1.89428559541154,0.0581871119450924,-0.357596320042774,20.9850680658488,-5.34389067593405,2.11559861624807,-2.52594732993881,0.0115386778884821,-9.49038776952304,-1.19739358234506
"Ambrosiodmus rubricollis","Prunus",6.46573799462325,9.02994409039089,0.716033004180357,0.473970969952787,-11.2326272049532,24.1641031941997,-3.82880711376877,3.44577381464166,-1.11116031397637,0.266499350212533,-10.5823996893376,2.92478546180009
"Ambrosiodmus rubricollis","Terminalia",2.50152563420385,3.62397198118782,0.69027179216323,0.490023283256106,-4.60132892990654,9.60438019831424,-2.30059722888833,1.37209726846157,-1.67670126729996,0.0936009126862271,-4.98985845835879,0.38866400058214
"Ambrosiodmus rubricollis","Ulmus",3.45070991970741,4.46037104054564,0.773637414542374,0.439145240083835,-5.29145667744749,12.1928765168623,-2.69230763719558,1.71231915581981,-1.57231648553659,0.115877171656245,-6.04839151264044,0.663776238249277
"Ambrosiodmus tachygraphus","Carya",4.71948255346847,6.08263876905855,0.775893938906212,0.437811611650402,-7.20227036485333,16.6412354717903,-3.45037494929748,2.35017428712495,-1.46813577537623,0.142067345508176,-8.05663190945448,1.15588201085953
"Ambrosiodmus tachygraphus","Castanea",5.12198484786596,7.06639733332288,0.724836802441367,0.468552155163092,-8.72789942589677,18.9718691216287,-3.60820772139021,2.73246146552543,-1.32049720258228,0.186669069399919,-8.96373378296359,1.74731834018318
"Ambrosiodmus tachygraphus","Liriodendron",2.88124335605261,4.10995445257821,0.701040215724332,0.483277918114681,-5.17411934910072,10.9366060612059,-2.60653753367154,1.50650721363134,-1.73018589628167,0.0835970673624255,-5.55923741483875,0.346162347495678
"Ambrosiodmus tachygraphus","Prunus",6.06172753518145,11.2073246466369,0.540871949935034,0.588595845985995,-15.9042251352749,28.0276802056378,-3.94516135806143,4.28292341749632,-0.921137497332994,0.356978645338844,-12.3395370048974,4.44921428877456
"Coptoborus pseudotenuis","Bursera",3.0001505058326,3.25717455924191,0.921089874449613,0.357003506252195,-3.38379432164166,9.38409533330687,-2.38154802103583,1.26369515378161,-1.88459061025047,0.0594851309996949,-4.85834500988559,0.0952489678139194
"Coptoborus pseudotenuis","Cedrela",3.21718689077891,3.16616347228916,1.01611521923499,0.309574522471248,-2.98837948407412,9.42275326563194,-2.47091162304391,1.2326079500235,-2.00462087154054,0.0450035936113685,-4.88677881214772,-0.0550444339400977
"Coptoborus pseudotenuis","Citrus",3.83198424309675,3.70844244582371,1.03331366175365,0.301457135911132,-3.43642938945736,11.1003978756508,-2.70644354216218,1.44209681928757,-1.87674191216872,0.0605534752651066,-5.53290137018558,0.120014285861226
