"Xyleborinus saxeseni","Xyleborus glabratus","Coptoborus pseudotenuis","Xylosandrus crassiusculus","Xyleborus seriatus","mutillatus","Sampsonius dampfi","Xyleborus ferrugineus","Xylosandrus compactus","Xylosandrus morigerus","Ambrosiodmus rubricollis"
0.945648029199811,0.999999991281431,0.999607600960594,0.972580216753429,0.973075731711141,0.977830142391199,0.994728921785405,0.943442543814704,0.95409249887429,0.976823909864032,0.994064248594603
0.91066986510654,0.999999902918728,0.998643355710501,0.957675294971442,0.94660829471353,0.954277282166181,0.98468949161659,0.914529663000824,0.922179118661535,0.960596215338026,0.984510324965307
0.881754533007603,0.999999602433398,0.997199572105073,0.945636637539596,0.921189345923681,0.930904345235978,0.971642737178076,0.891919060669223,0.89507825260046,0.946517219608264,0.973018118045844
0.856595137130063,0.999998919000943,0.995320754591318,0.935208062343375,0.896879757219895,0.908055103972495,0.956367441070982,0.87282851195976,0.871078372151059,0.933776350257916,0.960194592923035
0.834133128422191,0.999997651536722,0.993037769838775,0.925866675445303,0.873663648060142,0.88587030275303,0.939391636662165,0.856098247427603,0.84936985772309,0.922007877608247,0.946406135046597
0.813756012982349,0.999995573113087,0.990375034443113,0.917330567565882,0.851499871167498,0.864411141472833,0.921119564531598,0.841102889737548,0.829472576445563,0.91100242628085,0.93190960100378
0.795063789087516,0.99999243388303,0.987353319028972,0.909425591509857,0.830338021372371,0.843699723855953,0.901877557634922,0.827456397868094,0.811066251232615,0.90062408456484,0.916898762920595
0.777774765839607,0.999987963205647,0.983991113427986,0.902034543807943,0.810124939492065,0.823736729900788,0.881935742941533,0.814899327538388,0.793921079169064,0.89077737825491,0.901525944225766
0.761680047182819,0.999981871284106,0.980305379213608,0.895073723147497,0.790807708640402,0.804510443522337,0.861520276620786,0.803246756617527,0.77786377235803,0.88139148333453,0.885913864159421
0.746618771241671,0.999973850480056,0.976311998363506,0.88848068691083,0.772335108706607,0.78600183409138,0.840821234786989,0.79236105808735,0.762758864556128,0.872411722149376,0.870162882032232
0.732463457198445,0.999963576400618,0.972026054958304,0.882207264259972,0.754658315970898,0.768187605384961,0.81999826705989,0.782136350176825,0.748497523838571,0.863794575220119,0.854355805513383
0.719110767715714,0.999950708818688,0.967462018157609,0.876215293918822,0.737731207102817,0.751042104963679,0.799184977744951,0.772489005156106,0.734990423713457,0.855504561095046,0.838561287814978
0.70647539103494,0.999934892467159,0.962633863529768,0.870473884748034,0.721510447288027,0.73453855387572,0.778492510533643,0.763351546960627,0.722162972688367,0.847512183984282,0.822836346874944
0.694485825651254,0.999915757735398,0.957555154267388,0.864957579432925,0.70595545854671,0.718649851814319,0.758012585597159,0.754668559930283,0.709951994421309,0.839792527929817,0.807228304978025
0.683081380060644,0.999892921288468,0.952239095476764,0.859645080167528,0.691028322082819,0.703349107664181,0.737820126593666,0.746393849691425,0.698303341965557,0.832324261161576,0.791776326254039
0.672209978640065,0.999865986624385,0.946698569977908,0.854518338271769,0.676693645860885,0.68860998766454,0.717975558497507,0.738488415208969,0.687170136752234,0.825088910951111,0.776512663099718
0.661826519750341,0.999834544581069,0.94094616121061,0.849561887523649,0.662918415875793,0.674406940029201,0.698526827699629,0.730918964201713,0.676511438922351,0.818070322753042,0.761463684214865
0.651891622590445,0.999798173802081,0.934994167071243,0.844762345447696,0.649671842153457,0.660715334685677,0.679511180232501,0.723656803075977,0.666291223668194,0.811254248445314,0.74665073378754
0.642370654240436,0.999756441168403,0.928854607361399,0.840108033257053,0.636925206062436,0.647511544150626,0.66095672554841,0.716676991453779,0.656477579796317,0.804628027211022,0.732090856830483
0.633232962831555,0.999708902202079,0.922539226767513,0.835588681455312,0.624651712784152,0.634772983391238,0.642883808559463,0.70995768771134,0.647042072981365,0.798180334313399,0.717797416225429
0.624451265116996,0.999655101446545,0.91605949476873,0.831195198471462,0.612826351090325,0.622478121110465,0.625306209808373,0.703479635053831,0.637959233273008,0.791900980557945,0.703780620690698
0.616001151559258,0.999594572827597,0.909426603503874,0.826919486471812,0.60142576151155,0.610606471230383,0.608232191724129,0.697225752750346,0.629206137840038,0.785780750224391,0.690047978499294
0.607860682144418,0.999526839998384,0.902651464365433,0.822754293021407,0.590428113313378,0.599138570822266,0.591665407432703,0.691180807254733,0.620762067746179,0.77981126862894,0.676604688650019
0.600010053142049,0.999451416671233,0.895744703895967,0.818693090361809,0.57981299028114,0.588055948963817,0.575605687296425,0.685331144842072,0.612608223004254,0.77398489281253,0.663453978908325
0.592431319986245,0.999367806938786,0.888716659418874,0.814729976227395,0.569561285061921,0.577341089750042,0.560049717136283,0.679664472200209,0.604727484031951,0.76829462049604,0.650597398418952
0.585108165017818,0.999275505586541,0.881577374726929,0.81085959164967,0.559655101664246,0.566977391785276,0.544991620907883,0.674169674824723,0.597104210435123,0.762734013622116,0.638035071276044
0.578025701430405,0.99917399839865,0.874336596068714,0.807077052298612,0.550077665636392,0.556949125833603,0.530423459446743,0.668836665519877,0.589724070101535,0.757297133660967,0.625765916404345
0.571170306689717,0.999062762458604,0.867003768608459,0.803377890713005,0.540813241408629,0.547241391831113,0.516335655779245,0.66365625710044,0.582573893118529,0.751978486490406,0.613787838280748
0.564529480139428,0.998941266446234,0.859588033484223,0.799758007365813,0.531847056277328,0.537840076116283,0.502717356423615,0.658620054715366,0.575641546181265,0.746772975133386,0.602097892356204
0.558091720602382,0.998808970932317,0.852098225549467,0.796213628955552,0.523165230519302,0.528731809479386,0.489556737092105,0.653720364207398,0.568915824037183,0.741675858994098,0.590692428486947
