"Xyleborus seriatus","Xyleborus germanus","Ambrosiodmus rubricollis","Coptoborus pseudotenuis","Xyleborus obesus","mutillatus","Xyleborus glabratus","Euwallacea validus","Ambrosiodmus tachygraphus","Xylosandrus morigerus","Xylosandrus compactus"
0.900668584504126,0.881675308137069,0.995814047036231,0.999954721470234,0.923608059080179,0.958374956572634,0.999999781811596,0.987291718877925,0.994828752370536,0.999891707813025,0.957566108044745
0.844416762208295,0.841559905478564,0.989157743900594,0.9998102567935,0.85820391618223,0.924820379847677,0.999998370584933,0.975798575611926,0.985895629409435,0.99968085242931,0.930890246595916
0.800792772577138,0.813340620482882,0.981160141762191,0.999561366575276,0.801497754123915,0.895017957173562,0.999994717739778,0.964878444960682,0.974786897691737,0.999399516587018,0.908761337819457
0.764633922083788,0.791067138085599,0.972212261066983,0.999205232656204,0.751848031220342,0.867944054078486,0.999987831758333,0.954391404819544,0.962118505862134,0.999059827212666,0.889381963693023
0.733614334103765,0.772484531271402,0.962544828434299,0.998739956910059,0.708008598732374,0.843051635731495,0.99997675493068,0.944266953712,0.948277674973263,0.998668998679715,0.871951884457466
0.706417222519247,0.756457295883117,0.952317657768736,0.998164176577845,0.669012669006921,0.819983648570484,0.999960553758414,0.934460727764992,0.933545005590759,0.99823201170762,0.856017851041109
0.682202541722946,0.742321843996857,0.941650939663526,0.997476898443151,0.634097654967627,0.79848255916852,0.9999383136344,0.924941328120012,0.918138253529689,0.99775259734398,0.841288559094823
0.660392748474533,0.729652282364477,0.93063959024229,0.996677411202397,0.602653575351865,0.778351225599284,0.999909135482911,0.915684847093782,0.902232854995929,0.997233700878453,0.827561358101564
0.64056970567012,0.718156929433174,0.919360946402669,0.9957652332066,0.574186527860335,0.759432701128979,0.999872133470665,0.906672157885404,0.885973235318128,0.99667773432255,0.814687371118247
0.622418944523757,0.70762622724769,0.90787935379801,0.994740078597008,0.548292244708167,0.7415985338442,0.999826433370115,0.897887408058235,0.869479789002578,0.99608672757506,0.802552774785138
0.605696935036932,0.697903972145381,0.896249123801065,0.993601833942917,0.524636594228939,0.724741411779744,0.999771171351321,0.889317109585828,0.852853574501107,0.995462425359021,0.791067853778972
0.590210638649544,0.688870274641056,0.884516557713609,0.992350541290694,0.502940975909028,0.708770250801823,0.999705493071886,0.880949553483322,0.836179689909263,0.994806352701125,0.780160174774118
0.575804101809075,0.680430899132628,0.872721400877867,0.990986385326297,0.482971227518541,0.693606757533395,0.999628552983625,0.872774414082086,0.819529829574403,0.994119861005863,0.76977010942139
0.562349318361024,0.672510294406996,0.860897929105921,0.989509683278837,0.464529093966857,0.679182934367399,0.999539513802574,0.864782470531527,0.802964299186874,0.993404161562388,0.759847776501594
