"Euwallacea fornicatus","Xylosandrus morigerus","Xyleborus seriatus","Ambrosiodmus obliquus","Ambrosiodmus rubricollis","Xyleborus obesus","Coptoborus pseudotenuis","Xyleborus germanus","Xyleborinus saxeseni","Xyleborus xylographus","Xylosandrus crassiusculus","Ambrosiodmus tachygraphus","Xyleborus affinis","Euwallacea validus","mutillatus","Xyleborus ferrugineus","Xylosandrus compactus","Xyleborus posticus","Xyleborus glabratus","Sampsonius dampfi"
0.950264656959546,0.974173972001936,0.921737330080896,0.877672418543659,0.995653940334386,0.914648774342696,0.999450251068661,0.894407290012319,0.941123070658443,0.999945177271855,0.954571489191991,0.991351138040565,0.881079056411948,0.99127430438805,0.967343186099481,0.931548124683403,0.943562738809117,0.846750723051045,0.999999909425116,0.996759341341392
0.916638525056236,0.955300090949329,0.863775322606857,0.787990002344916,0.987884333740849,0.834365208675589,0.99812137635625,0.844984029808516,0.901741937190404,0.999703836318324,0.931691171106156,0.976139521227671,0.842927052695043,0.981166359833656,0.934422989435236,0.896228938207526,0.904609815659445,0.759869337019366,0.999999195609725,0.989761228141197
0.888383679294532,0.938756927391605,0.815297796976682,0.716691905321863,0.978049334407681,0.764103433417176,0.996149659703117,0.808136755324936,0.86899924390504,0.999205848451349,0.913738797910319,0.957250972574318,0.816304651335091,0.970603656771723,0.902791278078075,0.868757985138598,0.871898625615623,0.695491233192858,0.999997114114794,0.980046917334653
0.863542409522129,0.923713151802425,0.773437619055158,0.658166251069724,0.966689426667366,0.703079690693334,0.993600860163004,0.778165435840378,0.840484516412057,0.998401760838323,0.89851223822863,0.935903525647634,0.79537778189255,0.959823827980499,0.872684769151961,0.845704523363334,0.843238301137455,0.644416714362631,0.999992856296953,0.968134013920321
0.841197418998689,0.909783687474428,0.736623527179744,0.609067659719214,0.954149318965928,0.649988705166469,0.990520958368606,0.752707903770634,0.815055694713966,0.997252040369872,0.885103979445468,0.912890796617026,0.777961119867375,0.948947237277507,0.844135059561596,0.825622802851764,0.817572667749965,0.602322276925316,0.999985570345391,0.954401753551892
0.820809070828887,0.896743419246245,0.703834786284135,0.567189175964198,0.940682359527283,0.603586211706681,0.986946666827818,0.730501037126981,0.792036621536784,0.995723748168637,0.873028390352968,0.88879192488751,0.762962518568104,0.938047126801444,0.817101979000297,0.807727850871819,0.794267902763253,0.566734768376135,0.999974371185973,0.939161582571673
0.802019967106798,0.884443585716,0.67434970094265,0.530990337412094,0.926488052875179,0.562804247742145,0.982909485749746,0.710772628873125,0.770977955042929,0.993789019171329,0.861987367252639,0.864049400263825,0.749747297405273,0.927172381232715,0.79151625501307,0.791532819782455,0.772898086378414,0.536083378283424,0.999958346479042,0.922681997492274
0.784575336883327,0.872778040435391,0.64763102326667,0.499353535828492,0.911729593462965,0.52675617280827,0.978437653824522,0.69300907564516,0.751558941220121,0.991424253067978,0.851781417029949,0.839007792952314,0.737909906430411,0.916357434707056,0.767297267669586,0.77670943816365,0.753156322687344,0.509301149377104,0.999936560715133,0.905199496955369
0.768284210231885,0.861666944330315,0.623264513345111,0.471443922570913,0.896543461506735,0.494713730898262,0.973557207845089,0.676848228438644,0.733539166122671,0.988609645789851,0.842268816823322,0.813936943965607,0.727173591004654,0.905627361455063,0.744361428028745,0.763023192878172,0.734810736145202,0.485628102120616,0.999908058231509,0.88692416969409
0.752998119351551,0.851047892704224,0.60092243016643,0.446623151209578,0.881045296451357,0.466079713380215,0.968292602993904,0.662023501218626,0.716731928186663,0.985328901779616,0.833344361089203,0.789047696960696,0.717340111352965,0.895000794549855,0.722626369662697,0.750299283586036,0.717680006563892,0.46450319419376,0.999871865556801,0.868042954315822
0.738598394604107,0.840870661430857,0.580340244677471,0.424393610706308,0.865333815739696,0.440363127317985,0.962667093503651,0.64833204703079,0.70098827535069,0.981569047159544,0.82492727258751,0.764503485531376,0.708262075159505,0.884491735678765,0.702013064694455,0.738403103767473,0.701618601038911,0.445500430013537,0.999826993310462,0.848721833904463
0.724988095861425,0.831093891394696,0.56130099810306,0.404360994371958,0.849493615643374,0.417158474976749,0.956702972976691,0.635615402954367,0.686186824149883,0.977320299481006,0.816953849512522,0.740429321031094,0.699826602747822,0.874110745253357,0.682446841082592,0.727228287849997,0.686507293724117,0.428288889058452,0.999772437794056,0.829107537691001
0.712086630766993,0.821682889083121,0.543624372834712,0.386208406581975,0.833597286554156,0.396129040524902,0.950421728182971,0.623747095594978,0.672226946100334,0.972575967535222,0.80937275259478,0.716918983580466,0.691945136764868,0.863865761609611,0.663857794845082,0.716689004563972,0.672246782310838,0.412606587244615,0.999707182362412,0.809329018031869
0.699826021493247,0.81260810778937,0.527158814606078,0.369677995968632,0.817707081701473,0.376993594824256,0.943844137521031,0.612624367519632,0.659024028523826,0.96733236447095,0.802141854074763,0.694040877818944,0.684546796561289,0.85376268578217,0.646180862956379,0.706714777691092,0.658753222469595,0.398242760807578,0.999630198634038,0.789498826305025
0.688148230406913,0.80384406355649,0.511775708836742,0.354557646255636,0.801876278721257,0.35951586705879,0.936990333191062,0.602162462458773,0.646506072669606,0.961588723262452,0.795226056411628,0.671842845935658,0.677573882840069,0.843805811430578,0.629355706496689,0.697246884511452,0.645955005073068,0.38502549691568,0.999540447582361,0.769714439599648
0.677003192199449,0.795368539693912,0.497364984350559,0.340671152017253,0.786150319281923,0.343496205181857,0.929879839221183,0.592290563153518,0.634611186790323,0.955347107264424,0.788595737626307,0.650356140392059,0.670978742101044,0.833998148680177,0.613326490894252,0.688235778696851,0.633790369223411,0.372812878073157,0.999436880537866,0.750059554297863
