"mutillatus","Xylosandrus crassiusculus","Xyleborus xylographus","Xyleborus glabratus","Coptoborus pseudotenuis","Euwallacea fornicatus","Xyleborus seriatus","Euwallacea validus","Xylosandrus compactus","Xyleborus affinis","Sampsonius dampfi","Xyleborus posticus","Xyleborinus saxeseni","Ambrosiodmus obliquus","Xyleborus ferrugineus","Ambrosiodmus rubricollis","Ambrosiodmus tachygraphus","Xyleborus obesus","Xyleborus germanus","Xylosandrus morigerus"
0.969277785642937,0.953375093270394,0.99994766259279,0.999999913282722,0.999187313618474,0.953938581579922,0.937016500611361,0.992898820063421,0.947809419049317,0.883190410362534,0.997182668026134,0.854255598691272,0.93758885880542,0.881067110458155,0.923438031753352,0.994614468289799,0.991686770865133,0.914742530683891,0.915732622563942,0.969626595814162
0.937784164516806,0.93011566173658,0.999715649955105,0.999999225894417,0.997345402356765,0.921933404441497,0.886559962979723,0.984300790521566,0.910784465718971,0.845332384326497,0.990944249960916,0.769259793312489,0.896829358768223,0.792782422765567,0.88583830301885,0.985389447322816,0.976933825595592,0.83443832909212,0.871969583499351,0.948520988614458
0.907276456580272,0.911917920065735,0.999234976338265,0.999997214390917,0.994702995967759,0.894761667688616,0.842838652805961,0.975135951336651,0.879352473709337,0.818854428051618,0.982164701948975,0.705593377291129,0.86323894148251,0.722167603697196,0.857037659143689,0.973967523360032,0.958525549384753,0.764127921078836,0.838236797064604,0.930359591765016
0.878067437319551,0.896512483063105,0.998456708636805,0.999993089771684,0.991364972436198,0.870704016760063,0.804131710526363,0.965652491201871,0.851605711305579,0.798010713225028,0.971289818211592,0.65473008523673,0.834159040763969,0.663958398333402,0.833110441223634,0.960982525918171,0.937645972497257,0.703049793488133,0.810189772645318,0.914049705638713
0.850237049359591,0.882966114721328,0.997341568767413,0.999986018791519,0.987402689050292,0.848947094732969,0.769426938246763,0.955979169970108,0.826614372348051,0.780644726977015,0.958650507189482,0.612599414510338,0.808341942148778,0.614970908541777,0.812423715356243,0.946831426120194,0.915070936530373,0.64990687392651,0.78597381468907,0.899092314985004
0.823779928973895,0.870780195378476,0.995856703931905,0.999975134027861,0.982871836032502,0.829008550864581,0.738028908664424,0.946196275441759,0.803815183500275,0.765677234063753,0.944522092539755,0.576845600373358,0.785054691504683,0.573083812548107,0.794099539739514,0.931800839094859,0.89136991627236,0.603457827635621,0.764574353248109,0.885198996510439
0.798653282574215,0.859649036887247,0.993974206935435,0.999959539988444,0.977819198586506,0.810566636643822,0.709422901256763,0.936358833504362,0.782826431593996,0.752480376205128,0.929145114258049,0.5459586282966,0.763813497556323,0.53680542466233,0.777597820196847,0.916112354463704,0.86698065643664,0.562635428664771,0.745359299753534,0.872181056128712
0.774797250848442,0.849368293478717,0.991670328365654,0.999938317286453,0.972285874573857,0.793390503695052,0.68321080256042,0.926506759318312,0.763370972938264,0.740652601113827,0.912734336191997,0.518905201834271,0.744275082736947,0.505047224193111,0.762556933915261,0.899943806909776,0.842246187234238,0.526552850922795,0.727901340459541,0.859905084208405
0.752144832625992,0.839792934746936,0.988925020986936,0.999910525717144,0.966309014470782,0.777306085944656,0.659075497331883,0.916670092979624,0.745237958333725,0.729919670380828,0.895483171060947,0.494944782168006,0.726183529178992,0.476992259851512,0.748720143789363,0.883441012728596,0.817436933517984,0.494481292502093,0.711894817348646,0.848271589190111
0.730627088917082,0.830815393321435,0.985721661087914,0.999875206649308,0.959922842271985,0.762177318079678,0.636758943631277,0.90687201123145,0.728261465614519,0.720085013518476,0.877566115609872,0.473527840599449,0.709341054871723,0.452013433056757,0.735897150700716,0.86672502597047,0.792765707786851,0.465822892794325,0.697111827397207,0.837203427356468
