"Xyleborus ferrugineus","Ambrosiodmus tachygraphus","Xyleborus germanus","Ambrosiodmus rubricollis","Euwallacea fornicatus","Euwallacea validus","Xyleborus xylographus","Ambrosiodmus obliquus","Xyleborus glabratus","Xylosandrus compactus","mutillatus"
0.994808676609399,0.996907298919902,0.942803033312527,0.996548368039243,0.993428028377139,0.996679688513937,0.999995067335892,0.914569717572934,0.999999983883227,0.965945987357126,0.968088046782062
0.989974662071651,0.99094962187805,0.914328171054036,0.990763285915923,0.986767421849737,0.992534809801923,0.9999670425759,0.850178394242576,0.99999983874059,0.942379116880565,0.939693507731553
0.985294726405449,0.983114005118712,0.892197585088176,0.983634554862888,0.980128961709258,0.988033923062914,0.999899896274702,0.796521650623438,0.999999379657005,0.922185624115571,0.913441225576579
0.980726557211214,0.973816702236291,0.873578284708624,0.975520337830474,0.973536202480361,0.983302396741616,0.999779831170159,0.750494011688182,0.999998386490653,0.904121773682003,0.888932740200528
0.9762498067398,0.963332140860346,0.857299001643841,0.96663674661644,0.966999794666069,0.978405514747062,0.999594278032269,0.710312900268825,0.999996613287404,0.887616183783161,0.865926047421413
0.97185225428081,0.951868256676308,0.842731853900967,0.957136330933254,0.960525500584313,0.97338440204192,0.999331521887814,0.67479266486747,0.999993793074868,0.872337116765383,0.844246119174711
0.967525630390833,0.939593761821874,0.82949105228594,0.947135840159163,0.954116676412983,0.968267721885542,0.998980510995064,0.643084822874889,0.999989640899004,0.858066783274535,0.823755691111519
0.963263898269211,0.926650827088805,0.817318321178209,0.936729019739259,0.947775313045606,0.963076755906623,0.998530746297901,0.614554214093872,0.999983855959964,0.84465078612677,0.804342143002902
0.959062411868583,0.913161929067202,0.806030177592775,0.925993489864466,0.941502553680082,0.957828001796787,0.997972213641299,0.588710290127565,0.999976123214983,0.831973743480913,0.785910432185321
0.954917453414544,0.89923396211181,0.795490456823885,0.914994849838068,0.935298981689477,0.952534653168399,0.997295341477648,0.565165239001112,0.999966114636543,0.819946051909472,0.768378804467719
0.950825957632532,0.884960926176193,0.785594666732881,0.903789323775774,0.929164794031644,0.94720751061448,0.996490975005654,0.543606779351959,0.999953490233468,0.808496062694022,0.751675962867177
0.946785336796365,0.870425814314936,0.776260462810168,0.892425572260717,0.923099912158573,0.941855576535433,0.99555036150754,0.523779644548931,0.999937898901495,0.797565152864476,0.735739080386044
0.942793364209624,0.85570202246613,0.767421538534185,0.880945995090443,0.917104056335278,0.936486461856856,0.994465143624632,0.505472526149153,0.999918979146978,0.787104461044042,0.720512339409495
0.938848093497519,0.840854458897125,0.759023538082088,0.869387706743827,0.911176797326369,0.931106674706198,0.993227358411892,0.4885086045713,0.999896359713631,0.777072637270637,0.705945819505718
0.934947800862514,0.825940455460694,0.7510212256208,0.857783291892807,0.905317593446213,0.925721831725929,0.991829440663128,0.472738521965335,0.999869660133628,0.767434239773507,0.691994626762095
0.931090942629361,0.811010541641408,0.743376467107613,0.846161407367107,0.899525817788467,0.920336816819294,0.990264229402588,0.458035066363426,0.999838491218693,0.758158560715673,0.678618197031188
0.927276123297652,0.796109118884038,0.736056755392864,0.834547273286379,0.893800778659018,0.914955903071081,0.988524976699556,0.444289084030631,0.999802455502926,0.749218745722705,0.665779728334409
0.923502071013959,0.781275058863358,0.729034109180248,0.822963081767616,0.888141735179434,0.909582848188325,0.986605358136913,0.431406291385031,0.999761147646417,0.740591120256292,0.6534457116743
0.91976761840757,0.766542241014459,0.722284235704017,0.811428342665902,0.882547909379893,0.904220970463235,0.984499484384914,0.419304757407209,0.999714154806744,0.732254665139331,0.641585538444514
0.916071687383936,0.751940039527931,0.71578588350312,0.799960180034839,0.877018495689497,0.898873210121696,0.982201913417087,0.407912893475898,0.999661056983986,0.724190601895543,0.630171168540861
0.912413276891858,0.737493766840548,0.70952033486481,0.788573589170551,0.871552668463454,0.893542179512236,0.979707662968167,0.397167832427286,0.999601427343835,0.716382060437861,0.619176847314361
0.908791452961372,0.723225078667421,0.703471002641647,0.777281661511244,0.866149588006827,0.888230204639421,0.977012222882089,0.387014109772568,0.999534832522527,0.708813809522015,0.608578862339897
0.905205340500683,0.709152344373589,0.697623106256861,0.766095782869067,0.860808405431277,0.882939359889137,0.974111567036307,0.377402582025647,0.999460832916708,0.701472035738814,0.598355333009448
0.901654116473646,0.695290985694164,0.691963408615058,0.755025809202968,0.855528266595076,0.877671497330816,0.971002164560527,0.36828953292018,0.999378982960814,0.694344160536145,0.588486027452516
0.898137004173531,0.681653786309385,0.686480000437827,0.744080223229087,0.850308315315251,0.872428271650187,0.967680990095585,0.359635929841358,0.999288831394163,0.687418687390015,0.578952202403133
0.894653268376765,0.668251174455282,0.681162121943858,0.733266274497704,0.845147695996296,0.867211161524605,0.964145532863372,0.351406801333347,0.999189921519625,0.680685073133863,0.56973646248162
0.89120221120995,0.655091480533399,0.67600001423837,0.722590105068848,0.840045555787199,0.862021488074339,0.960393804342418,0.343570712929346,0.999081791455471,0.674133618835233,0.560822636013993
0.887783168600274,0.642181171530547,0.670984794560512,0.712056862542952,0.835001046354217,0.856860430889417,0.956424344366794,0.336099323381735,0.998963974381796,0.667755376630507,0.552195665023611
0.884395507207067,0.629525063944736,0.666108350855918,0.701670801914058,0.830013325338458,0.851729042030001,0.952236225488881,0.328967007060412,0.998835998782702,0.661542069694518,0.543841507434222
0.881038621753208,0.61712651681939,0.661363252128068,0.691435377487674,0.825081557553332,0.846628258320366,0.947829055469557,0.322150531133387,0.998697388685323,0.655486023103107,0.535747049846944
