"Xyleborus affinis","Coptoborus pseudotenuis","mutillatus","Xyleborus ferrugineus"
0.998887782869736,0.999965996275542,0.981940402304509,0.998264381953468
0.997919716544297,0.999857542069433,0.964799968312746,0.996465216408202
0.997000566667083,0.999670713912855,0.948347699357315,0.994645397543549
0.996112331177509,0.999403381704391,0.932509612282397,0.992814435769262
0.995246755754963,0.999054087972457,0.917236645540759,0.9909769176526
0.994399090436889,0.998621760521897,0.902490375034547,0.989135571616627
0.993566250525412,0.998105588488675,0.888238452935792,0.987292212332295
0.992746073399481,0.997504956837223,0.874452603027469,0.985448134571129
0.991936960061838,0.99681940733602,0.861107559138705,0.983604307981637
0.991137680940075,0.996048613335643,0.848180427042085,0.981761484856326
0.990347261558878,0.995192362454997,0.83565026375131,0.979920264746666
0.98956491087822,0.994250544118577,0.823497780102507,0.978081135628729
0.988789974112501,0.993223140226368,0.811705118905726,0.976244501407676
0.988021900411984,0.992110217928811,0.800255682428993,0.974410701013822
0.987260219989712,0.990911923861328,0.789133993804793,0.97258002208722
0.986504527483435,0.98962847941637,0.778325582797662,0.970752711048382
0.985754469567021,0.988260176767726,0.767816889717043,0.968928980679162
0.985009735538424,0.986807375448932,0.757595183268138,0.967109015941857
0.984270050042468,0.985270499344819,0.74764848939113,0.965292978522607
0.983535167356758,0.983650033993986,0.737965528955871,0.963481010432213
0.98280486684318,0.981946524126845,0.728535662727177,0.961673236898013
0.98207894928275,0.980160571382897,0.719348842394369,0.959869768714042
0.981357233889714,0.978292832164678,0.710395566727107,0.958070704171355
0.980639555854782,0.976344015595929,0.701666842114409,0.956276130658797
0.979925764305487,0.9743148815591,0.693154146888279,0.954486126002094
0.979215720598904,0.972206238793031,0.684849398942696,0.95270075959296
0.978509296881803,0.970018943036041,0.676744926242854,0.950920093348096
0.977806374867932,0.967753895203095,0.668833439885412,0.949144182529153
0.977106844793064,0.965412039588348,0.661108009422743,0.947373076448142
0.976410604516689,0.962994362086536,0.653562040206257,0.945606819077752
0.975717558745543,0.960501888428332,0.646189252538054,0.94384544958219
0.975027618359019,0.957935682426166,0.638983662448396,0.942089002781145
0.974340699820323,0.955296844228078,0.631939563939836,0.940337509557177
0.973656724660173,0.9525865085781,0.625051512558552,0.938590997214936
0.972975619022238,0.949805843082326,0.618314310169971,0.93684948979918
0.972297313261353,0.946956046480482,0.611722990829964,0.935113008377384
0.971621741587087,0.944038346923222,0.605272807654976,0.93338157129174
0.970948841746448,0.941054000255808,0.598959220604926,0.931655194384631
0.970278554740493,0.938004288309114,0.592777885101794,0.929933891200987
0.969610824570455,0.934890517199168,0.586724641414673,0.928217673170432
0.968945598009632,0.931714015636602,0.580795504749039,0.926506549771691
0.968282824397852,0.928476133247577,0.57498665598402,0.924800528681384
0.96762245545581,0.925178238907833,0.569294433006855,0.923099615909018
0.966964445116911,0.921821719091578,0.563715322598462,0.921403815919742
0.96630874937462,0.918407976237038,0.558245952828277,0.919713131746246
0.965655326143568,0.914938427130442,0.55288308592027,0.91802756509095
0.965004135132899,0.911414501310284,0.547623611555435,0.916347116419541
0.964355137730545,0.907837639493642,0.542464540579039,0.914671785046745
0.963708296897265,0.904209292026355,0.537402999083625,0.913001569215123
0.963063577069448,0.900530917358756,0.532436222841231,0.911336466167588
0.962420944069796,0.896803980548666,0.527561552060434,0.909676472214253
0.961780365025094,0.893029951793232,0.522776426445855,0.908021582794152
0.961141808290382,0.889210304991177,0.518078380539536,0.906371792532316
0.960505243378928,0.885346516336888,0.513465039325247,0.904727095292634
0.959870640897436,0.88144006294773,0.508934114078234,0.903087484226862
0.959237972486035,0.877492421525864,0.504483398444306,0.90145295182015
0.958607210762593,0.873505067055741,0.500110764733354,0.899823489933357
0.957978329270984,0.869479471538365,0.495814160413523,0.898199089842459
0.957351302432969,0.865417102763303,0.491591604793298,0.896579742275263
0.956726105503365,0.861319423119326,0.48744118587968,0.894965437445677
0.956102714528239,0.857187888444451,0.483361057401491,0.893356165085718
0.955481106305872,0.853023946916069,0.479349435987654,0.891751914475438
0.954861258350263,0.848829037981725,0.475404598490972,0.890152674470937
0.954243148856976,0.84460459133101,0.471524879448648,0.888558433530614
0.95362675667114,0.840352025908954,0.467708668671353,0.886969179739772
0.953012061257443,0.836072748971178,0.463954408953238,0.885384900833726
0.952399042671946,0.831768155180974,0.460260593895791,0.883805584219498
0.951787681535615,0.827439625748414,0.456625765838923,0.882231216996224
0.951177959009404,0.823088527611461,0.453048513893115,0.880661785974344
0.950569856770809,0.818716212658988,0.449527472066844,0.879097277693683
0.949963356991767,0.814324016995536,0.446061317483922,0.877537678440479
0.949358442317806,0.809913260247536,0.442648768685684,0.875982974263441
0.94875509584837,0.805485244910664,0.439288584013325,0.874433150988908
0.948153301118226,0.801041255737919,0.435979560065967,0.872888194235149
0.947553042079883,0.796582559167942,0.432720530230317,0.871348089425886
0.946954303086955,0.792110402793034,0.42951036327804,0.869812821803068
0.94635706887841,0.787626014866274,0.426347962027205,0.868282376438956
0.945761324563635,0.783130603847066,0.423232262064403,0.866756738247563
0.945167055608278,0.77862535798441,0.420162230524314,0.865235891995483
0.94457424782081,0.774111444937139,0.417136864923723,0.863719822312148
0.943982887339758,0.769590011430309,0.41415519204715,0.862208513699551
0.943392960621581,0.765062182946905,0.411216266881429,0.860701950541472
0.942804454429129,0.760529063453987,0.408319171596741,0.859200117112217
0.942217355820672,0.755991735162346,0.405463014571717,0.857702997584925
0.941631652139448,0.751451258318758,0.40264692946042,0.856210576039445
