"Xyleborus glabratus","Xylosandrus compactus","Coptoborus pseudotenuis","Sampsonius dampfi"
0.999999999624723,0.99979909519503,0.999999999981638,0.999999999999949
0.999999995121479,0.999490367879014,0.999999999646578,0.999999999997733
0.999999978127451,0.999121673990741,0.999999998006558,0.999999999979192
0.999999936580196,0.998707837203335,0.999999993197533,0.99999999989968
0.99999985517872,0.998256953263449,0.999999982374473,0.99999999966015
0.999999715661281,0.997774281355582,0.99999996163137,0.999999999079023
0.999999497001151,0.99726357504219,0.999999925935343,0.9999999978605
0.999999175555781,0.996727679078635,0.999999869070034,0.999999995559713
0.999998725186133,0.996168841711913,0.999999783585657,0.999999991545033
0.999998117355406,0.995588895692286,0.999999660754106,0.999999984957747
0.999997321212775,0.994989371182902,0.999999490528036,0.9999999746693
0.999996303665757,0.994371570212973,0.999999261503197,0.999999959236241
0.999995029443733,0.993736617961626,0.999998960883438,0.999999936853008
0.999993461154376,0.993085499348936,0.999998574448009,0.999999905302653
0.999991559334311,0.99241908591361,0.999998086520806,0.999999861905604
0.999989282495006,0.991738156043725,0.99999747994133,0.999999803466544
0.999986587164632,0.991043410524478,0.99999673603714,0.999999726219489
0.999983427926542,0.990335484703399,0.999995834597641,0.99999962577111
0.999979757454808,0.989614958159054,0.999994753849069,0.999999497042389
0.99997552654725,0.98888236249212,0.999993470430553,0.999999334208629
0.999970684156262,0.988138187680567,0.999991959371157,0.999999130637891
0.999965177417714,0.987382887320434,0.99999019406782,0.999998878827904
0.999958951678161,0.986616882990141,0.999988146264121,0.999998570341464
0.999951950520553,0.985840567917257,0.999985786029807,0.999998195740398
0.999944115788614,0.985054310084048,0.999983081741034,0.999997744518095
0.999935387610035,0.984258454877085,0.999980000061265,0.999997205030665
0.999925704418612,0.983453327363075,0.999976505922798,0.999996564426741
0.999915002975434,0.982639234255754,0.999972562508874,0.999995808575959
0.999903218389225,0.981816465625495,0.999968131236348,0.999994921996151
0.999890284135928,0.980985296393142,0.999963171738878,0.999993887779271
0.999876132077598,0.98014598764172,0.999957641850629,0.999992687516079
0.999860692480696,0.979298787773468,0.999951497590454,0.999991301219619
0.999843894033829,0.978443933534807,0.999944693146543,0.999989707247507
0.999825663864994,0.977581650927924,0.999937180861515,0.999987882223047
0.999805927558401,0.976712156024544,0.999928911217957,0.999985800955218
0.999784609170888,0.975835655694952,0.999919832824374,0.999983436357532
0.999761631248009,0.974952348263231,0.99990989240156,0.999980759365796
0.999736914839808,0.974062424098031,0.999899034769372,0.999977738854809
0.999710379516331,0.973166066146782,0.999887202833903,0.999974341553992
0.999681943382913,0.972263450420101,0.999874337575043,0.999970531961996
0.99965152309526,0.971354746432209,0.999860378034439,0.999966272260298
0.999619033874377,0.97044011760235,0.999845261303825,0.999961522225806
0.999584389521348,0.969519721621539,0.999828922513751,0.999956239142502
0.999547502432017,0.96859371078839,0.99981129482268,0.999950377712137
0.999508283611582,0.967662232317301,0.999792309406481,0.999943889964011
0.999466642689134,0.966725428621855,0.999771895448295,0.999936725163843
