"Xyleborus posticus","Xyleborus glabratus","Sampsonius dampfi","Xylosandrus compactus","Xyleborus germanus","Xyleborus ferrugineus","Xyleborus obesus","Coptoborus pseudotenuis","Xyleborinus saxeseni","Xyleborus affinis","Euwallacea fornicatus","Ambrosiodmus rubricollis","mutillatus","Xylosandrus morigerus","Ambrosiodmus tachygraphus","Xylosandrus crassiusculus","Xyleborus seriatus","Xyleborus xylographus","Euwallacea validus","Ambrosiodmus obliquus"
0.857137714094409,0.999999863439208,0.996325478906525,0.940940368027621,0.89147772869183,0.927442377766918,0.914321131731251,0.999575636760605,0.934629365953733,0.873441980342331,0.955098905292907,0.994556192052463,0.971497528316664,0.9735821748625,0.991195070558681,0.95717789373326,0.93038320042744,0.999955712880733,0.991869902573952,0.878530324731827
0.773098303272724,0.999998841202276,0.988560906079037,0.900844832277411,0.841355760416697,0.890971439871733,0.833810790521796,0.998506051750946,0.892626748041181,0.834390703601889,0.923617660853464,0.985246486952055,0.941685404194867,0.954409080105447,0.975781696243068,0.935096448249827,0.876536596933999,0.999754410911614,0.982298465575141,0.789046860331264
0.709900552406117,0.999995951906335,0.977911137789019,0.867390705731721,0.804141945633319,0.862832906831027,0.763399900875626,0.996883690795592,0.858231611260756,0.807368314314599,0.89679928963419,0.973729839211484,0.912522796098311,0.937646473105348,0.956690134279913,0.917650115986192,0.830617731835355,0.999331273591905,0.972224298258367,0.717778277311629
0.659274139574508,0.999990167002793,0.964966064932584,0.838208984765282,0.773954315960205,0.8393440241708,0.702280987947215,0.994754780757479,0.828585853910366,0.786238608481639,0.872999134141217,0.960645814756211,0.884401662363132,0.922429544373437,0.935151862680648,0.90278504014305,0.790422948247043,0.9986393592009,0.961891661106581,0.65921402157528
0.617253107016284,0.999980427309495,0.950153300151501,0.812165026448944,0.748364425805583,0.818963637116724,0.649131905931736,0.992152328087847,0.802355566352607,0.768720170670184,0.851436662277713,0.946394747777183,0.857453673066159,0.908358499787933,0.9119667919246,0.889650205137824,0.754700091648207,0.997640448277428,0.951425456286432,0.610048352689534
0.581533801504878,0.999965650577305,0.933820135491801,0.788581683033289,0.726077385593252,0.800859367201642,0.602696804142965,0.98910316433644,0.778760865525978,0.753678723933081,0.831647728604763,0.93126548983662,0.831711485432115,0.895199992391947,0.887716912997585,0.877788408262453,0.722611888263451,0.996302151318151,0.940902436903083,0.56809220528267
0.550635101518805,0.999944736013662,0.916262478538222,0.767006152552615,0.706303409957995,0.784517212246206,0.561899792559785,0.985630698963721,0.757289152076343,0.740457768707282,0.813321975951835,0.915481187408705,0.807161721955985,0.882800038575265,0.862845573161291,0.866918091604166,0.693552129867981,0.994596573736909,0.930374384829994,0.531813692958902
0.523540854939278,0.999916567357283,0.897737811378136,0.747113607346163,0.688518249430283,0.76959189388745,0.525848778308739,0.981756252817068,0.737578092054807,0.728639213938596,0.796236237540475,0.899220769009455,0.78376791842737,0.871048908108073,0.837696973806706,0.856850314290744,0.667060457233134,0.992499603463432,0.919878217177397,0.500099376684602
0.499521186201394,0.999880015147322,0.878472006912678,0.728659602828886,0.672352891675516,0.755837569352888,0.493811725950003,0.977499784399599,0.719358497726882,0.717938560150222,0.780221899248733,0.882630807515658,0.761481999723732,0.859864166331834,0.81253983368445,0.847450522997922,0.642775830022207,0.989990500734406,0.909441187425111,0.472116366229273
0.47803342876893,0.999833938501233,0.858663476136311,0.711453684303645,0.657536118286132,0.743071540511151,0.465188785675163,0.972880314015823,0.70242299267132,0.708152527091903,0.765146912153302,0.865832858728152,0.740250516376512,0.849181453353306,0.787583433481786,0.838618615600726,0.620408370105439,0.987051650766828,0.899083871699126,0.447227126730227
0.458663006774332,0.99977718657438,0.838486077183402,0.695343494660704,0.643861844030975,0.731153500472705,0.439487105019944,0.967916181678987,0.68660733634386,0.699130308502111,0.750905015182085,0.848928407274897,0.720018200628384,0.838949027536664,0.762989415898789,0.830277579836893,0.599721084574826,0.983668409064705,0.888822023062007,0.424934255923169
0.441086148176944,0.999708599805006,0.818091426995892,0.680204597644096,0.631169278811537,0.719972854486997,0.41629986888092,0.962625206804147,0.671778580673489,0.690756639149646,0.737408859704002,0.832002427498127,0.700730041769508,0.829124323947339,0.738880918606318,0.822366571349695,0.58051738414015,0.979829000021316,0.87866779280285,0.404843341879319
0.425045324365293,0.999627011010599,0.797610912543343,0.665933642025059,0.61933023920313,0.709440562795624,0.39528942382612,0.957024786811922,0.657827187567805,0.682941252758601,0.724585403600607,0.815126081140919,0.682332498907174,0.819671672584889,0.715349862686417,0.81483647011002,0.562632225931042,0.975524444999548,0.868630572581279,0.386637226818295
0.410332494837698,0.999531246379807,0.777157537402019,0.652443591080203,0.608240688188732,0.6994836697531,0.376173871604695,0.951131956308159,0.644661575704755,0.675612019642604,0.712372702403009,0.79835884204014,0.66477419249267,0.810560723531299,0.692462871618533,0.807646905187097,0.545925636649623,0.970748504604078,0.858717596786852,0.370057726893809
0.396777339593561,0.999420126390627,0.756827661249236,0.639660287788268,0.597814897539922,0.690041506756304,0.358716463705563,0.94496342017913,0.632204226488119,0.668710312575441,0.700717600827667,0.781750219083769,0.648006273137728,0.801765323457033,0.670266122991509,0.800764192385163,0.530277860396721,0.965497624925577,0.848934386404688,0.354892370803668
0.38423878931282,0.999292466676871,0.736702651895917,0.627519916631557,0.587981302453465,0.68106298014943,0.342717207877061,0.938535569183012,0.620388828906911,0.662187779478513,0.689574027024644,0.765341183882789,0.631982587850917,0.793262691610991,0.648789342428787,0.794159862490429,0.515585650372907,0.959770880764075,0.839285084216899,0.340964601516661
0.372598799619547,0.99914707885912,0.716850452036057,0.615967086301849,0.578679485015979,0.672504586206754,0.328006205384369,0.931864483759438,0.60915813874458,0.656004036108648,0.678901703318404,0.749165372536557,0.616659718597867,0.785032801065453,0.628049095394461,0.787809584685612,0.501759386808718,0.953569911032311,0.82977271317609,0.328126419280193
0.361757690540068,0.998982771352354,0.697327056036804,0.604953353931014,0.569857932349647,0.664328927396527,0.314438338971123,0.924965929986695,0.598462342293706,0.650124978748667,0.668665152665079,0.733250108759553,0.601996940950931,0.77705790458243,0.608051498527961,0.781692362062218,0.488720804629082,0.946898843122968,0.820399379018717,0.316252778087948
0.351630601282385,0.998798350159553,0.678177890632234,0.594436070527388,0.561472339615559,0.656503582845039,0.30188901602847,0.91785535045008,0.588257784682423,0.644521525735784,0.6588329200347,0.717617281944508,0.587956133785244,0.769322164846649,0.588794448772025,0.775789919197063,0.476401179384827,0.939764204226889,0.811166431487729,0.305237262627142
