"pd","t29","t220","t14","t141","t195","t278","t134","t282","t268","t93","t292","t271","t159","t226","t162","t78","t35","t71","t26","t63","t165","t270"
0,0.82567031011592,0.493768047185858,0.97242722629252,0.97242722629252,0.956944730596503,0.956944730596503,0.361845685188082,0.966864314756471,0.947228497807893,0.430522539226247,0.267348908229994,0.960389115427023,0.927240784307351,0.36234958811958,0.851450214024141,0.851450214024142,0.914919696155614,0.914919696155614,0.572001855384769,0.572001855384769,0.946583433864684,0.946583433864682
1,0.717391708874558,0.399175131183992,0.935693568194669,0.935693568194669,0.90384471056027,0.90384471056027,0.295088981102195,0.920368022146138,0.885181473614857,0.351100452768207,0.223854644365762,0.907951023444986,0.851698795489775,0.29783505612058,0.753123691699757,0.753123691699758,0.832534082799373,0.832534082799374,0.462388491223621,0.462388491223621,0.883208624723592,0.88320862472359
2,0.638007523294435,0.346714239433426,0.896575333792405,0.896575333792405,0.850342914218861,0.85034291421886,0.259553375299867,0.870527432076153,0.824634940053113,0.307918767040636,0.200857693669052,0.853556854486893,0.782744359342109,0.263336312313178,0.678397825912966,0.678397825912966,0.75994328242165,0.75994328242165,0.399258556127408,0.399258556127408,0.821279161630279,0.821279161630276
3,0.576366029355749,0.311551171951996,0.857207851014334,0.857207851014333,0.799011099631127,0.799011099631127,0.23609178642724,0.82072517947013,0.768046012380084,0.279148032763949,0.185643394859332,0.800513161222633,0.721299643169701,0.240475149147175,0.61884842002147,0.61884842002147,0.696808897020751,0.696808897020751,0.35629421907625,0.356294219076251,0.763435228126669,0.763435228126666
4,0.526747124588158,0.285673731559319,0.818657035688162,0.818657035688161,0.750837537966782,0.750837537966781,0.218930400957897,0.77261463115604,0.716108543878181,0.258003375748284,0.174466482451557,0.750255209434137,0.666926833378011,0.223701689962999,0.569945791780484,0.569945791780484,0.641933366872029,0.641933366872029,0.324454313294975,0.324454313294975,0.710427915910163,0.710427915910159
5,0.48576374087013,0.265517022421964,0.781495162265404,0.781495162265404,0.706143139653838,0.706143139653837,0.205588738041077,0.727017081514848,0.6688396676162,0.241521976229815,0.16573371781294,0.703372597302075,0.618847964639347,0.210627480804316,0.528902682413162,0.528902682413163,0.594071382021122,0.594071382021123,0.299577713529394,0.299577713529394,0.662280178413065,0.662280178413062
6,0.451239536213431,0.2492005073192,0.746022169553132,0.746022169553132,0.664929797891093,0.664929797891092,0.194786309371888,0.684295990880145,0.625975843031489,0.228158172626989,0.158626520429111,0.660023288563023,0.57625024327711,0.2000174278588,0.493870698845342,0.493870698845342,0.552119012137925,0.552119012137925,0.27942210965705,0.27942210965705,0.618713262784006,0.618713262784002
7,0.421696255858016,0.235618770729794,0.712376108976945,0.712376108976944,0.62704422459709,0.627044224597089,0.185781223019328,0.644552537406066,0.587146465666591,0.217009811155627,0.152671664581271,0.620139358485313,0.538386139743502,0.191154786825787,0.463560817956852,0.463560817956852,0.515145729601508,0.515145729601508,0.262650246877929,0.262650246877929,0.579334064205884,0.579334064205881
8,0.396087545027688,0.224070950088995,0.680595810936152,0.680595810936151,0.592262223104986,0.592262223104985,0.17810782620892,0.607737818589078,0.551954995893876,0.207507569015535,0.147572355584367,0.583538201841652,0.504601157403576,0.183589012937747,0.437040036750736,0.437040036750736,0.482381405241119,0.482381405241119,0.248405547477313,0.248405547477313,0.5437225204805,0.543722520480498
9,0.373648464598002,0.214087004167488,0.650658991729238,0.650658991729237,0.56033364105883,0.560333641058828,0.171456075997524,0.573719899775677,0.520016940125134,0.199270809516395,0.14313095825689,0.549984713166178,0.474334582922233,0.177019702331036,0.413613094751463,0.413613094751463,0.453192209626642,0.453192209626642,0.236109243274717,0.236109243274717,0.511472298448029,0.511472298448026
10,0.353804972667711,0.205337684618601,0.622506339617972,0.622506339617972,0.53100643871881,0.531006438718809,0.165609936514839,0.542324493411624,0.490976562992929,0.192033454241153,0.139209668387752,0.519226286208059,0.447110614939598,0.171237261691873,0.392749497629283,0.392749497629283,0.427056358107091,0.427056358107091,0.225353686933315,0.225353686933316,0.482208496292599,0.482208496292597
11,0.336116800273135,0.197584214873739,0.596057060772017,0.596057060772016,0.5040392260823,0.504039226082299,0.160413334350895,0.513359633260683,0.464512897042703,0.185602787801532,0.135708825534207,0.491012220343436,0.422526875768448,0.166090086340736,0.374036408732398,0.374036408732398,0.40354296000478,0.40354296000478,0.21584202889126,0.21584202889126,0.455593833447724,0.455593833447722
12,0.320239982823801,0.190648440524444,0.571219006510925,0.571219006510924,0.479207314832117,0.479207314832115,0.15575014412618,0.486630442080697,0.440340406438008,0.17983512955502,0.132554181035042,0.465104036540294,0.400243101283087,0.161465245825135,0.357147119050317,0.357147119050318,0.382294559020553,0.382294559020554,0.207352105759104,0.207352105759104,0.431329134569178,0.431329134569176
13,0.305901486513359,0.1843942514466,0.547895271525113,0.547895271525112,0.456305112280904,0.456305112280903,0.151531821237852,0.461947714060186,0.41820709149497,0.174620744148144,0.129689037052255,0.441280473553581,0.379971026461854,0.157276538063108,0.341819304893405,0.341819304893406,0.3630130588983,0.3630130588983,0.199713798310331,0.199713798310331,0.409151116905826,0.409151116905824
14,0.292881555421267,0.178715550836598,0.52598845550989,0.525988455509889,0.435146478199255,0.435146478199254,0.147689439566334,0.439132630847038,0.397891497261483,0.169874095905903,0.127069187448088,0.419339393232862,0.361465727996867,0.15345679145599,0.327839652774383,0.327839652774383,0.345448490082856,0.345448490082856,0.192794279758972,0.192794279758972,0.388829051518096,0.388829051518094
15,0.281001142021816,0.173528199292991,0.505403362436738,0.505403362436737,0.415563985520089,0.415563985520088,0.144168385390102,0.418019073659299,0.379199388719368,0.165527336923362,0.124659546573367,0.399097926214704,0.344518375036766,0.149952730590201,0.315032749329411,0.315032749329411,0.329390070539307,0.329390070539307,0.186488088736182,0.186488088736182,0.370161109611066,0.370161109611065
16,0.270112774820396,0.168764464503606,0.486048650231157,0.486048650231156,0.397407633203944,0.397407633203942,0.140924716005302,0.398454459848924,0.361960478494186,0.1615258279131,0.122431835286331,0.380391656037023,0.328950226055602,0.146721449838449,0.303252900656746,0.303252900656747,0.31465908663233,0.31465908663233,0.180710261549556,0.180710261549556,0.352970799126139,0.352970799126138
17,0.260093804351784,0.164369101786383,0.467837775211504,0.467837775211503,0.380543328980547,0.380543328980546,0.137922596643949,0.380299694585322,0.34602538935714,0.157824979197299,0.120362951576046,0.363073318731265,0.314607683111076,0.143727929241557,0.292378008009571,0.292378008009571,0.301103207079026,0.301103207079027,0.175391465698614,0.175391465698614,0.337103678736971,0.337103678736969
18,0.250841328734468,0.160296526053474,0.450689464764865,0.450689464764864,0.364851322944478,0.364851322944477,0.135132456078945,0.36342861290924,0.331262924399392,0.15438797358436,0.118433797439656,0.347011300149233,0.301358223928781,0.140943245571971,0.282304914892965,0.282304914892965,0.288591922913259,0.288591922913259,0.170474478431553,0.170474478431553,0.322424420336413,0.322424420336412
19,0.242268326915562,0.156508732194807,0.434527877547577,0.434527877547576,0.350224691535673,0.350224691535672,0.132529633342228,0.34772714922388,0.317557660179621,0.15118409308561,0.116628417571575,0.332088094589858,0.28908705437304,0.138343258779252,0.272945825068846,0.272945825068846,0.277012873087267,0.277012873087267,0.165911591005603,0.165911591005603,0.308814230807942,0.308814230807941
20,0.234300674463497,0.152973739830052,0.419282560254186,0.419282560254185,0.336567922994074,0.336567922994072,0.130093367516187,0.333092382378025,0.30480784918947,0.148187468196715,0.11493335592683,0.31819881598308,0.277694348724523,0.135907630743371,0.264225511942263,0.264225511942263,0.266268868621487,0.266268868621487,0.161662663558516,0.161662663558516,0.296168614157381,0.29616861415738
21,0.226874813768297,0.149664412550769,0.404888275660575,0.404888275660574,0.323795626812834,0.323795626812832,0.12780603192102,0.319431547246851,0.292923604768891,0.145376128673224,0.113337167548856,0.305249809051479,0.267092968512378,0.133619080909293,0.256079120850118,0.256079120850118,0.25627546988727,0.25627546988727,0.157693645879533,0.157693645879533,0.284395442023239,0.284395442023239
