"pd","t220","t96","t219","t138","t293","t117","t14","t176","t82","t38","t112","t228","t284","t193","t86","t250","t153","t168","t232","t8","t200","t252","t73","t202","t160","t218"
0,0.950852493227362,0.649199846763098,0.733924530291542,0.962074449317493,0.932200615058334,0.385371547222934,0.826566489594086,0.396835937403375,0.961070324576466,0.453695860130313,0.84747103407373,0.700352827984594,0.715149199743355,0.780781579443972,0.537283434602089,0.674386640475558,0.956972276721173,0.956972276721173,0.848891642157976,0.848891642157976,0.798782329958001,0.932200615058334,0.832651572032728,0.832651572032728,0.796241916471703,0.796241916471704
1,0.921214953004874,0.614778152170351,0.691239780499482,0.936118985138681,0.899592418192965,0.389561776775814,0.78390536497945,0.399268369885674,0.934672036544144,0.447314088348304,0.801208331168262,0.660115909701068,0.674158341700816,0.735829185938045,0.518038427161475,0.639273139910639,0.928980487820928,0.928980487820929,0.802587535066295,0.802587535066295,0.754393545633589,0.899592418192965,0.789368521553753,0.789368521553754,0.751750051788538,0.751750051788538
2,0.897007210156846,0.594070804793506,0.664594652059089,0.914018944004561,0.874590345544942,0.392020529422303,0.755640881765286,0.400693567288735,0.91226979935332,0.443588885239553,0.769602508387991,0.635409436226068,0.648825254854399,0.706947332028731,0.506752265345018,0.61799001058984,0.905564111842517,0.905564111842517,0.770895640016852,0.770895640016852,0.725543961415824,0.874590345544942,0.760484328842331,0.760484328842331,0.72288173850276,0.72288173850276
3,0.876035082329859,0.579168333213801,0.645019421801579,0.894350804313236,0.853761524046878,0.393768378283522,0.734125904817084,0.401705782263805,0.892377575170459,0.440949628132836,0.745133798482115,0.617427393658476,0.630317996311633,0.685373413976809,0.498739753648,0.602604380169652,0.884967514471707,0.884967514471707,0.746334410000718,0.746334410000718,0.703843120010199,0.853761524046878,0.738407755690338,0.738407755690338,0.701188950578736,0.701188950578736
4,0.857330970492156,0.567507395539741,0.629489999013997,0.876459025638062,0.835694328360319,0.395125992662233,0.716628522828861,0.402491495224099,0.874312986104186,0.438904749078538,0.725014596351641,0.603251668945709,0.615690722617564,0.668063474154347,0.492525000541442,0.590527325232592,0.866395550224553,0.866395550224553,0.726124732689753,0.726124732689753,0.686344831652079,0.835694328360319,0.720404769366929,0.720404769366929,0.683709864175725,0.683709864175725
5,0.84035103548371,0.557923260143226,0.616597966281649,0.859962421935526,0.819635383356731,0.396236447396432,0.701827005788744,0.403133841476284,0.857680160926164,0.437235496768703,0.707863390666136,0.591537948429971,0.603580704518031,0.653572307367796,0.487448804950072,0.580577214870139,0.849391978325132,0.849391978325132,0.708887423131621,0.708887423131621,0.671640249096385,0.819635383356731,0.705145602861989,0.705145602861989,0.669029620850672,0.669029620850672
6,0.824748116758277,0.549785895532322,0.605567687765429,0.844610518598713,0.805123631915127,0.397176159254379,0.688972293203151,0.403677196890781,0.842219506504436,0.435825270647043,0.692883145669929,0.581551794040372,0.593241163713145,0.64109259979484,0.483158919556617,0.572112746789673,0.83366045353879,0.833660453538791,0.693825965512233,0.693825965512233,0.658938072456513,0.805123631915128,0.691873669242741,0.691873669242741,0.656354170995879,0.656354170995879
7,0.810282201944475,0.542715232872493,0.595924662977284,0.830225681501159,0.791851544017208,0.397990788492037,0.677595489040532,0.404148063866767,0.827747262542293,0.434604514918752,0.679567857842351,0.572846719871644,0.584217015625321,0.630124873701322,0.47944483434503,0.564746027227496,0.818992973860469,0.818992973860469,0.680434267557103,0.680434267557103,0.647746573949364,0.791851544017208,0.680113880986473,0.680113880986473,0.645190393221663,0.645190393221663
8,0.796777981980232,0.536464054501648,0.587356712921282,0.816675169540813,0.779601402175605,0.398709811911612,0.667382139389364,0.404563544560502,0.814126343564799,0.433528389564449,0.667574249737766,0.565130483470871,0.576209797911641,0.620337453268023,0.476170650574333,0.558224194057167,0.805235559495479,0.805235559495479,0.668368755462507,0.668368755462507,0.637738018275243,0.779601402175605,0.669546812243212,0.669546812243212,0.635209799709095,0.635209799709095
9,0.78410215012344,0.530862397960553,0.5796471541899,0.803855936880899,0.768212167570398,0.399353370764108,0.658110381379628,0.404935320662217,0.801250498987699,0.432566293238248,0.656657761656571,0.558201114954977,0.569012895586042,0.61149830758102,0.473243519620749,0.55237307844471,0.792269703587396,0.792269703587396,0.657384515194903,0.657384515194903,0.628682403773354,0.768212167570399,0.659946602265276,0.659946602265276,0.626181967172106,0.626181967172106
