"pd","t220","t96","t219","t138","t293","t117","t14","t176","t82","t38","t112","t228","t284","t193","t86","t250","t153","t168","t232","t8","t200","t252","t73","t202","t160","t218"
0,0.966835191147786,0.39291801590847,0.452461350593199,0.976355003425192,0.790642144355118,0.21768404943712,0.702948149932471,0.301810712799745,0.974158853040491,0.212827986140907,0.674940549862714,0.502255729494478,0.332829167588393,0.441577916837058,0.203607737561871,0.268897888926637,0.967612816963117,0.967612816963118,0.684792951603801,0.684792951603801,0.576345459533985,0.743672255063855,0.633291270272803,0.633291270272803,0.579786142667019,0.579786142667016
1,0.931641698538566,0.349167330548881,0.397562360081483,0.947966255667203,0.71028597698206,0.207812779687007,0.623000020489096,0.276001281175679,0.94396364948291,0.203837951687214,0.588795863112011,0.438348083670841,0.30088386293483,0.388894211330892,0.196254775445969,0.250424632538578,0.932491436606195,0.932491436606196,0.597848247171881,0.597848247171881,0.503902502431044,0.661679671116098,0.556128262389889,0.55612826238989,0.506675711886268,0.506675711886265
2,0.897284232476793,0.324654524423708,0.366516273844829,0.918622909725056,0.655669235107695,0.202193410075567,0.572548349526525,0.261553397037183,0.913163547476877,0.198711571265496,0.535341479098403,0.401759029930191,0.283030772725815,0.359158624238169,0.192047491923829,0.240018185953193,0.89792036569206,0.897920365692061,0.543535660507736,0.543535660507736,0.461252056912065,0.608284149819676,0.509436198974901,0.509436198974902,0.463571835444871,0.463571835444868
3,0.864342041370741,0.307818101775751,0.345125836740028,0.889355847488086,0.614139521957513,0.198275689612687,0.535745516109221,0.251603586763103,0.882732835883641,0.195133527800095,0.496840794542876,0.376422481772203,0.270760358538381,0.338683871231736,0.189104300737049,0.232816344004048,0.86461266019569,0.86461266019569,0.504281913378337,0.504281913378337,0.431295321803251,0.568671570411209,0.476159105025382,0.476159105025383,0.43327865020157,0.433278650201567
4,0.833001795299794,0.295099132771713,0.328950379956432,0.860657429630415,0.580704143372836,0.195276412290783,0.506907078542837,0.244061012921379,0.853115518312349,0.192391945965999,0.466979609931343,0.357217471855374,0.261476360994062,0.323203537761562,0.18684529244113,0.22733472850922,0.832825492430609,0.83282549243061,0.473772892517488,0.473772892517488,0.408389112387246,0.537300383286179,0.45047728940746,0.450477289407461,0.41010846804852,0.410108468048517
5,0.803300806937124,0.284937274179092,0.316026514358361,0.832790371643001,0.552808973574584,0.192851427344147,0.483301459816075,0.238012992423442,0.824533444408785,0.190173767930961,0.442746049634616,0.341856233943141,0.254045157457054,0.310834690864256,0.185015021922126,0.222924000810865,0.802638031429741,0.802638031429742,0.448979537345762,0.448979537345762,0.389959676484481,0.511435573307203,0.429681684812269,0.42968168481227,0.391464023988455,0.391464023988452
6,0.775208163076309,0.276511834175714,0.305316063764963,0.805896133997402,0.528954344961129,0.190819067171624,0.463396954890394,0.232980473310583,0.797093688115266,0.18831363488813,0.422462746090941,0.329120864346368,0.247871821848387,0.300582824640626,0.183478387410612,0.219242657247077,0.774045447119488,0.774045447119489,0.428208122517553,0.428208122517553,0.374617018067287,0.489513706686334,0.412287841875988,0.412287841875989,0.375941473284087,0.375941473284085
7,0.748660019587511,0.26933911873818,0.296204933928839,0.78004522849423,0.508179073470562,0.189071820338756,0.446246387859893,0.228681368589225,0.770837909977235,0.186713635506601,0.405098946177817,0.318287507987783,0.242606159392608,0.291860127616947,0.18215530748018,0.216089236368007,0.747000437020015,0.747000437020017,0.410414699629311,0.410414699629311,0.361526050515722,0.470553638737774,0.397394032953945,0.397394032953946,0.362696916216419,0.362696916216416
8,0.723577143826473,0.263110732473396,0.288300574744164,0.755264341588238,0.489828156360545,0.187540845309474,0.431222670419994,0.224935864838364,0.745768637673305,0.185311046932146,0.389976161268512,0.308891812678171,0.238025043312214,0.284291054277594,0.180994434057216,0.213335100231094,0.721434230463551,0.721434230463553,0.394910472753634,0.394910472753634,0.350146522791567,0.453898140355746,0.384411761606359,0.38441176160636,0.351184162418004,0.351184162418001
9,0.699874290031498,0.257618342465505,0.281337300698103,0.73155235009014,0.473434429654119,0.186179436754361,0.417889088503385,0.221622467890959,0.72186454521324,0.184063298014962,0.376624395629779,0.300618646682728,0.233977790195012,0.277621527947326,0.179960888071564,0.210893194585049,0.697268049931644,0.697268049931646,0.381217401740867,0.381217401740867,0.340109282237783,0.439085112856054,0.372936019387947,0.372936019387948,0.341029876237136,0.341029876237133
10,0.677465394373206,0.252714819227782,0.275127214074723,0.708890346455187,0.45865271666993,0.184954470116156,0.405929374643093,0.218655335938493,0.69908984421642,0.182940185435089,0.364704958553029,0.293244674061943,0.230357991165947,0.271671912598832,0.179029905675612,0.208701919947355,0.6744196296424,0.674419629642401,0.368990463510171,0.368990463510171,0.331151226331128,0.42577723487219,0.36267641709049,0.362676417090491,0.331967904316494,0.331967904316492
11,0.656266476062162,0.248292529051558,0.269532711929709,0.687248160117129,0.445220659614864,0.183841612085847,0.395107226035759,0.215971630070707,0.677400265403121,0.181919514607999,0.353965955832704,0.286606067569029,0.227087793912283,0.266310683355585,0.17818327750956,0.206716120668369,0.652806985884841,0.652806985884842,0.357972722175243,0.357972722175243,0.323078437997252,0.413720775727319,0.353417836530732,0.353417836530733,0.323802040336691,0.323802040336689
12,0.636197220707483,0.244270441263815,0.264450120115066,0.666588707801624,0.432934171069391,0.182822469418327,0.385241521628011,0.213524006213809,0.656746952842058,0.180984503923356,0.344215144826008,0.280579231242782,0.224108575023753,0.261438760714815,0.177407226999864,0.204901730797526,0.632350584911506,0.632350584911508,0.347967873346613,0.347967873346613,0.315744026519108,0.40272013761133,0.344996613672992,0.344996613672993,0.316383634830913,0.31638363483091
13,0.617181784567647,0.240586083812314,0.259799462754137,0.646870941459771,0.421631384224318,0.181882805672406,0.37619044955807,0.211275932179738,0.637079028719026,0.180122160775731,0.335302611975276,0.275068719798037,0.221375123434991,0.256979721572846,0.176691082203866,0.203232431174094,0.612974546778811,0.612974546778813,0.338822693775623,0.338822693775623,0.309034160326285,0.392621413914372,0.337285435635293,0.337285435635294,0.309597477907743,0.309597477907741
14,0.599149131118704,0.237190315969101,0.255517804179601,0.628051862234736,0.411181786698477,0.181011379607685,0.367840955303623,0.209198645142794,0.618345286605194,0.179322223444736,0.327109296893058,0.269999359933566,0.218851862363708,0.25287343058448,0.176026409970797,0.201687475404518,0.594607258135807,0.594607258135809,0.330415397415121,0.330415397415121,0.302858911728908,0.383301378479171,0.330183388330748,0.330183388330749,0.303352543173163,0.303352543173161
15,0.582033086232433,0.234043813971342,0.251554766918409,0.610087898272452,0.40147864447965,0.1801991623052,0.360101503673517,0.207269106125245,0.600495301519906,0.178576447786084,0.319539146538292,0.26531093708457,0.216510309990636,0.249071754125967,0.175406431967029,0.200250226874469,0.577181619676847,0.577181619676849,0.322647664476673,0.322647664476673,0.297146055202098,0.374659883515825,0.323609183049114,0.323609183049115,0.297575716308971,0.297575716308969
16,0.565772226145943,0.231114638809554,0.247869426449257,0.592935842042711,0.392433585619105,0.179438794020356,0.352896979391139,0.205468584170582,0.583480144049703,0.177878112238681,0.312513605082097,0.260954508594144,0.214327322350991,0.245535591492823,0.174825619246961,0.198907145209537,0.560635068395753,0.560635068395755,0.315439037058352,0.315439037058352,0.291836746985306,0.366614472499649,0.317496417917809,0.31749641791781,0.292207425261346,0.292207425261344
17,0.55030966935656,0.228376510367895,0.244428105772926,0.576553479066845,0.383972643099306,0.178724197831386,0.346165010447343,0.203781651477913,0.56725282315306,0.177221665651027,0.305967653195744,0.256889781725566,0.212283846623355,0.242232766766974,0.174279403677338,0.197647066302338,0.544909463242529,0.544909463242531,0.308722886618769,0.308722886618769,0.286882441608162,0.359096475813064,0.31179018319289,0.311790183192891,0.287198520976137,0.287198520976135
18,0.535592817163654,0.225807555836314,0.241202774816534,0.560899998770371,0.376033308470989,0.178050298779543,0.339853263273863,0.202195454464096,0.551768542177224,0.176602471215727,0.299846902730029,0.253083208537884,0.210364017032842,0.239136499073092,0.173763968028795,0.196460679600066,0.529950890864326,0.529950890864328,0.302443453302125,0.302443453302125,0.282242644294287,0.352048124860156,0.306444578316234,0.306444578316235,0.282508003380297,0.282508003380295
19,0.521573071027654,0.223389384527056,0.238169866493756,0.545936250853343,0.368562301124386,0.177412815758216,0.33391741720486,0.200699174737269,0.536984826256594,0.17601661669458,0.294105427120679,0.249506575261325,0.208554486508098,0.23622427119493,0.17327609034922,0.195340141262115,0.515709427905027,0.515709427905028,0.296553633209204,0.296553633209204,0.277883241945998,0.34542038171008,0.301420862387422,0.301420862387423,0.278101332528968,0.278101332528966
20,0.508205544378981,0.221106392272872,0.235309386068444,0.531624892029565,0.361513854115387,0.176808104674641,0.328319623518918,0.199283623665647,0.522861561568612,0.175460771372974,0.288704115277025,0.246135940191515,0.206843924141527,0.233476978567839,0.172813026615331,0.194278782966959,0.502138883327126,0.502138883327128,0.29101329832726,0.29101329832726,0.273775243183797,0.339171281549627,0.296686053953104,0.296686053953105,0.273949153525603,0.273949153525601
21,0.495448779725393,0.218945230458336,0.232604230996999,0.517930455173475,0.35484837931337,0.176233038453082,0.3230273164842,0.197940932766176,0.509360974839009,0.174932076597049,0.283609404782517,0.242950821952395,0.205222631540582,0.230878279443669,0.172372420903111,0.193270889371227,0.48919653573633,0.489196535736332,0.28578800273744,0.28578800273744,0.269893813083026,0.333264649232633,0.292211855492639,0.29221185549264,0.27002631957875,0.270026319578748
