"Xyleborinus saxeseni","Ambrosiodmus obliquus","Xyleborus glabratus","mutillatus","Xyleborus affinis","Ambrosiodmus tachygraphus","Euwallacea validus","Xyleborus ferrugineus","Xyleborus obesus","Ambrosiodmus rubricollis","Xylosandrus compactus","Xylosandrus morigerus","Euwallacea fornicatus","Xylosandrus crassiusculus","Xyleborus germanus","Coptoborus pseudotenuis","Xyleborus xylographus","Xyleborus seriatus","Sampsonius dampfi","Xyleborus posticus"
0.937555895233829,0.879225414446013,0.999999867520768,0.975339085971186,0.876152312791684,0.991170787000088,0.992085424022875,0.932868298515019,0.913361576622515,0.994634611821412,0.938138048592994,0.974466634962777,0.950360955214884,0.951057762346978,0.9177416816105,0.999355630031114,0.99995530003776,0.932279589978068,0.997032790119892,0.846530140472357
0.896748228998622,0.79000645203013,0.999998872359548,0.948544844821347,0.837394739023636,0.975706660666703,0.982711610085223,0.89795849591713,0.832216674472123,0.985435905798492,0.896853344095855,0.955739485400084,0.916763282317643,0.927113431057903,0.874506833232149,0.997837972920157,0.999752403260612,0.879386887638174,0.990519832175729,0.759484384423903
0.863113774523092,0.718857331463647,0.99999605362669,0.921845421783412,0.810495684399084,0.95654905699556,0.972818977158234,0.870737602028352,0.761400995755142,0.97404142444952,0.862635516667021,0.939303313675804,0.888522080468497,0.908485905802682,0.84105522436619,0.995616618840796,0.999326256591379,0.834080885665819,0.981398081566589,0.694993698652799
0.833994372964463,0.660340772858987,0.999990401790028,0.895750158893002,0.789423274972067,0.934935507452986,0.962653630213179,0.847855666406044,0.700032032664946,0.961083503402524,0.832923396716446,0.924343512017034,0.863687068576307,0.892775373271179,0.813173810658731,0.992771696765487,0.998629803410517,0.794297763090862,0.97013923401884,0.643839471403618
0.808141895865007,0.61118403642115,0.999980875647881,0.870470845749424,0.771928857564811,0.911670233614858,0.952341829636779,0.827898138874218,0.646736930339821,0.94695834624384,0.806498435096016,0.910482350465433,0.841343984412765,0.878999325483925,0.789057410303819,0.989358591692007,0.997624760246381,0.758854321378124,0.957091912317708,0.60168732649277
0.784822890515862,0.569215107211487,0.999966410110952,0.846100935677283,0.756892365210016,0.887338453837983,0.941961422854941,0.810095804534294,0.600225985230281,0.931952127573608,0.782637496103714,0.897498820337412,0.820954766469597,0.866634506698241,0.767715777583338,0.985421097569989,0.996278706076147,0.726953771387831,0.942544897596912,0.566057462257633
0.763553108112083,0.5329115750127,0.99994592085717,0.822675298504074,0.743664583402849,0.862385938426816,0.931565120150989,0.793970974031874,0.559400606582318,0.916286183208902,0.760859427280889,0.885246763469899,0.802162942335769,0.855360964686014,0.748530550337097,0.980996454282215,0.994563739354233,0.698015859567752,0.926749325298912,0.535374774337343
0.743988875183146,0.501165512524241,0.999918307495055,0.800196666641125,0.731831566920175,0.837158676969321,0.921190650978614,0.779201189335764,0.523353342878125,0.900138213792081,0.740820599460173,0.873621818545399,0.784714327778246,0.844965297245834,0.731082863616072,0.976117759662497,0.992455761473543,0.671597790752122,0.909928354079785,0.508569412082055
0.725873936550893,0.473147330959259,0.999882455896425,0.778649261062983,0.721111350936087,0.811926666749717,0.9108659935585,0.765555859564535,0.491341666207138,0.883653983130839,0.72226345917344,0.86254543836538,0.768418344438951,0.835296345018569,0.7150725805855,0.970815277218091,0.989934064081194,0.647350858986429,0.89228198053832,0.484879379595477
0.70901022342403,0.448221508076869,0.99983724002151,0.758006494819654,0.711302287757617,0.7869000584998,0.900612378930734,0.752862952137593,0.462758493624164,0.866954549899946,0.704988071486141,0.851956190585329,0.75312679560519,0.826242193409343,0.700275567799552,0.965117202386866,0.986981080066193,0.624994086319731,0.873989748863737,0.463742190568329
0.693240390236595,0.425891877279219,0.999781523414526,0.738235596514914,0.702254664892729,0.762241040897468,0.890446157171017,0.740989882081498,0.437105947979568,0.850141138118373,0.688835029102568,0.841804605135288,0.73872120445861,0.817717120525564,0.686519056403425,0.95905013494726,0.983582227555575,0.604297037089082,0.855212507096285,0.444730791772132
0.678436714513842,0.405764782029146,0.999714160476359,0.719300494956036,0.693853972608435,0.738073044313573,0.880380027166851,0.729831801229841,0.413973703012016,0.833298641929934,0.673674535911562,0.832049921567767,0.72510477082724,0.809653674799311,0.673666479986663,0.952639380166213,0.979725807364631,0.58506803327816,0.836093736014055,0.427513473214717
0.66449369245201,0.387523517476889,0.999633997582413,0.701163662495558,0.686010479143856,0.714488088212779,0.87042388510313,0.719304042867448,0.393021642519261,0.816498280132941,0.659399092576141,0.822657930759901,0.712197005496135,0.801997606584828,0.661607658487195,0.945909144863183,0.975402929964059,0.567145759684425,0.816760699252615,0.411827651940557
0.65132290522242,0.370910159727396,0.999539874091108,0.683787307205842,0.678652440228106,0.691552748691103,0.860585431757538,0.709337041121969,0.373966138727237,0.799799686992228,0.645918404483931,0.813599484089005,0.699930007503273,0.794704485337859,0.650252178457401,0.93888266657155,0.97060745661089,0.550393103192586,0.797325529916073,0.397462103545909
0.638849345273505,0.355712373349306,0.999430623274727,0.667134144626663,0.671721510729347,0.669313049642314,0.850870620339919,0.699872796009536,0.356569230827879,0.783252608291681,0.633155724170874,0.804849429051561,0.688245796946558,0.787737361673304,0.639524776474586,0.931582299010353,0.965335944387643,0.534692522113653,0.77788630185941,0.384244556586449
0.62700871717867,0.341753657236224,0.999305073195315,0.651167891622169,0.665169547445754,0.647798488299961,0.841283994982688,0.69086234262426,0.340630081789576,0.766898307529959,0.621045154758265,0.796385828007296,0.677094352082119,0.781065103609445,0.629362027725433,0.924029568581951,0.959587588141175,0.519942496318838,0.758528099727441,0.37203281142237
