"Euwallacea validus","Sampsonius dampfi","Xyleborus obesus","Xyleborus seriatus"
0.995485389989635,0.999999999999823,0.929004677425754,0.994108403231217
0.992336301624405,0.999999999993407,0.88396071835648,0.988728523386682
0.98956568188782,0.999999999945355,0.847355654651299,0.98356025080201
0.987019263667113,0.999999999754961,0.815998399174006,0.978542074372902
0.984629972250848,0.999999999215271,0.788398637918502,0.973644582643176
0.982360570095405,0.999999997968903,0.763685752473493,0.96885019512483
0.98018752973431,0.999999995461349,0.74128844658104,0.964147068768562
0.978094720971106,0.999999990892187,0.720803759031401,0.959526596217947
0.97607044040332,0.999999983164469,0.701933045717309,0.954982182535479
0.974105834490934,0.999999970832518,0.684446834028181,0.950508574177843
0.97219398713145,0.999999952048287,0.6681638696924,0.946101459336266
0.970329356315215,0.999999924506403,0.65293782955687,0.941757214637231
0.968507408165733,0.999999885388011,0.638648481249979,0.937472736582763
0.966724369260566,0.999999831303499,0.625195571009233,0.933245324878227
0.964977053246001,0.999999758234177,0.612494462615836,0.929072599008532
0.963262735971928,0.999999661472984,0.600472942965365,0.924952436936884
0.961579063373034,0.999999535564263,0.589068829558279,0.920882928998378
0.959923982080022,0.999999374242671,0.578228144069322,0.916862342517653
0.958295686196415,0.99999917037125,0.567903694775175,0.912889094175453
0.956692575819044,0.999998915878715,0.558053960233881,0.908961728090755
0.955113224251192,0.999998601695977,0.548642198853028,0.905078898195945
0.953556351757931,0.999998217691953,0.539635730484813,0.901239353889058
0.952020804319058,0.999997752608673,0.531005350854041,0.897441928223993
0.95050553625118,0.999997193995727,0.522724849836155,0.893685528092054
0.949009595861829,0.999996528144064,0.514770611840976,0.889969125984485
0.947532113505955,0.999995740019177,0.507121281773955,0.886291753023738
0.94607229156514,0.999994813193694,0.499757483861371,0.88265249302298
0.94462939597992,0.999993729779388,0.492661583453666,0.879050477386438
0.94320274904737,0.999992470358637,0.485817484043136,0.875484880703093
0.941791723257549,0.999991013915344,0.479210453342785,0.87195491691652
0.940395735989147,0.999989337765342,0.472826973508344,0.868459835976877
0.939014244920562,0.999987417486295,0.466654611541919,0.864998920899096
0.937646744040433,0.999985226847117,0.460681906662919,0.861571485165396
0.93629276016343,0.999982737736924,0.454898272020572,0.858176870421359
0.934951849874237,0.999979920093536,0.449293908589614,0.854814444423652
0.933623596836294,0.999976741831541,0.443859729464344,0.851483599204565
0.932307609412782,0.999973168769944,0.438587293067044,0.848183749424261
0.931003518556093,0.999969164559415,0.433468744030402,0.844914330886244
0.929710975929179,0.999964690609142,0.428496760712153,0.841674799195405
0.928429652227956,0.999959706013326,0.423664508462888,0.838464628541063
0.92715923567874,0.999954167477313,0.418965597902047,0.835283310590059
0.92589943068857,0.999948029243395,0.414394047568127,0.832130353477048
0.924649956629588,0.999941243016287,0.409944250401497,0.829005280880985
0.923410546741311,0.999933757888304,0.405610943595365,0.825907631178245
0.922180947136926,0.999925520264255,0.401389181415243,0.822836956664137
0.920960915901638,0.999916473786073,0.397274310641813,0.819792822835606
0.919750222272713,0.999906559257196,0.39326194833827,0.816774807728855
0.918548645892209,0.999895714566723,0.389347961682414,0.813782501306379
0.917355976124567,0.999883874613372,0.385528449637178,0.810815504888584
0.916172011432204,0.999870971229243,0.381799726261791,0.807873430625723
0.914996558803113,0.999856933103436,0.378158305490302,0.8049559010064
0.913829433225183,0.999841685705522,0.374600887225219,0.802062548399275
0.912670457202603,0.999825151208908,0.371124344612225,0.799193014625039
0.911519460310234,0.999807248414118,0.367725712377613,0.796346950555981
0.910376278782316,0.999787892672013,0.364402176123775,0.793524015740815
0.90924075513228,0.999766995806987,0.361151062489899,0.790723878052627
0.908112737800799,0.999744466040163,0.357969830095412,0.78794621335807
0.906992080829508,0.999720207912622,0.354856061192731,0.785190705206078
0.905878643558111,0.999694122208698,0.351807453963822,0.782457044534574
0.904772290342823,0.999666105879376,0.348821815402008,0.779744929393786
0.903672890294315,0.999636051965829,0.345897054726631,0.777054064684899
0.902580317033504,0.999603849523133,0.343031177283513,0.774384161912928
0.901494448463699,0.999569383544188,0.340222278889005,0.771734938952744
0.900415166557777,0.999532534883918,0.337468540579578,0.769106119827351
0.899342357159153,0.999493180183756,0.334768223732695,0.766497434497518
0.898275909795467,0.999451191796488,0.332119665528023,0.763908618662016
0.897215717503986,0.999406437711497,0.329521274721005,0.761339413567713
0.896161676667816,0.999358781480451,0.32697152770347,0.758789565828896
0.895113686862108,0.999308082143503,0.324468964828303,0.756258827255203
0.894071650709505,0.999254194156036,0.322012186977329,0.753746954687618
0.893035473744158,0.999196967316044,0.319599852353449,0.751253709842022
0.892005064283674,0.999136246692175,0.317230673479763,0.748778859159824
0.890980333308443,0.999071872552526,0.314903414389956,0.746322173665248
0.889961194347814,0.999003680294245,0.312616887995578,0.743883428828871
0.888947563372636,0.998931500374006,0.310369953617113,0.74146240443705
0.887939358693747,0.998855158239446,0.308161514666829,0.739058884466887
0.886936500865985,0.998774474261618,0.305990516472416,0.736672656966417
0.885938912597363,0.998689263668552,0.303855944231354,0.734303513939738
0.884946518663066,0.998599336480005,0.301756821086748,0.731951251236783
0.883959245823955,0.998504497443479,0.299692206316146,0.729615668447511
0.882977022749282,0.998404545971605,0.297661193625532,0.727296568800256
0.881999779943357,0.998299276080968,0.295662909541293,0.724993759064021
0.88102744967591,0.998188476332493,0.293696511893547,0.722707049454518
0.88005996591593,0.998071929773464,0.291761188384712,0.720436253543747
0.879097264268751,0.9979494138813,0.289856155237688,0.718181188172955
0.878139281916205,0.997820700509181,0.287980655918426,0.715941673368776
